Value1	Value2	Value3	Value4	Value5
9386	613	0	0	0
9353	646	0	0	0
9307	692	0	0	0
9246	753	0	0	0
9171	828	0	0	0
9081	918	0	0	0
8977	1022	0	0	0
8860	1139	0	0	0
8729	1270	0	0	0
8584	1415	0	0	0
8427	1572	0	0	0
8258	1741	0	0	0
8077	1922	0	0	0
7885	2114	0	0	0
7682	2317	0	0	0
7289	2347	363	0	0
7053	2554	392	0	0
6811	2769	419	0	0
6562	2993	444	0	0
6308	3225	466	0	0
6049	3463	487	0	0
5788	3707	504	0	0
5524	3957	518	0	0
5259	4212	528	0	0
4994	4470	535	0	0
4731	4731	537	0	0
4469	4993	537	0	0
4209	5257	533	0	0
3954	5521	524	0	0
3703	5783	513	0	0
3457	6044	498	0	0
3217	6301	481	0	0
2984	6553	462	0	0
2759	6800	440	0	0
2541	7041	417	0	0
2332	7273	394	0	0
2131	7497	371	0	0
1940	7711	348	0	0
1759	7914	326	0	0
1588	8105	306	0	0
1428	8283	288	0	0
1278	8448	273	0	0
1138	8597	264	0	0
1010	8731	258	0	0
892	8848	259	0	0
785	8949	265	0	0
689	9032	278	0	0
604	9097	298	0	0
529	9144	326	0	0
464	9172	363	0	0
409	9181	409	0	0
363	9172	464	0	0
326	9144	529	0	0
298	9097	604	0	0
278	9032	689	0	0
265	8949	785	0	0
258	8848	893	0	0
258	8731	1010	0	0
264	8597	1138	0	0
274	8447	1278	0	0
288	8283	1428	0	0
305	8105	1589	0	0
325	7914	1760	0	0
347	7711	1941	0	0
370	7497	2132	0	0
307	7186	2245	261	0
323	6946	2446	284	0
338	6698	2657	306	0
353	6444	2876	326	0
366	6186	3102	345	0
378	5923	3337	361	0
388	5658	3578	375	0
396	5392	3825	386	0
401	5126	4078	394	0
403	4860	4335	401	0
403	4596	4597	403	0
400	4335	4860	404	0
395	4078	5126	400	0
386	3825	5392	396	0
375	3578	5658	388	0
361	3337	5923	378	0
345	3102	6186	366	0
326	2876	6444	353	0
306	2657	6698	338	0
284	2446	6946	323	0
261	2245	7186	307	0
237	2052	7418	292	0
213	1870	7640	276	0
188	1697	7852	262	0
0	1588	8105	306	0
0	1428	8283	288	0
0	1278	8447	274	0
0	1138	8597	264	0
0	1010	8731	258	0
0	892	8848	259	0
0	785	8949	265	0
0	689	9032	278	0
0	604	9097	298	0
0	529	9144	326	0
0	464	9172	363	0
0	409	9181	409	0
0	363	9172	464	0
0	326	9144	529	0
0	298	9097	604	0
0	278	9032	689	0
0	265	8949	785	0
0	258	8848	893	0
0	258	8731	1010	0
0	264	8597	1138	0
0	274	8447	1278	0
0	288	8283	1428	0
0	305	8105	1589	0
0	325	7914	1760	0
0	347	7711	1941	0
0	370	7497	2132	0
0	307	7186	2245	261
0	323	6946	2446	284
0	338	6698	2657	306
0	353	6444	2876	326
0	366	6186	3102	345
0	378	5923	3337	361
0	388	5658	3578	375
0	396	5392	3825	386
0	401	5126	4077	395
0	403	4860	4336	400
0	403	4596	4597	403
0	400	4335	4861	403
0	395	4078	5125	401
0	386	3825	5392	396
0	375	3578	5658	388
0	361	3337	5923	378
0	345	3102	6186	366
0	326	2876	6444	353
0	306	2657	6698	338
0	284	2446	6946	323
0	261	2245	7186	307
0	237	2052	7419	291
0	213	1870	7640	276
0	188	1697	7851	263
0	0	1588	8106	305
0	0	1428	8283	288
0	0	1278	8447	274
0	0	1138	8597	264
0	0	1010	8731	258
0	0	892	8849	258
0	0	785	8949	265
0	0	689	9032	278
0	0	604	9097	298
0	0	529	9144	326
0	0	464	9172	363
0	0	409	9181	409
0	0	363	9172	464
0	0	326	9144	529
0	0	298	9097	604
0	0	278	9032	689
0	0	265	8949	785
0	0	258	8849	892
0	0	258	8731	1010
0	0	264	8597	1138
0	0	274	8447	1278
0	0	288	8283	1428
0	0	305	8106	1588
0	0	325	7915	1759
0	0	347	7712	1940
0	0	370	7498	2131
0	0	394	7273	2332
0	0	417	7041	2541
0	0	440	6800	2759
0	0	462	6553	2984
0	0	481	6301	3217
0	0	498	6044	3457
0	0	513	5783	3703
0	0	524	5521	3954
0	0	532	5258	4209
0	0	537	4993	4469
0	0	538	4730	4731
0	0	535	4470	4994
0	0	528	4212	5259
0	0	518	3957	5524
0	0	504	3707	5788
0	0	487	3463	6049
0	0	467	3224	6308
0	0	444	2993	6562
0	0	419	2769	6811
0	0	392	2554	7053
0	0	364	2346	7289
0	0	334	2150	7515
0	0	305	1961	7733
0	0	276	1784	7939
0	0	0	1741	8258
0	0	0	1572	8427
0	0	0	1415	8584
0	0	0	1270	8729
0	0	0	1139	8860
0	0	0	1022	8977
0	0	0	918	9081
0	0	0	828	9171
0	0	0	753	9246
0	0	0	692	9307
0	0	0	646	9353
0	0	0	613	9386
0	256	512	768	1024
