ID	CanUserChange	CanCastSkill	MoveStateMask	ActiveSkillID1	ActiveSkillLevel1	ActiveSkillID2	ActiveSkillLevel2	ActiveSkillID3	ActiveSkillLevel3	ActiveSkillID4	ActiveSkillLevel4	ActiveSkillID5	ActiveSkillLevel5	ActiveSkillID6	ActiveSkillLevel6	ActiveSkillID7	ActiveSkillLevel7	ActiveSkillID8	ActiveSkillLevel8	ActiveSkillID9	ActiveSkillLevel9	ActiveSkillID10	ActiveSkillLevel10	PassiveSkillID1	PassiveSkillLevel1	PassiveSkillID2	PassiveSkillLevel2	PassiveSkillID3	PassiveSkillLevel3	PassiveSkillID4	PassiveSkillLevel4	PassiveSkillID5	PassiveSkillLevel5	PassiveSkillID6	PassiveSkillLevel6	PassiveSkillID7	PassiveSkillLevel7	PassiveSkillID8	PassiveSkillLevel8	SubActiveSkillID1	SubActiveSkillLevel1	SubActiveSkillID2	SubActiveSkillLevel2	SubActiveSkillID3	SubActiveSkillLevel3	SubActiveSkillID4	SubActiveSkillLevel4	SubActiveSkillID5	SubActiveSkillLevel5	SubActiveSkillID6	SubActiveSkillLevel6	SubActiveSkillID7	SubActiveSkillLevel7	SubActiveSkillID8	SubActiveSkillLevel8	SubActiveSkillID9	SubActiveSkillLevel9	SubActiveSkillID10	SubActiveSkillLevel10	SubActiveSkillID11	SubActiveSkillLevel11	SubActiveSkillID12	SubActiveSkillLevel12	SubActiveSkillID13	SubActiveSkillLevel13	SubActiveSkillID14	SubActiveSkillLevel14	SubActiveSkillID15	SubActiveSkillLevel15	SubActiveSkillID16	SubActiveSkillLevel16	MoveStateMask2	ActiveSkillID11	ActiveSkillLevel11	ActiveSkillID12	ActiveSkillLevel12	ActiveSkillID13	ActiveSkillLevel13	ActiveSkillID14	ActiveSkillLevel14	ActiveSkillID15	ActiveSkillLevel15	ActiveSkillID16	ActiveSkillLevel16	ActiveSkillID17	ActiveSkillLevel17	ActiveSkillID18	ActiveSkillLevel18	ActiveSkillID19	ActiveSkillLevel19	ActiveSkillID20	ActiveSkillLevel20	ActiveSkillID21	ActiveSkillLevel21	ActiveSkillID22	ActiveSkillLevel22	ActiveSkillID23	ActiveSkillLevel23	ActiveSkillID24	ActiveSkillLevel24	ActiveSkillID25	ActiveSkillLevel25	ActiveSkillID26	ActiveSkillLevel26	ActiveSkillID27	ActiveSkillLevel27	ActiveSkillID28	ActiveSkillLevel28	ActiveSkillID29	ActiveSkillLevel29	ActiveSkillID30	ActiveSkillLevel30	ActiveSkillID31	ActiveSkillLevel31	ActiveSkillID32	ActiveSkillLevel32	CanJump
1	0	0	4294967295	7606	1	7607	1	7608	1	7609	1	7610	1																																																																																																								
2	1	0	4294967295	4133	1	4138	1	4135	1	4136	1																													4134	1																																																																												
3	0	0	4294967295	7606	1	7607	1	7618	1	7609	1	7610	1																																																																																																								
4	0	0	4294967295	7606	1	7607	1	7619	1	7609	1	7610	1																																																																																																								
5	0	0	4294967295	7606	1	7607	1	7608	1	7620	1	7610	1																											17165	1																																																																												
6	0	0	4294967295	7606	1	7607	1	7618	1	7620	1	7610	1																																																																																																								
7	0	0	4294967295	7606	1	7607	1	7619	1	7620	1	7610	1																																																																																																								
8	1	0	4294967295	4155	1	4156	1	4234	1	4157	1																													4158	1	4232	1	4233	1	4158	2	4232	2	4233	2	4158	3	4232	3	4233	3																																																												
9	1	0	4294967295	4265	1	4267	1																	0	0	0	0																																																																																										
10	1	0	4294967295	7660	1																			0	0	0	0													7663	1	7664	1																																																																										
11		0	8323071	7705	1																																																																																																																
12		0	8323071	4819	1	4820	1	4821	1	4822	1																													4862	1	4948	1	4863	1																																																																								
13		0	8323071	4884	1																																			4886	1																																																																												
14	1	0	8388607	7755	1	7756	1	7760	1																															7758	1	7759	1	7757	1																																																																								
15	1	0	8323071	7716	1	7717	1																																			7777	1																																																																										
16	1	0	8323071	7719	1	7720	1																																			7763	1																																																																										
17	1	0	8323071	7721	1	7722	1																																																																																																														
18	1	0	8323071	7734	1	7735	1																																																																																																														
19	0	0	8323071	7741	1	7743	1																																																																																																														
20	1	0	8388607	7766	1	7767	1	7768	1																															7758	1	7759	1	7757	1																																																																								
21	1	0	8388607	7769	1	7770	1	7771	1																															7758	1	7759	1	7757	1																																																																								
22	0	0	4294967295	4147	1	4148	1	4149	1	4150	1																																																																																																										
23	1	0	4294967295	7738	1	7737	1	7799	1																															7739	1	7740	1																																																																										
25	0	0	3758030847	7819	1	7820	1	7821	1																																																																																																												
26	0	1	4294967295	5220	1	5143	1	5144	1	5145	1																																																																																																										
27	0	1	4294967295	5146	1																																																																																																																
28	0	0	4294967295	5248	1																																																																																																																
29	0	1	4294967295	5249	1	5250	1																																																																																																														
30	0	0	4294967295	7836	1	7837	1	7838	1																																																																																																												
33	0	0	4294967295	5330	1	5331	1	5332	1	5333	1																																																																																																										
34	1	0	4294967295	5348	1	5442	1	5471	1	0	1																													0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																												
35	1	0	4294967295	7783	1	17151	1	17152	1	14577	1	14579	1	7788	1	17153	1							0	1	0	1	0	1	0	1									7782	1	7784	1	7785	1	7793	1	7797	1																																																																				
