SkillID	SkillLevel	LevelUpExp	LevelUpPlayerLevel	ExpAddOdds	Name	School
10	2	20	9	1024	新手技能AOE	江湖
10	3	9999	99	1024	新手技能AOE	江湖
49	2	20	6	1024	回风扫叶	江湖
49	3	30	9	1024	回风扫叶	江湖
49	4	30	12	1024	回风扫叶	江湖
49	5	9999	99	1024	回风扫叶	江湖
52	2	9999	99	1024	新手技能回复	江湖
101	1	36	16	1024	握针	万花
101	2	36	17	1024	握针	万花
101	3	37	18	1024	握针	万花
101	4	38	19	1024	握针	万花
101	5	40	20	1024	握针	万花
101	6	41	21	1024	握针	万花
101	7	53	22	1024	握针	万花
101	8	85	23	1024	握针	万花
101	9	145	24	1024	握针	万花
101	10	153	26	1024	握针	万花
101	11	174	29	1024	握针	万花
101	12	219	32	1024	握针	万花
101	13	221	35	1024	握针	万花
101	14	223	38	1024	握针	万花
101	15	225	41	1024	握针	万花
101	16	287	44	1024	握针	万花
101	17	303	47	1024	握针	万花
101	18	406	50	1024	握针	万花
101	19	675	54	1024	握针	万花
101	20	683	58	1024	握针	万花
101	21	753	62	1024	握针	万花
101	22	896	66	1024	握针	万花
101	23	1246	70	1024	握针	万花
101	24	2803	74	1024	握针	万花
101	25	2913	78	1024	握针	万花
101	26	3010	82	1024	握针	万花
101	27	3227	86	1024	握针	万花
101	28	4623	90	1024	握针	万花
101	29	9999	99	1024	握针	万花
130	1	153	28	1024	清心静气	万花
130	2	177	45	1024	清心静气	万花
130	3	177	50	1024	清心静气	万花
130	4	356	60	1024	清心静气	万花
130	5	683	70	1024	清心静气	万花
130	6	1330	80	1024	清心静气	万花
130	7	3227	90	1024	清心静气	万花
130	8	9999	99	1024	清心静气	万花
132	1	44	25	1024	春泥护花	万花
132	2	174	32	1024	春泥护花	万花
132	3	225	44	1024	春泥护花	万花
132	4	373	56	1024	春泥护花	万花
132	5	381	68	1024	春泥护花	万花
132	6	1330	80	1024	春泥护花	万花
132	7	9999	99	1024	春泥护花	万花
138	1	36	16	1024	提针	万花
138	2	36	17	1024	提针	万花
138	3	37	18	1024	提针	万花
138	4	38	19	1024	提针	万花
138	5	40	20	1024	提针	万花
138	6	41	21	1024	提针	万花
138	7	74	22	1024	提针	万花
138	8	91	23	1024	提针	万花
138	9	217	24	1024	提针	万花
138	10	227	27	1024	提针	万花
138	11	255	30	1024	提针	万花
138	12	292	33	1024	提针	万花
138	13	300	36	1024	提针	万花
138	14	418	39	1024	提针	万花
138	15	430	42	1024	提针	万花
138	16	442	45	1024	提针	万花
138	17	446	48	1024	提针	万花
138	18	458	51	1024	提针	万花
138	19	772	55	1024	提针	万花
138	20	852	59	1024	提针	万花
138	21	925	63	1024	提针	万花
138	22	1041	67	1024	提针	万花
138	23	2948	71	1024	提针	万花
138	24	3058	75	1024	提针	万花
138	25	4008	79	1024	提针	万花
138	26	4273	83	1024	提针	万花
138	27	4675	87	1024	提针	万花
138	28	9999	99	1024	提针	万花
139	1	174	40	1024	锋针	万花
139	2	336	52	1024	锋针	万花
139	3	1629	72	1024	锋针	万花
139	4	3189	89	1024	锋针	万花
139	5	9999	99	1024	锋针	万花
140	1	142	20	1024	彼针	万花
140	2	142	28	1024	彼针	万花
140	3	178	33	1024	彼针	万花
140	4	217	38	1024	彼针	万花
140	5	221	43	1024	彼针	万花
140	6	227	48	1024	彼针	万花
140	7	373	53	1024	彼针	万花
140	8	579	58	1024	彼针	万花
140	9	675	63	1024	彼针	万花
140	10	772	68	1024	彼针	万花
140	11	1577	73	1024	彼针	万花
140	12	2760	78	1024	彼针	万花
140	13	2948	83	1024	彼针	万花
140	14	3010	88	1024	彼针	万花
140	15	9999	99	1024	彼针	万花
142	1	36	23	1024	长针	万花
142	2	44	24	1024	长针	万花
142	3	53	25	1024	长针	万花
142	4	74	26	1024	长针	万花
142	5	84	27	1024	长针	万花
142	6	85	28	1024	长针	万花
142	7	91	29	1024	长针	万花
142	8	113	30	1024	长针	万花
142	9	142	21	1024	长针	万花
142	10	145	32	1024	长针	万花
142	11	158	33	1024	长针	万花
142	12	175	34	1024	长针	万花
142	13	177	35	1024	长针	万花
142	14	178	37	1024	长针	万花
142	15	182	40	1024	长针	万花
142	16	215	43	1024	长针	万花
142	17	217	46	1024	长针	万花
142	18	225	49	1024	长针	万花
142	19	336	52	1024	长针	万花
142	20	356	56	1024	长针	万花
142	21	373	60	1024	长针	万花
142	22	381	64	1024	长针	万花
142	23	476	68	1024	长针	万花
142	24	1330	72	1024	长针	万花
142	25	1577	76	1024	长针	万花
142	26	1629	80	1024	长针	万花
142	27	1751	84	1024	长针	万花
142	28	2237	88	1024	长针	万花
142	29	9999	99	1024	长针	万花
179	1	36	5	1024	阳明指	万花
179	2	44	15	1024	阳明指	万花
179	3	53	17	1024	阳明指	万花
179	4	74	18	1024	阳明指	万花
179	5	84	19	1024	阳明指	万花
179	6	85	20	1024	阳明指	万花
179	7	91	21	1024	阳明指	万花
179	8	113	22	1024	阳明指	万花
179	9	217	24	1024	阳明指	万花
179	10	227	27	1024	阳明指	万花
179	11	255	30	1024	阳明指	万花
179	12	292	33	1024	阳明指	万花
179	13	300	36	1024	阳明指	万花
179	14	418	39	1024	阳明指	万花
179	15	430	42	1024	阳明指	万花
179	16	442	45	1024	阳明指	万花
179	17	446	48	1024	阳明指	万花
179	18	458	51	1024	阳明指	万花
179	19	772	55	1024	阳明指	万花
179	20	852	59	1024	阳明指	万花
179	21	925	63	1024	阳明指	万花
179	22	1041	67	1024	阳明指	万花
179	23	2948	71	1024	阳明指	万花
179	24	3058	75	1024	阳明指	万花
179	25	4008	79	1024	阳明指	万花
179	26	4273	83	1024	阳明指	万花
179	27	4675	87	1024	阳明指	万花
179	28	9999	99	1024	阳明指	万花
180	1	36	16	1024	商阳指	万花
180	2	44	17	1024	商阳指	万花
180	3	53	18	1024	商阳指	万花
180	4	74	19	1024	商阳指	万花
180	5	84	20	1024	商阳指	万花
180	6	85	21	1024	商阳指	万花
180	7	91	22	1024	商阳指	万花
180	8	113	23	1024	商阳指	万花
180	9	145	24	1024	商阳指	万花
180	10	153	26	1024	商阳指	万花
180	11	174	29	1024	商阳指	万花
180	12	219	32	1024	商阳指	万花
180	13	221	35	1024	商阳指	万花
180	14	223	38	1024	商阳指	万花
180	15	225	41	1024	商阳指	万花
180	16	287	44	1024	商阳指	万花
180	17	303	47	1024	商阳指	万花
180	18	406	50	1024	商阳指	万花
180	19	675	54	1024	商阳指	万花
180	20	683	58	1024	商阳指	万花
180	21	753	62	1024	商阳指	万花
180	22	896	66	1024	商阳指	万花
180	23	1246	70	1024	商阳指	万花
180	24	2803	74	1024	商阳指	万花
180	25	2913	78	1024	商阳指	万花
180	26	3010	82	1024	商阳指	万花
180	27	3227	86	1024	商阳指	万花
180	28	4623	90	1024	商阳指	万花
180	29	9999	99	1024	商阳指	万花
182	1	36	16	1024	玉石俱焚	万花
182	2	44	17	1024	玉石俱焚	万花
182	3	53	18	1024	玉石俱焚	万花
182	4	74	19	1024	玉石俱焚	万花
182	5	84	20	1024	玉石俱焚	万花
182	6	85	21	1024	玉石俱焚	万花
182	7	91	22	1024	玉石俱焚	万花
182	8	113	23	1024	玉石俱焚	万花
182	9	142	24	1024	玉石俱焚	万花
182	10	145	25	1024	玉石俱焚	万花
182	11	158	28	1024	玉石俱焚	万花
182	12	175	31	1024	玉石俱焚	万花
182	13	177	34	1024	玉石俱焚	万花
182	14	178	37	1024	玉石俱焚	万花
182	15	182	40	1024	玉石俱焚	万花
182	16	215	43	1024	玉石俱焚	万花
182	17	217	46	1024	玉石俱焚	万花
182	18	225	49	1024	玉石俱焚	万花
182	19	336	52	1024	玉石俱焚	万花
182	20	356	56	1024	玉石俱焚	万花
182	21	373	60	1024	玉石俱焚	万花
182	22	381	64	1024	玉石俱焚	万花
182	23	476	68	1024	玉石俱焚	万花
182	24	1330	72	1024	玉石俱焚	万花
182	25	1577	76	1024	玉石俱焚	万花
182	26	1629	80	1024	玉石俱焚	万花
182	27	1751	84	1024	玉石俱焚	万花
182	28	2237	88	1024	玉石俱焚	万花
182	29	9999	99	1024	玉石俱焚	万花
186	1	142	28	1024	芙蓉并蒂	万花
186	2	227	48	1024	芙蓉并蒂	万花
186	3	373	68	1024	芙蓉并蒂	万花
186	4	990	99	1024	芙蓉并蒂	万花
189	1	53	16	1024	钟林毓秀	万花
189	2	53	17	1024	钟林毓秀	万花
189	3	91	21	1024	钟林毓秀	万花
189	4	158	25	1024	钟林毓秀	万花
189	5	175	29	1024	钟林毓秀	万花
189	6	182	33	1024	钟林毓秀	万花
189	7	217	37	1024	钟林毓秀	万花
189	8	223	41	1024	钟林毓秀	万花
189	9	287	45	1024	钟林毓秀	万花
189	10	300	49	1024	钟林毓秀	万花
189	11	356	53	1024	钟林毓秀	万花
189	12	579	57	1024	钟林毓秀	万花
189	13	683	60	1024	钟林毓秀	万花
189	14	772	63	1024	钟林毓秀	万花
189	15	852	67	1024	钟林毓秀	万花
189	16	981	70	1024	钟林毓秀	万花
189	17	1577	73	1024	钟林毓秀	万花
189	18	1751	76	1024	钟林毓秀	万花
189	19	2760	79	1024	钟林毓秀	万花
189	20	2913	82	1024	钟林毓秀	万花
189	21	3058	85	1024	钟林毓秀	万花
189	22	3227	88	1024	钟林毓秀	万花
189	23	4531	90	1024	钟林毓秀	万花
189	24	9999	99	1024	钟林毓秀	万花
190	1	153	26	1024	兰摧玉折	万花
190	2	174	30	1024	兰摧玉折	万花
190	3	174	35	1024	兰摧玉折	万花
190	4	219	38	1024	兰摧玉折	万花
190	5	221	41	1024	兰摧玉折	万花
190	6	223	44	1024	兰摧玉折	万花
190	7	225	47	1024	兰摧玉折	万花
190	8	303	50	1024	兰摧玉折	万花
190	9	579	53	1024	兰摧玉折	万花
190	10	981	57	1024	兰摧玉折	万花
190	11	1218	61	1024	兰摧玉折	万花
190	12	2203	65	1024	兰摧玉折	万花
190	13	2677	69	1024	兰摧玉折	万花
190	14	2760	73	1024	兰摧玉折	万花
190	15	3189	77	1024	兰摧玉折	万花
190	16	4531	81	1024	兰摧玉折	万花
190	17	8627	85	1024	兰摧玉折	万花
190	18	8892	89	1024	兰摧玉折	万花
190	19	9999	99	1024	兰摧玉折	万花
200	1	350	28	1024	般若诀	少林
200	2	451	45	1024	般若诀	少林
200	3	556	50	1024	般若诀	少林
200	4	755	60	1024	般若诀	少林
200	5	2657	70	1024	般若诀	少林
200	6	2862	80	1024	般若诀	少林
200	7	3248	90	1024	般若诀	少林
200	8	3696	96	1024	般若诀	少林
200	9	6955	110	1024	般若诀	少林
228	1	85	32	1024	太阴指	万花
228	2	153	35	1024	太阴指	万花
228	3	219	50	1024	太阴指	万花
228	4	1218	65	1024	太阴指	万花
228	5	1330	80	1024	太阴指	万花
228	6	9999	99	1024	太阴指	万花
232	1	53	5	1024	普渡四方	少林
232	2	63	16	1024	普渡四方	少林
232	3	71	17	1024	普渡四方	少林
