ID	PATH	PATH_MOBILE
CAMERA_ANI_LOGIN_NEW	data/source/maps/登陆界面_2023_001/登陆界面_2023_001.CameraAni	
JX3CG	ui/Video/JX3Wl.mp4	
LOGIN_BGM	data/sound/背景音乐/丐帮/LoginBG.mp3	
LOGIN_BGM_NEW	beijingyinyue_teshuchangjing_yunmengyouze_tingyunju	
SFX_LOGO	data/source/other/特效/系统/SFX/登陆/登陆_logo.Sfx	
SFX_CRITICALSTRIKE	data/source/other/特效/系统/SFX/其他/h_会心01.Sfx	
SFX_CRITICALSTRIKESHAKE	data/source/other/特效/系统/SFX/其他/抖动3.Sfx	
SFX_SKILLLEVELUP	data/source/other/特效/系统/SFX/其他/技能领悟.Sfx	
SFX_FINISHQUEST	data/source/other/特效/系统/SFX/其他/任务完成.Sfx	
SFX_FINISHASSISTQUEST	data/source/other/特效/系统/SFX/其他/协助成功.Sfx	
SFX_LEARNPROFESSION	Data/source/other/特效/系统/绑定/升级/学习生活技能.Sfx	
SFX_FORGETPROFESSION	Data/source/other/特效/系统/绑定/升级/遗忘生活技能.Sfx	
SFX_LEARNRECIPE	Data/source/other/特效/系统/绑定/升级/学习生活技能.Sfx	
SFX_PROFESSIONLEVELUP	Data/source/other/特效/系统/绑定/升级/学习生活技能.Sfx	
SFX_PROFESSIONMAXLEVELUP	Data/source/other/特效/系统/绑定/升级/学习生活技能.Sfx	
SFX_REPUTATIONLEVELUP	data/source/other/特效/系统/SFX/升级/升级01.Sfx	
SFX_REPUTATIONLEVELDOWN	data/source/other/特效/系统/SFX/升级/升级01.Sfx	
SFX_NEWACHIEVEMENT	data/source/other/特效/系统/SFX/升级/升级01.Sfx	
SFX_TRANSMISSION_GROUND	data/source/other/特效/系统/SFX/其他/屏幕特效_黑屏01.Sfx	data/source/other/HD特效/其他/Pss/UI_屏幕特效_黑屏01.pss
SFX_TRANSMISSION_GROUND1	data/source/other/特效/场景/SFX/其他/屏幕特效_黑屏02.Sfx	data/source/other/HD特效/其他/Pss/UI_屏幕特效_黑屏02.pss
XSJLOGO	ui/Video/XSJLOGO.mp4	
MINISENE_ENV	ui/Scheme/Case/FaceLift/-58度标准光照.ini	
SFX_UIBOM	data/source/other/特效/系统/SFX/其他/界面爆闪.Sfx	
EXTEND_SCENE	data/source/maps/新手引导登录场景/新手引导登录场景.map	
SELECT_SFX	data/source/other/新特效/其他/Pss/J_箭头05.pss	
SELECT_SFX1	data/source/other/HD特效/其他/Pss/J_箭头04_HD.pss	
EXTEND_COINSHOP_SCENE	data\source\maps\HD商城_2022_灰_001\HD商城_2022_灰_001.jsonmap	
EXTEND_COINSHOP_SCENE_LOW	data/source/maps/HD登陆界面002_空/HD登陆界面002_空.jsonmap	
JX3CG_NEW	ui/Video/JX3Wl.mp4
SFX_SKILL_HUODONG1	data/source/other/特效/系统/SFX/其他/屏幕特效_黑屏04.Sfx	
SFX_SKILL_HINT	data/source/other/新特效/技能/Pss/发招/S_闪光02.pss	
SFX_XIANG_QI	data/source/other/特效/技能/SFX/被击/被击_天策攻击07.Sfx	
SFX_OPEN_LOCK	data/source/other/特效/技能/SFX/释放/释放_少林攻击15_地面.Sfx	
SFX_PLAYER_LEVEL_UP	data/source/other/新特效/其他/Pss/S_升级	
SFX_NEWPQ_SUCCESS	data/source/other/HD特效/其他/Pss/UI_pq_成功文字效果.pss	
SFX_NEWPQ_FAILED	data/source/other/HD特效/其他/Pss/UI_pq_失败文字效果.pss	
SFX_NEWPQ_RET_GOLD	data/source/other/HD特效/其他/Pss/UI_pq_成功金.pss	
SFX_NEWPQ_RET_SILVER	data/source/other/HD特效/其他/Pss/UI_pq_成功银.pss	
SFX_NEWPQ_RET_COPPER	data/source/other/HD特效/其他/Pss/UI_pq_成功铜.pss	
SFX_NEWPQ_RET_FAILED	data/source/other/HD特效/其他/Pss/UI_pq_失败.pss	
SFX_UP_00	data/source/other/新特效/其他/Pss/S_升级00.pss	
SFX_UP_01	data/source/other/新特效/其他/Pss/S_升级01.pss	
SFX_UP_02	data/source/other/新特效/其他/Pss/S_升级02.pss	
SFX_UP_03	data/source/other/新特效/其他/Pss/S_升级03.pss	
SFX_UP_04	data/source/other/新特效/其他/Pss/S_升级04.pss	
SFX_UP_05	data/source/other/新特效/其他/Pss/S_升级05.pss	
SFX_UP_06	data/source/other/新特效/其他/Pss/S_升级06.pss	
