ID	Name	FromAchievementID	FromOtherItemID	Quality	CanChatShow	Desc	bIsEffect	szImagePath	bOutOfPrint	nVersion	nGainWayType
0		0	0	3	0		0		0	0	0
1	先生	1241		3		<text>text="博学多识，人人敬重。修为高深，武林奇人。" font=100 </text>				1	1
2	樵子	217		2		<text>text="樵歌问答，气度风雅。深居山林，不问俗事。" font=100 </text>				1	1
3	童子	733		2		<text>text="童子宝相，无比庄严。心如璞玉，不染淤尘。" font=100 </text>				1	1
4	判官	564		2		<text>text="判官无情，审生判死。威猛刚烈，无人不服。" font=100 </text>				1	1
5	郎君	130		3		<text>text="郎君风流，坐看浮华。潇洒不拘，醉眼迷花。" font=100 </text>				1	1
6	御史	806		2		<text>text="监察御史，身居朝堂。手握权柄，声威显赫。" font=100 </text>				1	1
7	头陀	172		2		<text>text="头陀化缘，行走红尘。佛门弟子，修为精深。" font=100 </text>				1	1
8	行者	444		2		<text>text="行者游方，行走四野。云波深处，不留痕迹。" font=100 </text>				1	1
9	隐侠	182		2		<text>text="侠士归隐，淡泊名利。大隐于世，小隐于野。" font=100 </text>				1	1
10	人雄	175		3		<text>text="万夫莫敌，人中之雄。英姿勃发，风采无限。" font=100 </text>				1	1
11	少主	374		3		<text>text="风流潇洒，少年主人。年少有为，名扬一方。" font=100 </text>				1	1
12	天魔	520		2		<text>text="天魔天魔，逆天之魔。逆天魔威，神人恐惧。" font=100 </text>				1	1
13	尊者	1222		3		<text>text="武艺超群，德高望重。无量尊者，江湖景仰。" font=100 </text>				1	1
14	鬼王	811		3		<text>text="神秘莫测，鬼魅之王。飘忽不定，江湖一奇。" font=100 </text>				1	1
15	轻侯	195		3		<text>text="狂生布衣，笑傲王侯。富贵浮云，淡如云烟。" font=100 </text>				1	1
16	童姥	1621		3		<text>text="百岁天姥，童子容颜。修行奇术，长生不老。" font=100 </text>				1	1
17	贤士	491		3		<text>text="贤德恭顺，四方名扬。情操高尚，一代贤良。" font=100 </text>				1	1
18	散人	1595		3		<text>text="无门无派，来去自如。无拘无束，白首松云。" font=100 </text>				1	1
19	逸士	503		3		<text>text="俊秀飘逸，出脱世间。人中吕布，马中赤兔。" font=100 </text>				1	1
20	居士	504		3		<text>text="身在红尘，心有禅意。长居雅地，心性不凡。" font=100 </text>				1	1
21	法王	399		3		<text>text="传德弘法，金光护体。佛法无边，功德无量。" font=100 </text>				1	1
22	上人	505		3		<text>text="宝相庄严，拈花微笑。大智大德，人上之人。" font=100 </text>				1	1
