BD	Level	Desc	FullScreen	Panauision	ExclusiveMode 	ScreenSizeLimitedRate	Width	Height	nScaleUpMode	nRenderLevel	nEngineGraphicsLevel	bEnableScreenWeather	nRenderLimit	nRenderNpcLimit	ClientSFXLimit	OptimizeQiChang	OptimizeUniform	OptimizeRide	EnableAniShadow	nShadowType	HDRepresent	Fabric	bEnableRC_AmbientOcclusion	bEnableRC_Bloom	bEnableRC_Depth	bEnableRC_LightShaftBloom	bEnableRC_LightShaftOcclusion	bEnableRC_StingRayVolumetircCloud	bEnableRC_SunLensflare	bEnableRC_Vignette	bEnableRC_AtmosphericFog	bEnableRC_HeightFog	bEnableRC_SSS	bEnableSSPR	bEnableRC_ShockWave	bEnableRC_SpotLight	bEnableRC_DirectionLight	bEnableRC_PointLight	bEnableRC_SkyLight	bEnableRC_SpotLightShadow	bEnableRC_DirectionLightShadow	bEnableRC_PointLightShadow	nRC_EnvProbeLevel	bEnableRC_FoliageBlur	bEnableSubFoliageHCRender	bEnableSubFoliageSTRender	bEnableSubFoliageWJRender	bEnableSubFoliageGMRender	bEnableSubFoliageTWRender	nFoliageDensity	nStartLodLevelInAutoLodMode	fSpeedTreeCullDist	fSimpleModelCullDist	fParticleSystemCullDist	fPointlightCullDist	bEnableModelLodRadius	ModelLodRadius	fSpeedTreeShadowCullDist	fSimpleModelShadowCullDist	fParticleSystemShadowCullDist	fPointlightShadowCullDist	fCameraDistanceHD	fNodeLodLowLimit 	fNodeLodHighLimit	nNewWaterQualityLevel	TexLODLimit	MyEffect	OtherEffect	bEnableRealTimeTerrainBake	nTerrainBakeScaleRate	bEnableRC_EyeProtectionMode	fSpeedTreeAngleCull	fSpeedTreeGlobalLodScaleTimes	fAngleCullValue	AAOPTION_EnableSMAA	fRC_EyeProtectBrightness	bEnableRC_ForwardRender	nSpeedTreeDensity	fFoliageCullDist	bEnableFur	nMaxFPS	fMyEffectAlpha	fMyEffectLight	fOtherEffectAlpha	fOtherEffectLight	AAOPTION_DLSSOption	AAOPTION_DLSSParam	SpeedTreeLeafScale	MinimumModelLod	TerrainBakeMethod	ShowLayer	szReduceTextureSize	AAOPTION_EnableTXAA	nSfxLodDist1	nSfxLodDist2	nSfxLodDist3	bEnableRC_HighEnvironmentRender	bEnableRC_ForceSkyCubeTex	bEnableRC_ForceSkyOitToSoftMask	nModelInstanceThreshold(开启合并渲染值)	fSceneNodeClusterLoadDistance	fSceneNodeClusterUnLoadDistance	bEnableCASSharper	bRenderPointLightLimit（是否开启点光源的数量限制）	nRenderPointLightLimitCount	bEnableModelLodViewAngle	szModelLodViewAngle	bEnableAnimationPrecompute	bEnableDayNightCycle	bEnableVolumetricHeightFog	bEnableIndirectLightVolume	bEnableRC_SSR	bEnableSceneNodeAngleCull	bEnableLensLightGlobal	bEnableViewProbe	bEnableViewProbeShadow	bEnableViewProbeColor	fViewProbeBlendStart	fViewProbeBlendEnd	fViewProbeShadowStart	fViewProbeShadowEnd	bEnableFSR2	nFSR2Option
0	0	是否屏蔽选项1不屏蔽0屏蔽	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
0	1	是否加入配置选项（1为加入）	0	0	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1
0	2	最简				2			0	200	1	0	10	20	20	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	1	1	0	0	0	3	0	1	1	1	1	1	10	1	32000	16000	10000	4000	1	6850|8000|10000|27400	0	0	0	0	40000	9	72	3	1	2	2	1	4	0	6.5	0.6	9.5	0	1	1	50	0	0	67	0.8	0.8	0.4	0.4	0	0	70	0	0	2	0|0|0|0|0|0|0|0	0	3000	4000	8000	0	1	0	16	8000	7000	0	1	0	1	12|9|7	0	0	0	0	0			0	0	0	0	0	0	0	0	0
0	3	简约				1.5			0	200	2	0	15	30	30	1	0	0	0	7	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	0	0	0	3	0	1	1	1	1	1	10	1	32000	32000	10000	4000	1	6850|8000|10000|27400	0	0	0	0	40000	9	72	3	1	2	2	1	4	0	6.5	0.7	9.5	0	1	1	60	10000	0	67	0.8	0.8	0.4	0.4	0	0	70	0	0	2	0|0|0|0|0|0|0|0	0	3000	4000	8000	0	1	0	16	8000	7000	0	1	0	1	12|9|7	0	0	0	0	0			0	0	0	0	0	0	0	0	0
0	4	均衡				2			0	200	3	0	20	50	60	1	0	0	0	1	0	0	0	1	0	1	1	0	1	1	1	1	0	1	0	1	1	1	1	0	0	0	2	0	1	1	1	1	1	25	1	32000	56000	40000	6000	1	17125|20000|25000|68500	15000	15000	10000	0	80000	15	72	3	0	2	2	1	4	0	5.5	0.8	5	1	1	1	80	10000	0	67	0.8	0.8	0.4	0.4	0	0	70	0	0	2	0|0|0|0|0|0|0|0	0	4000	5000	8000	0	0	0	16	8000	7000	0	1	0	1	12|9|7	0	0	0	0	0			0	0	0	0	0	0	0	0	0
0	5	唯美				2			0	200	4	1	100	100	1000	0	0	0	0	3	0	0	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	0	0	0	0	1	1	1	1	1	100	0	560000	200000	80000	12000	1	20000|25000|30000|80000	40000	40000	20000	0	800000	30	720	0	0	0	0	1	1	0	0.5	0.9	3	1	1	0	100	80000	1	67	0.8	0.8	0.4	0.4	0	0	100	0	0	3	0|0|0|0|0|0|0|0	0	5000	6000	8000	1	0	0	16	10000	9000	0	1	90	1	10|8|5	0	0	0	0	0			0	0	0	0	0	0	0	0	0
0	6	高效				2			0	200	5	0	50	50	100	0	0	0	1	1	1	0	1	0	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1	0	0	0	1	0	1	1	1	1	1	50	1	70000	70000	60000	10000	1	17125|20000|25000|68500	15000	15000	10000	0	100000	40	120	1	0	0	0	1	1	0	3	0.8	5	1	1	1	60	10000	0	67	0.8	0.8	0.4	0.4	0	0	90	0	0	2	0|0|0|0|0|0|0|0	0	4000	5000	8000	0	0	0	16	8000	7000	0	1	40	1	10|8|5	0	0	0	0	0			0	0	0	0	0	0	0	0	0
0	7	电影				2			0	200	6	1	80	80	1000	0	0	0	1	2	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1	1	1	1	1	50	1	70000	70000	60000	10000	1	17125|20000|25000|68500	30000	30000	16000	0	100000	80	640	1	0	0	0	1	1	0	2.5	0.8	4.5	1	1	0	80	20000	0	67	0.8	0.8	0.4	0.4	0	0	100	0	0	3	0|0|0|0|0|0|0|0	0	5000	6000	8000	1	0	0	16	8000	7000	0	1	90	1	10|8|5	0	0	0	0	0			0	0	0	0	0	0	0	0	0
0	8	极致				2			0	200	7	1	100	100	1000	0	0	0	1	3	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1	1	1	1	1	100	0	560000	200000	80000	12000	1	20000|25000|30000|80000	300000	300000	20000	0	800000	90	720	0	0	0	0	1	1	0	0	0.9	3	1	1	0	100	80000	1	67	0.8	0.8	0.4	0.4	0	0	100	0	0	3	0|0|0|0|0|0|0|0	0	5000	6000	8000	1	0	0	16	12000	11000	0	0	100	1	10|8|5	0	0	0	0	0			0	0	0	0	0	0	0	0	0
0	9	探索				2			0	200	8	1	100	100	1000	0	0	0	1	3	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1	1	1	1	1	100	0	560000	200000	80000	12000	1	20000|25000|30000|80000	300000	300000	20000	0	800000	90	720	0	0	0	0	1	1	0	0	0.9	3	1	1	0	100	80000	1	67	0.8	0.8	0.4	0.4	0	0	100	0	0	3	0|0|0|0|0|0|0|0	0	5000	6000	8000	1	0	0	16	12000	11000	0	0	100	1	10|8|5	0	0	0	0	0			0	0	0	0	0	0	0	0	0
