id	command	Type	imgfile	Frame	bShow	pageid
0		image	ui\Image\UICommon\Talk_face.UITex	0	1	0
1	#微笑	animate		24		
2	#可怜	animate		6		
3	#吐	animate		7		
4	#媚眼	animate		18		
5	#害羞	animate		19		
6	#尴尬	animate		20		
7	#狂汗	animate		44		
8	#恐慌	animate		27		
9	#生气	animate		47		
10	#昏	animate		37		
11	#流泪	animate		42		
12	#亲亲	image		14		
13	#沉默	image		89		
14	#无奈	image		11		
15	#傲慢	image		20		
16	#冷汗	image		21		
17	#大笑	image		35		
18	#阴险	image		129		
19	#难过	image		130		
20	#讨厌	image		117		
21	#巴掌	image		45		
22	#流汗	image		90		
23	#发怒	image		23		
24	#欣喜	image		78		
25	#口水	image		30		
26	#吓	image		31		
27	#呆	image		32		
28	#噢	image		49		
29	#呲牙	image		33		
30	#恶心	image		47		
31	#困	image		34		
32	#凶恶	image		22		
33	#狡诈	image		43		
34	#得意	image		46		
35	#鬼脸	image		70		
36	#扁嘴	image		72		
37	#撇嘴	image		69		
38	#晕	image		73		
39	#狡猾	image		92		
40	#睡	image		94		
41	#舌头	image		113		
42	#色	image		114		
43	#讶异	image		118		
44	#鄙视	image		119		
45	#酷	image		120		
46	#钱	animate		57		
47	#锤子	animate		58		
48	#打雷	animate		60		
49	#问号	animate		61		
50	#红灯	animate		54		
51	#绿灯	animate		55		
52	#黄灯	animate		63		
53	#下雨	animate		0		
54	#刀	animate		5		
55	#咖啡	animate		9		
56	#喜欢	animate		12		
57	#嘴	animate		13		
58	#唇	animate		14		
59	#心碎	animate		25		
60	#感叹号	animate		29		
61	#拍手	animate		33		
62	#握手	animate		35		
63	#猪	animate		45		
64	#玫瑰	animate		46		
65	#电话	animate		48		
66	#灯泡	animate		43		
67	#笨猪	image		93		
68	#月亮	image		77		
69	#菠萝	image		115		
70	#骷髅	image		140		
71	#礼物	image		163		
72	#严寒	image		196		
73	#寒	image		207		
74	#衰	image		206		
75	#花	image		208		
76	#香蕉	image		199		
77	#雪糕	image		203		
78	#胜利	image		214		
79	#苹果	image		217		
80	#饮料	image		220		
81	#馒头	image		223		
82	#西瓜	image		224		
83	#烟花	image		227		
84	#标记	image		230		
85	#蒜头	image		231		
86	#太阳	image		236		
87	#爱心	image		237		
88	#强	image		239		
89	#差劲	image		240		
90	#樱桃	image		277		
91	#第一名	image		289	0	
92	#第二名	image		290	0	
93	#第三名	image		291	0	
94	#蜡烛	animate		64		
95	#b害羞	animate		66		1
96	#b可怜	animate		67		1
97	#b色	animate		68		1
98	#b挨打	animate		70		1
99	#b嗷呜	animate		72		1
100	#b鄙视	animate		73		1
101	#b大笑	animate		77		1
102	#b发怒	animate		84		1
103	#b开心	animate		94		1
104	#b哭	animate		96		1
105	#b流汗	animate		99		1
106	#b亲吻	animate		104		1
107	#b呕吐	animate		113		1
108	#b抠鼻	animate		114		1
109	#b掀桌	animate		118		1
110	#b嘤嘤	animate		121		1
111	#b晕	animate		122		1
112	#b再见	animate		123		1
113	#q挨打	animate	ui\Image\UICommon\Talk_face1.UITex	0		2
114	#q嗷	animate	ui\Image\UICommon\Talk_face1.UITex	1		2
