ID	Level	TypeID	SkillID	IconID	Name	Desc	BindSkillID	TrainCost	ShowNewRecipeTip	nPriority	nShowAppendSkillID
0	0	0	0	0	测试	测试	0	-1	1	0	
1	1	0	55	0	Test	测试					
3	1	0	0	0	测试	测试					
4	1	0	0	0	测试	测试					
10	1	2	356	1825	《坐忘经·返本归元》注解残页	施展招式的消耗降低20%。		900			
11	1	2	356	1825	《坐忘经·返本归元》注解断篇	施展招式的消耗降低20%。		1500			
12	1	2	356	1825	《坐忘经·返本归元》注解绝章	施展招式的消耗降低20%。		900			
13	1	9	356	1832	《坐忘经·返本归元》真传残页	招式的有效距离增加2尺。		1800			
14	1	9	356	1832	《坐忘经·返本归元》真传断篇	招式的有效距离增加2尺。		1800			
15	1	9	356	1832	《坐忘经·返本归元》真传绝章	招式的有效距离增加2尺。		2700			
16	1	8	356	1831	《坐忘经·返本归元》人偶图残页	能卸除额外一个点穴不利效果。		3900			
17	1	8	356	1831	《坐忘经·返本归元》人偶图断篇	能卸除额外一个减速不利效果。		3600			
18	1	8	356	1831	《坐忘经·返本归元》人偶图绝章	招式立刻恢复一定气血值。		6600			
19	1	5	301	1828	《北冥剑气·两仪化形》秘诀残页	会心提高2%。		9600			
20	1	5	301	1828	《北冥剑气·两仪化形》秘诀断篇	会心提高3%。		11100			
21	1	5	301	1828	《北冥剑气·两仪化形》秘诀绝章	会心提高4%。		16500			
22	1	7	301	1830	《北冥剑气·两仪化形》详解残页	命中提高1%。		12600			
23	1	7	301	1830	《北冥剑气·两仪化形》详解断篇	命中提高2%。		13500			
24	1	6	301	1829	《北冥剑气·两仪化形》参悟残页	伤害提高3%。		9600			
25	1	6	301	1829	《北冥剑气·两仪化形》参悟断篇	伤害提高4%。		10500			
26	1	6	301	1829	《北冥剑气·两仪化形》参悟绝章	伤害提高5%。		10200			
27	1	8	301	1831	《北冥剑气·两仪化形》人偶图残页	命中目标则续气半格。		23400			
28	1	3	361	1826	《纯阳诀·凌太虚》经脉图残页	运功时间减少0.125秒。		7800			
29	1	3	361	1826	《纯阳诀·凌太虚》经脉图断篇	运功时间减少0.125秒。		7800			
30	1	3	361	1826	《纯阳诀·凌太虚》经脉图绝章	运功时间减少0.125秒。		7800			
31	1	2	361	1825	《纯阳诀·凌太虚》注解残页	施展招式的消耗降低20%。		1200			
32	1	2	361	1825	《纯阳诀·凌太虚》注解断篇	施展招式的消耗降低30%。		1800			
33	1	2	361	1825	《纯阳诀·凌太虚》注解绝章	施展招式的消耗降低40%。		1200			
34	1	12	361	1832	《纯阳诀·凌太虚》真传残页	招式的有效范围增加1尺。		3600			
35	1	12	361	1832	《纯阳诀·凌太虚》真传断篇	招式的有效范围增加1尺。		2700			
36	1	12	361	1832	《纯阳诀·凌太虚》真传绝章	招式的有效范围增加1尺。		2700			
37	1	1	355	1824	《坐忘经·凭虚御风》穴位图残页	调息时间减少15秒。		20100			
38	1	1	355	1824	《坐忘经·凭虚御风》穴位图断篇	调息时间减少15秒。		23400			
39	1	2	355	1825	《坐忘经·凭虚御风》注解绝章	施展招式的消耗降低30%。		6300		3	
40	1	2	355	1825	《坐忘经·凭虚御风》注解残页	施展招式的消耗降低20%。		6000		1	
41	1	2	355	1825	《坐忘经·凭虚御风》注解断篇	施展招式的消耗降低30%。		9900		2	
42	1	8	355	1831	《坐忘经·凭虚御风》人偶图绝章	效果持续期间每次闪避目标攻击则恢复自身2%气血最大值。		6300		3	
43	1	10	1	1833	《坐忘经·凭虚御风》手抄断篇	招式附加效果持续时间增加3秒。		17700			
44	1	8	355	1831	《坐忘经·凭虚御风》人偶图残页	移动速度提高30%，持续5秒。		20100		1	
45	1	8	355	1831	《坐忘经·凭虚御风》人偶图断篇	能卸除额外一个混元性伤害状态。		23100		2	
46	1	3	359	1826	《纯阳诀·破苍穹》经脉图残页	运功时间减少0.125秒。		7800			
47	1	3	359	1826	《纯阳诀·破苍穹》经脉图断篇	运功时间减少0.125秒。		7800			
48	1	3	359	1826	《纯阳诀·破苍穹》经脉图绝章	运功时间减少0.125秒。		7800			
49	1	2	359	1825	《纯阳诀·破苍穹》注解残页	施展招式的消耗降低20%。		1200			
50	1	2	359	1825	《纯阳诀·破苍穹》注解断篇	施展招式的消耗降低30%。		1800			
51	1	2	359	1825	《纯阳诀·破苍穹》注解绝章	施展招式的消耗降低40%。		1200			
52	1	12	359	1832	《纯阳诀·破苍穹》真传残页	招式的有效范围增加1尺。		3600			
53	1	12	359	1832	《纯阳诀·破苍穹》真传断篇	招式的有效范围增加1尺。		2700			
54	1	12	359	1832	《纯阳诀·破苍穹》真传绝章	招式的有效范围增加1尺。		2700			
55	1	1	588	1824	《天道剑势·人剑合一》穴位图残页	调息时间减少5秒。		23100			
56	1	1	1	1824	《天道剑势·人剑合一》穴位图断篇	调息时间减少3秒。		20700			
57	1	9	588	1832	《天道剑势·人剑合一》真传残页	招式的有效距离增加1尺。		13200			
58	1	9	588	1832	《天道剑势·人剑合一》真传断篇	招式的有效距离增加1尺。		13200			
59	1	9	588	1832	《天道剑势·人剑合一》真传绝章	招式的有效距离增加1尺。		16800			
60	1	6	588	1829	《天道剑势·人剑合一》参悟残页	伤害提高40%。		8700			
61	1	6	588	1829	《天道剑势·人剑合一》参悟断篇	伤害提高60%。		8100			
62	1	8	588	1831	《天道剑势·人剑合一》人偶图残页	招式附加额外的持续伤害，持续12秒。		23400			
63	1	8	905	1831	《天道剑势·人剑合一》人偶图断篇	回复气血效果提高100%。					
64	1	1	364	1824	《天道剑势·三环套月》穴位图残页	调息时间减少0.5秒。		5100			
65	1	5	364	1828	《天道剑势·三环套月》秘诀残页	会心提高2%。		2100			
66	1	5	364	1828	《天道剑势·三环套月》秘诀断篇	会心提高3%。		2400			
67	1	5	364	1828	《天道剑势·三环套月》秘诀绝章	会心提高4%。		2100			
68	1	7	364	1830	《天道剑势·三环套月》详解残页	命中提高1%。		3300			
69	1	7	364	1830	《天道剑势·三环套月》详解断篇	命中提高2%。		3300			
70	1	6	364	1829	《天道剑势·三环套月》参悟残页	伤害提高3%。		2100			
71	1	6	364	1829	《天道剑势·三环套月》参悟断篇	伤害提高4%。		2100			
72	1	6	364	1829	《天道剑势·三环套月》参悟绝章	伤害提高5%。		2400			
73	1	3	358	1826	《纯阳诀·生太极》经脉图残页	运功时间减少0.125秒。		12600			
74	1	3	358	1826	《纯阳诀·生太极》经脉图断篇	运功时间减少0.125秒。		18600			
75	1	3	358	1826	《纯阳诀·生太极》经脉图绝章	运功时间减少0.125秒。		18900			
76	1	2	358	1825	《纯阳诀·生太极》注解残页	施展招式的消耗降低20%。		2700			
77	1	2	358	1825	《纯阳诀·生太极》注解断篇	施展招式的消耗降低30%。		2700			
78	1	2	358	1825	《纯阳诀·生太极》注解绝章	施展招式的消耗降低40%。		2700			
79	1	12	358	1832	《纯阳诀·生太极》真传残页	招式的有效范围增加1尺。		7200			
80	1	12	358	1832	《纯阳诀·生太极》真传断篇	招式的有效范围增加1尺。		7500			
81	1	12	358	1832	《纯阳诀·生太极》真传绝章	招式的有效范围增加1尺。		6600			
82	1	3	367	1826	《北冥剑气·四象轮回》经脉图残页	运功时间减少0.25秒。		23400			
83	1	3	367	1826	《北冥剑气·四象轮回》经脉图断篇	运功时间减少0.25秒。		23400			
84	1	5	367	1828	《北冥剑气·四象轮回》秘诀残页	会心提高2%。		2700			
85	1	5	367	1828	《北冥剑气·四象轮回》秘诀断篇	会心提高3%。		9900			
86	1	5	367	1828	《北冥剑气·四象轮回》秘诀绝章	会心提高4%。		22200			
87	1	9	367	1832	《北冥剑气·四象轮回》真传残页	招式的有效距离增加1尺。		12300			
88	1	9	367	1832	《北冥剑气·四象轮回》真传断篇	招式的有效距离增加1尺。		14700			
89	1	9	367	1832	《北冥剑气·四象轮回》真传绝章	招式的有效距离增加1尺。		23400			
90	1	8	367	1831	《北冥剑气·四象轮回》人偶图残页	招式的减速效果提高10%。		23400			
