SetID	UIID	ReplaceUIID	Desc
0	0	0	
275	27382	27448	
275	27393	27459	
275	27404	27470	
275	27415	27481	
275	27426	27492	
275	27437	27503	
276	27383	27449	
276	27394	27460	
276	27405	27471	
276	27416	27482	
276	27427	27493	
276	27438	27504	
277	27384	27450	
277	27395	27461	
277	27406	27472	
277	27417	27483	
277	27428	27494	
277	27439	27505	
278	27385	27451	
278	27396	27462	
278	27407	27473	
278	27418	27484	
278	27429	27495	
278	27440	27506	
279	27386	27452	
279	27397	27463	
279	27408	27474	
279	27419	27485	
279	27430	27496	
279	27441	27507	
280	27387	27453	
280	27398	27464	
280	27409	27475	
280	27420	27486	
280	27431	27497	
280	27442	27508	
281	27388	27454	
281	27399	27465	
281	27410	27476	
281	27421	27487	
281	27432	27498	
281	27443	27509	
282	27389	27455	
282	27400	27466	
282	27411	27477	
282	27422	27488	
282	27433	27499	
282	27444	27510	
283	27390	27456	
283	27401	27467	
283	27412	27478	
283	27423	27489	
283	27434	27500	
283	27445	27511	
284	27391	27457	
284	27402	27468	
284	27413	27479	
284	27424	27490	
284	27435	27501	
284	27446	27512	
285	27392	27458	
285	27403	27469	
285	27414	27480	
285	27425	27491	
285	27436	27502	
285	27447	27513	
308	27748	27814	
308	27759	27825	
308	27770	27836	
308	27781	27847	
308	27792	27858	
308	27803	27869	
309	27749	27815	
309	27760	27826	
309	27771	27837	
309	27782	27848	
309	27793	27859	
309	27804	27870	
310	27750	27816	
310	27761	27827	
310	27772	27838	
310	27783	27849	
310	27794	27860	
310	27805	27871	
311	27751	27817	
311	27762	27828	
311	27773	27839	
311	27784	27850	
311	27795	27861	
311	27806	27872	
312	27752	27818	
312	27763	27829	
312	27774	27840	
312	27785	27851	
312	27796	27862	
312	27807	27873	
313	27753	27819	
313	27764	27830	
313	27775	27841	
313	27786	27852	
313	27797	27863	
313	27808	27874	
314	27754	27820	
314	27765	27831	
314	27776	27842	
314	27787	27853	
314	27798	27864	
314	27809	27875	
315	27755	27821	
315	27766	27832	
315	27777	27843	
315	27788	27854	
315	27799	27865	
315	27810	27876	
316	27756	27822	
316	27767	27833	
316	27778	27844	
316	27789	27855	
316	27800	27866	
316	27811	27877	
317	27757	27823	
317	27768	27834	
317	27779	27845	
317	27790	27856	
317	27801	27867	
317	27812	27878	
318	27758	27824	
318	27769	27835	
318	27780	27846	
318	27791	27857	
318	27802	27868	
318	27813	27879	
367	41289	41353	
367	41297	41361	
367	41305	41369	
367	41313	41377	
367	41321	41385	
367	41329	41393	
368	41290	41354	
368	41298	41362	
368	41306	41370	
368	41314	41378	
368	41322	41386	
368	41330	41394	
369	41293	41357	
369	41301	41365	
369	41309	41373	
369	41317	41381	
369	41325	41389	
369	41333	41397	
370	41294	41358	
370	41302	41366	
370	41310	41374	
370	41318	41382	
370	41326	41390	
370	41334	41398	
420	41813	43047	
420	41839	43021	
420	41865	43073	
420	41891	43125	
420	41917	43099	
420	41943	42995	
421	41814	43048	
421	41840	43022	
421	41866	43074	
421	41892	43126	
421	41918	43100	
421	41944	42996	
422	41817	43051	
422	41843	43025	
422	41869	43077	
422	41895	43129	
422	41921	43103	
422	41947	42999	
423	41818	43052	
423	41844	43026	
423	41870	43078	
423	41896	43130	
423	41922	43104	
423	41948	43000	
424	41821	43055	
424	41847	43029	
424	41873	43081	
424	41899	43133	
424	41925	43107	
424	41951	43003	
425	41823	43057	
425	41849	43031	
425	41875	43083	
425	41901	43135	
425	41927	43109	
425	41953	43005	
426	41824	43058	
426	41850	43032	
426	41876	43084	
426	41902	43136	
426	41928	43110	
426	41956	43006	
427	41827	43061	
427	41853	43035	
427	41879	43087	
427	41905	43139	
427	41931	43113	
427	41957	43009	
428	41829	43063	
428	41855	43037	
428	41881	43089	
428	41907	43141	
428	41933	43115	
428	41961	43011	
429	41830	43064	
429	41858	43038	
429	41882	43090	
429	41908	43142	
429	41934	43116	
429	41960	43012	
430	41833	43067	
430	41859	43041	
430	41885	43093	
430	41911	43145	
430	41937	43119	
430	41963	43015	
431	41837	43069	
431	41863	43043	
431	41889	43095	
431	41915	43147	
431	41941	43121	
431	41965	43017	
432	41836	43070	
432	41862	43044	
432	41888	43096	
432	41914	43148	
432	41942	43122	
432	41966	43018	
471	43225	48395	
471	43251	48423	
471	43277	48451	
471	43303	48479	
471	43329	48507	
471	43355	48535	
472	43216	48386	
472	43242	48414	
472	43268	48442	
472	43294	48470	
472	43320	48498	
