nType	szDesc	szImage	nFrame	szFrame	szTip	nSubType	nLevel	fScale
0	默认		-1	UIAtlas_Pvp_PvpMainCity_Flag.png	默认	-1	0	1
0	旗帜	ui/Image/Minimap/Minimap.UITex	202	Resource_Minimap_Minimap_稻草人标识.png				
1	密探	ui/Image/Minimap/Minimap.UITex	200	Resource_Minimap_Minimap_(new)五人精英.png				
2	尸将	ui/Image/Minimap/Minimap.UITex	200	Resource_Minimap_Minimap_(new)五人精英.png				
3	宝箱	ui/Image/Minimap/Minimap.UITex	162	Resource_Minimap_Minimap_仓库.png	宝箱			
4	灰色旗帜	ui/Image/Minimap/Minimap.UITex	247	Resource_Minimap_Minimap_灰标识.png				
5	红色旗帜	ui/Image/Minimap/Minimap.UITex	202	Resource_Minimap_Minimap_稻草人标识.png				
6	蓝色旗帜	ui/Image/Minimap/Minimap.UITex	246	Resource_Minimap_Minimap_蓝色标识.png				
7	恶人镖车	ui/Image/Minimap/Minimap3.UITex	19	Resource_Minimap_Minimap3_骆驼车.png				
8	浩气镖车	ui/Image/Minimap/Minimap3.UITex	20	Resource_Minimap_Minimap3_马车.png				
9	红方0%	ui/Image/Common/ProgressBar.UITex	76	Resource_Common_ProgressBar_红底.png	中立			0.8
10	红方20%	ui/Image/Common/ProgressBar.UITex	71	Resource_Common_ProgressBar_红1.png	红方20%			0.8
11	红方40%	ui/Image/Common/ProgressBar.UITex	72	Resource_Common_ProgressBar_红2.png	红方40%			0.8
12	红方60%	ui/Image/Common/ProgressBar.UITex	73	Resource_Common_ProgressBar_红3.png	红方60%			0.8
13	红方80%	ui/Image/Common/ProgressBar.UITex	74	Resource_Common_ProgressBar_红4.png	红方80%			0.8
14	红方100%	ui/Image/Common/ProgressBar.UITex	75	Resource_Common_ProgressBar_红5.png	红方100%			0.8
15	蓝方0%	ui/Image/Common/ProgressBar.UITex	82	Resource_Common_ProgressBar_蓝底.png	中立			0.8
16	蓝方20%	ui/Image/Common/ProgressBar.UITex	77	Resource_Common_ProgressBar_蓝1.png	蓝方20%			0.8
17	蓝方40%	ui/Image/Common/ProgressBar.UITex	78	Resource_Common_ProgressBar_蓝2.png	蓝方40%			0.8
18	蓝方60%	ui/Image/Common/ProgressBar.UITex	79	Resource_Common_ProgressBar_蓝3.png	蓝方60%			0.8
19	蓝方80%	ui/Image/Common/ProgressBar.UITex	80	Resource_Common_ProgressBar_蓝4.png	蓝方80%			0.8
20	蓝方100%	ui/Image/Common/ProgressBar.UITex	81	Resource_Common_ProgressBar_蓝5.png	蓝方100%			0.8
21	红方厚甲战车	ui/Image/Minimap/BattleMinimap.UITex	12	Resource_Minimap_BattleMinimap_红厚甲战车1_0.png	厚甲战车			
22	红方重炮战车	ui/Image/Minimap/BattleMinimap.UITex	24	Resource_Minimap_BattleMinimap_红重炮战车1_0.png	重炮战车			
23	红方巨弩战车	ui/Image/Minimap/BattleMinimap.UITex	18	Resource_Minimap_BattleMinimap_红巨弩战车1_0.png	巨弩战车			
24	蓝方厚甲战车	ui/Image/Minimap/BattleMinimap.UITex	34	Resource_Minimap_BattleMinimap_(new)蓝厚甲战车1_0.png	厚甲战车			
25	蓝方重炮战车	ui/Image/Minimap/BattleMinimap.UITex	46	Resource_Minimap_BattleMinimap_(new)蓝重炮战车1_0.png	重炮战车			
26	蓝方巨弩战车	ui/Image/Minimap/BattleMinimap.UITex	40	Resource_Minimap_BattleMinimap_(new)蓝巨弩战车1_0.png	巨弩战车			
27	蓝方军需官	ui/Image/Minimap/BattleMinimap.UITex	56	Resource_Minimap_BattleMinimap_蓝旗1_0.png	战场军需官			
28	红方军需官	ui/Image/Minimap/BattleMinimap.UITex	53	Resource_Minimap_BattleMinimap_红旗1_0.png	战场军需官			
29	红方冰塔	ui/Image/Minimap/BattleMinimap.UITex	6	Resource_Minimap_BattleMinimap_红冰炮塔1_0.png	凛霜箭塔·一级	1	1	
30	红方毒塔	ui/Image/Minimap/BattleMinimap.UITex	9	Resource_Minimap_BattleMinimap_红毒炮塔1_0.png	腐毒哨岗·一级	3	1	
31	红方火塔	ui/Image/Minimap/BattleMinimap.UITex	15	Resource_Minimap_BattleMinimap_红火炮塔1_0.png	燃火炮楼·一级	2	1	
32	蓝方冰塔	ui/Image/Minimap/BattleMinimap.UITex	28	Resource_Minimap_BattleMinimap_蓝冰炮塔1_0.png	凛霜箭塔·一级	1	1	
33	蓝方毒塔	ui/Image/Minimap/BattleMinimap.UITex	31	Resource_Minimap_BattleMinimap_蓝毒炮塔1_0.png	腐毒哨岗·一级	3	1	
34	蓝方火塔	ui/Image/Minimap/BattleMinimap.UITex	37	Resource_Minimap_BattleMinimap_蓝火炮塔1_0.png	燃火炮楼·一级	2	1	
35	蓝方默认箭塔	ui/Image/Minimap/BattleMinimap.UITex	43	Resource_Minimap_BattleMinimap_蓝普通炮塔1_0.png	普通箭塔	0		
36	红方默认箭塔	ui/Image/Minimap/BattleMinimap.UITex	21	Resource_Minimap_BattleMinimap_红普通炮塔1_0.png	普通箭塔	0		
37	死亡箭塔	ui/Image/Minimap/BattleMinimap.UITex	27	Resource_Minimap_BattleMinimap_坏掉了.png	已摧毁			
38	红方冰塔	ui/Image/Minimap/BattleMinimap.UITex	6	Resource_Minimap_BattleMinimap_红冰炮塔1_0.png	凛霜箭塔·二级	1	2	
39	红方毒塔	ui/Image/Minimap/BattleMinimap.UITex	9	Resource_Minimap_BattleMinimap_红毒炮塔1_0.png	腐毒哨岗·二级	3	2	
40	红方火塔	ui/Image/Minimap/BattleMinimap.UITex	15	Resource_Minimap_BattleMinimap_红火炮塔1_0.png	燃火炮楼·二级	2	2	
41	蓝方冰塔	ui/Image/Minimap/BattleMinimap.UITex	28	Resource_Minimap_BattleMinimap_蓝冰炮塔1_0.png	凛霜箭塔·二级	1	2	
42	蓝方毒塔	ui/Image/Minimap/BattleMinimap.UITex	31	Resource_Minimap_BattleMinimap_蓝毒炮塔1_0.png	腐毒哨岗·二级	3	2	
43	蓝方火塔	ui/Image/Minimap/BattleMinimap.UITex	37	Resource_Minimap_BattleMinimap_蓝火炮塔1_0.png	燃火炮楼·二级	2	2	
44	红方冰塔	ui/Image/Minimap/BattleMinimap.UITex	6	Resource_Minimap_BattleMinimap_红冰炮塔1_0.png	凛霜箭塔·三级	1	3	
45	红方毒塔	ui/Image/Minimap/BattleMinimap.UITex	9	Resource_Minimap_BattleMinimap_红毒炮塔1_0.png	腐毒哨岗·三级	3	3	
46	红方火塔	ui/Image/Minimap/BattleMinimap.UITex	15	Resource_Minimap_BattleMinimap_红火炮塔1_0.png	燃火炮楼·三级	2	3	
47	蓝方冰塔	ui/Image/Minimap/BattleMinimap.UITex	28	Resource_Minimap_BattleMinimap_蓝冰炮塔1_0.png	凛霜箭塔·三级	1	3	
48	蓝方毒塔	ui/Image/Minimap/BattleMinimap.UITex	31	Resource_Minimap_BattleMinimap_蓝毒炮塔1_0.png	腐毒哨岗·三级	3	3	
49	蓝方火塔	ui/Image/Minimap/BattleMinimap.UITex	37	Resource_Minimap_BattleMinimap_蓝火炮塔1_0.png	燃火炮楼·三级	2	3	
50	敌方成员	ui/Image/Minimap/Minimap.UITex	199	Resource_Minimap_Minimap_怪物点.png	敌方成员			
51	红方菌箱	ui/Image/Minimap/Minimap.UITex	202	Resource_Minimap_Minimap_稻草人标识.png	红方菌箱			0.5
52	蓝方菌箱	ui/Image/Minimap/Minimap.UITex	246	Resource_Minimap_Minimap_蓝色标识.png	蓝方菌箱			0.5
53	神秘物资箱	ui/Image/Minimap/Minimap.UITex	200	Resource_Minimap_Minimap_(new)五人精英.png	神秘物资箱			0.7
54	神秘物资箱	ui/Image/Minimap/Minimap.UITex	246	Resource_Minimap_Minimap_蓝色标识.png	神秘物资箱·蓝方			1
55	神秘物资箱	ui/Image/Minimap/Minimap.UITex	202	Resource_Minimap_Minimap_稻草人标识.png	神秘物资箱·红方			1
56	旗子	ui/Image/Minimap/Minimap.UITex	202	Resource_Minimap_Minimap_稻草人标识.png	旗子			1
57	楼兰神兵匣	ui/Image/Minimap/BattleMinimap.UITex	63	Resource_Minimap_BattleMinimap_吃鸡地图宝箱小.png	楼兰神兵匣			0.5
58	马贼	ui/Image/Minimap/BattleMinimap.UITex	65	Resource_Minimap_BattleMinimap_吃鸡地图马贼小.png	马贼			0.5
59	尸罐	ui/Image/Minimap/Minimap3.UITex	38	Resource_Minimap_Minimap3_僵尸战场小地图-尸罐.png	尸罐			1
60	感染头目刺客	ui/Image/Minimap/Minimap3.UITex	34	Resource_Minimap_Minimap3_3.png	感染头目刺客			0.5
61	感染头目法师	ui/Image/Minimap/Minimap3.UITex	36	Resource_Minimap_Minimap3_(new)2.png	感染头目法师			0.5
62	感染头目战士	ui/Image/Minimap/Minimap3.UITex	35	Resource_Minimap_Minimap3_(new)1.png	感染头目战士			0.5
63	探秘者	ui/Image/Minimap/Minimap3.UITex	40	Resource_Minimap_Minimap3_心 拷贝.png	探秘者			0.5
64	海贼	ui/Image/Minimap/BattleMinimap.UITex	65	Resource_Minimap_BattleMinimap_吃鸡地图马贼小.png	海贼			0.5
65	沧溟神兵匣	ui/Image/Minimap/BattleMinimap.UITex	63	Resource_Minimap_BattleMinimap_吃鸡地图宝箱小.png	沧溟神兵匣			0.5
66	蓝方小兵	ui/Image/Minimap/BattleMinimap3.UITex	32	Resource_Minimap_BattleMinimap3_小地图蓝小兵.png	兵俑	0		1
67	红方小兵	ui/Image/Minimap/BattleMinimap3.UITex	31	Resource_Minimap_BattleMinimap3_小地图红小兵.png	兵俑	0		1
68	蓝方英雄	ui/Image/Minimap/BattleMinimap3.UITex	35	Resource_Minimap_BattleMinimap3_蓝圈.png		0		1
69	红方英雄	ui/Image/Minimap/BattleMinimap3.UITex	34	Resource_Minimap_BattleMinimap3_红圈.png		0		1
70	野怪	ui/Image/Minimap/BattleMinimap3.UITex	33	Resource_Minimap_BattleMinimap3_小地图野怪.png	灵兽	0		1
71	凶星龙兽	ui/Image/Minimap/BattleMinimap3.UITex	30	Resource_Minimap_BattleMinimap3_小地图小龙.png	凶星龙兽	0		1
72	煞星龙兽	ui/Image/Minimap/BattleMinimap3.UITex	29	Resource_Minimap_BattleMinimap3_小地图大龙.png	煞星龙兽	0		1
73	蓝-玄武箭塔25%血	ui/Image/Minimap/BattleMinimap3.UITex	25	Resource_Minimap_BattleMinimap3_小地图防御塔蓝25%.png	玄武箭塔	0		1
74	蓝-玄武箭塔50%血	ui/Image/Minimap/BattleMinimap3.UITex	26	Resource_Minimap_BattleMinimap3_小地图防御塔蓝50%.png	玄武箭塔	0		1
75	蓝-玄武箭塔75%血	ui/Image/Minimap/BattleMinimap3.UITex	27	Resource_Minimap_BattleMinimap3_小地图防御塔蓝75%.png	玄武箭塔	0		1
76	蓝-玄武箭塔100%血	ui/Image/Minimap/BattleMinimap3.UITex	28	Resource_Minimap_BattleMinimap3_小地图防御塔蓝100%.png	玄武箭塔	0		1
77	蓝-朱雀箭塔25%血	ui/Image/Minimap/BattleMinimap3.UITex	25	Resource_Minimap_BattleMinimap3_小地图防御塔蓝25%.png	朱雀箭塔	0		1
78	蓝-朱雀箭塔50%血	ui/Image/Minimap/BattleMinimap3.UITex	26	Resource_Minimap_BattleMinimap3_小地图防御塔蓝50%.png	朱雀箭塔	0		1
79	蓝-朱雀箭塔75%血	ui/Image/Minimap/BattleMinimap3.UITex	27	Resource_Minimap_BattleMinimap3_小地图防御塔蓝75%.png	朱雀箭塔	0		1
80	蓝-朱雀箭塔100%血	ui/Image/Minimap/BattleMinimap3.UITex	28	Resource_Minimap_BattleMinimap3_小地图防御塔蓝100%.png	朱雀箭塔	0		1
81	蓝-玄武圣象25%血	ui/Image/Minimap/BattleMinimap3.UITex	6	Resource_Minimap_BattleMinimap3_6_玄武水晶-25.png	玄武圣象	0		1
82	蓝-玄武圣象50%血	ui/Image/Minimap/BattleMinimap3.UITex	7	Resource_Minimap_BattleMinimap3_7_玄武水晶-50.png	玄武圣象	0		1
83	蓝-玄武圣象75%血	ui/Image/Minimap/BattleMinimap3.UITex	8	Resource_Minimap_BattleMinimap3_8_玄武水晶-75.png	玄武圣象	0		1
84	蓝-玄武圣象100%血	ui/Image/Minimap/BattleMinimap3.UITex	9	Resource_Minimap_BattleMinimap3_9_玄武水晶-100.png	玄武圣象	0		1
85	蓝-朱雀圣象25%血	ui/Image/Minimap/BattleMinimap3.UITex	16	Resource_Minimap_BattleMinimap3_16_朱雀水晶-25.png	朱雀圣象	0		1
86	蓝-朱雀圣象50%血	ui/Image/Minimap/BattleMinimap3.UITex	17	Resource_Minimap_BattleMinimap3_17_朱雀水晶-50.png	朱雀圣象	0		1
87	蓝-朱雀圣象75%血	ui/Image/Minimap/BattleMinimap3.UITex	18	Resource_Minimap_BattleMinimap3_18_朱雀水晶-75.png	朱雀圣象	0		1
88	蓝-朱雀圣象100%血	ui/Image/Minimap/BattleMinimap3.UITex	19	Resource_Minimap_BattleMinimap3_19_朱雀水晶-100.png	朱雀圣象	0		1
