ID	Desc	MinimapImageFrame	EffectID	CursorID
0		309	0	0
1	武器商	174	34	56
2	装备商	164	23	43
3	饰品商	170	37	52
4	杂货商	159	24	45
5	药品商	175	39	50
6	食品商	169	25	44
7	阅读与书籍	171	27	41
8	马匹与饲料商	167	31	47
9	稀有物品商人	172	32	54
10	背包商	160	26	39
11	声望商	168	36	51
12	材料供应商	161	28	49
13	技艺训练师	166	29	42
14	技能训练师	165	40	53
15	仓库	162	30	40
16	信使	163	33	48
17	跨地图交通	176	38	55
18	卫兵	173	35	46
19	战场-红	189	42	0
20	战场-蓝	189	41	0
21	藏剑掌门	209	0	0
22	纯阳掌门	211	0	0
23	七秀掌门	220	0	0
24	少林掌门	221	0	0
25	万花掌门	226	0	0
26	天策掌门	225	0	0
27	影	232	0	0
28	司空仲平	223	0	0
29	张桎辕	235	0	0
30	翟季真	214	0	0
31	月弄痕	233	0	0
32	可人	216	0	0
33	谢渊	230	0	0
34	陈和尚	210	0	0
35	米丽古丽	219	0	0
36	烟	231	0	0
37	肖药儿	229	0	0
38	陶寒亭	224	0	0
39	沈眠风	222	0	0
40	康雪烛	215	0	0
41	柳公子	218	0	0
42	王遗风	228	0	0
43	复活点	238	0	0
44	曲云	239	0	0
45	唐老太太	249	0	0
46	卓凤鸣	253	0	0
47	地图内交通	254	38	55
48	陆危楼	257	0	0
49	郭岩	259	0	0
50	僧一行	260	0	0
51	萧白胭	261	0	0
52	叶晖	263	0	0
53	玄钟	262	0	0
54	李承恩	264	0	0
55	长孙忘情	5	0	0
56	杨逸飞	19	0	0
57	柳静海	27	0	0
58	方乾	106	0	0
59	恶人复活点	250	0	0
60	浩气复活点	251	0	0
61	李俶	112	0	0
62	萧卿云	113	0	0
63	陈月	242	0	0
64	谢云流	286	0	0
65	虹猫	346	0	0
66	蓝兔	347	0	0
67	莎丽	349	0	0
68	逗逗	345	0	0
69	大奔	344	0	0
70	跳跳	350	0	0
71	达达	343	0	0
72	接引灵兽	348	0	0
73	灵鸽	351	0	0
74	宠物奇遇	358	0	0
75	大战牌子	368	0	0
76	名望商人	369	0	0
77	洞穴出入口	370	0	0
78	颂少风	371	0	0
