MapID	SymbolID	ImagePath	nFrame	Name	Description	Position
0	0		0			
2	1	ui/Image/Minimap/Minimap.UITex	200	醉猿	醉猿出没处	74823,65043;71779,61216;69255,48138;67353,41763;50872,50318;38813,42257;41014,38680;33331,36793;53799,27928;42010,22457;
2	2	ui/Image/Minimap/Minimap.UITex	200	水月宫腹地	九子连环阵最终据点	15723,13137;
2	3	ui/Image/Minimap/Minimap.UITex	200	机甲驾驭处	可在此处选择机甲	33129,35378;
5	1	ui/Image/Minimap/Minimap.UITex	200	醉猿	醉猿出没处	5667,13706;22648,11113;37553,18987;54596,27713;58550,38506;30075,37716;24236,47130;26359,59309;24042,72735;28993,74369;
5	2	ui/Image/Minimap/Minimap.UITex	200	少林演武场		10066,56572;
6	1	ui/Image/Minimap/Minimap.UITex	200	元宵节	元宵节放花灯处	57997,36805;
6	2	ui/Image/Minimap/Minimap.UITex	200	醉猿	醉猿出没处	43491,42460;32785,58119;37128,38006;58407,34260;68996,14520;28260,17918;38109,31503;71300,24825;68647,34361;20524,67148;
6	3	ui/Image/Minimap/Minimap.UITex	200	魂墟祭坛	魂墟祭坛可能出现的位置	68879,46342,1052160;69017,37282,1050624;63114,16858,1048832;65616,11095,1049536;40486,18510,1050688;32590,10247,1051584;22004,10554,1052032;27796,25439,1064064;27865,69970,1046976;58714,47383,1054656
7	1	ui/Image/Minimap/Minimap.UITex	200	醉猿	醉猿出没处	39520,2925;32096,10216;27132,17669;31564,47165;24321,47324;30900,63800;32508,75443;38495,69295;48523,80230;54327,92605;
7	2	ui/Image/Minimap/Minimap.UITex	200	一刀流入侵	谢云流李忘生激战区域	25948,20508;
7	3	ui/Image/Minimap/Minimap.UITex	200	一刀流入侵	一刀流出没区域	30670,31259;
9	1	ui/Image/Minimap/Minimap.UITex	200	醉猿	醉猿出没处	54562,81664;50729,73669;53411,58778;45596,48265;31132,45231;22824,29504;19476,25283;9155,15641;38061,55575;40198,75712;
9	2	ui/Image/Minimap/Minimap.UITex	200	叛逃者		54562,81664;
9	3	ui/Image/Minimap/Minimap.UITex	200	叛逃者		50729,73669;
9	4	ui/Image/Minimap/Minimap.UITex	200	叛逃者		53411,58778;
9	5	ui/Image/Minimap/Minimap.UITex	200	叛逃者		45596,48265;
9	6	ui/Image/Minimap/Minimap.UITex	200	叛逃者		31132,45231;
9	7	ui/Image/Minimap/Minimap.UITex	200	叛逃者		22824,29504;
9	8	ui/Image/Minimap/Minimap.UITex	200	叛逃者		19476,25283;
9	9	ui/Image/Minimap/Minimap.UITex	200	叛逃者		9155,15641;
9	10	ui/Image/Minimap/Minimap.UITex	200	叛逃者		8180,6210;
9	11	ui/Image/Minimap/Minimap.UITex	200	叛逃者		18697,8463;
9	12	ui/Image/Minimap/Minimap.UITex	200	沐云冲	野外地图首领	34899,26918;
10	1	ui/Image/Minimap/Minimap.UITex	200	醉猿	醉猿出没处	14722,35633;21864,44155;26854,51960;29244,59348;43149,62018;40483,69070;40478,78253;32197,83011;40661,86791;42748,94381;
10	2	ui/Image/Minimap/Minimap.UITex	200	叛逃者		14722,35633;
10	3	ui/Image/Minimap/Minimap.UITex	200	叛逃者		21864,44155;
10	4	ui/Image/Minimap/Minimap.UITex	200	叛逃者		26854,51960;
10	5	ui/Image/Minimap/Minimap.UITex	200	叛逃者		29244,59348;
10	6	ui/Image/Minimap/Minimap.UITex	200	叛逃者		43149,62018;
10	7	ui/Image/Minimap/Minimap.UITex	200	叛逃者		40483,69070;
10	8	ui/Image/Minimap/Minimap.UITex	200	叛逃者		40478,78253;
10	9	ui/Image/Minimap/Minimap.UITex	200	叛逃者		32197,83011;
10	10	ui/Image/Minimap/Minimap.UITex	200	叛逃者		40661,86791;
10	11	ui/Image/Minimap/Minimap.UITex	200	叛逃者		42748,94381;
10	12	ui/Image/Minimap/Minimap.UITex	200	濯垢奇蛛	野外地图首领	37481,82307;
11	1	ui/Image/Minimap/Minimap.UITex	200	醉猿	醉猿出没处	54944,8274;41171,15390;34718,22469;31215,29246;34319,35678;33386,45091;44882,50080;56184,54817;56305,59297;59308,61577;
11	2	ui/Image/Minimap/Minimap.UITex	200	练兵区域		57930,17710;
11	3	ui/Image/Minimap/Minimap.UITex	200	射箭围猎报名区域		44671,17053;
11	4	ui/Image/Minimap/Minimap.UITex	200	东原狼围栏口		40809,12301;
11	5	ui/Image/Minimap/Minimap.UITex	200	北原猪围栏口		34869,29320;
11	6	ui/Image/Minimap/Minimap.UITex	200	西原虎围栏口		14100,25106;
11	7	ui/Image/Minimap/Minimap.UITex	200	南原熊围栏口		24650,15575;
12	1	ui/Image/Minimap/Minimap.UITex	200	醉猿	醉猿出没处	8484,39681;17043,31802;30575,36058;14567,16350;32181,15423;52634,21510;51406,28754;63003,18623;69551,30752;77586,46742;
12	2	ui/Image/Minimap/Minimap.UITex	200	叛逃者		8484,39681;
12	3	ui/Image/Minimap/Minimap.UITex	200	叛逃者		17043,31802;
12	4	ui/Image/Minimap/Minimap.UITex	200	叛逃者		30575,36058;
12	5	ui/Image/Minimap/Minimap.UITex	200	叛逃者		14567,16350;
12	6	ui/Image/Minimap/Minimap.UITex	200	叛逃者		32181,15423;
12	7	ui/Image/Minimap/Minimap.UITex	200	叛逃者		52634,21510;
12	8	ui/Image/Minimap/Minimap.UITex	200	叛逃者		51406,28754;
