MapId	MapName	Describe	Group0	Group1	Group2	Group3	PQOption0Name	PQOption0Icon	PQOption1Name	PQOption1Icon	PQOption2Name	PQOption2Icon	PQOption3Name	PQOption3Icon	Reward0Icon	Reward1Icon	Reward2Icon	Reward3Icon	HelpImage	HelpText	Type	szTypeName	szActivityID	szTimeTip	szSubMapID
0								-1		-1		-1		-1	-1	-1	-1	-1			0				
38	神农洇	神农洇中曾经是被天一教虏控制多年的五毒教前代使者南纳西核心驻地，藏匿了南纳西写下的许多关于兽化傀儡的秘件、以及五毒禁术应用的成果。天一教被击退后，这里成为两大阵营角力的新战场。	溶溪寨	火塘寨			背箱时间		参与拦截		士气值				99	132	61		\ui\Image\BattleField\shennongyin.tga	<text>text="战场背景：\n"font=31</text><text>text="\n神农洇中曾经是被天一教虏控制多年的五毒教前代使者南纳西核心驻地，藏匿了南纳西写下的许多关于兽化傀儡的秘件、以及五毒禁术应用的成果。天一教被击退后，由于此地土壤非常适合种植珍稀药材，引得周边两处本就有世仇的火塘寨和溶溪寨来回争抢，互不相让，以致事态愈演愈烈。\n最近两寨纷纷广募人手，无论来历，只为给对方一点颜色瞧瞧。"font=0</text><text>text="\n\n胜利目标：\n"font=31</text><text>text="\n天一祭坛会不断的刷新神秘的物资箱，将物资箱运回自己营地即可获得分数。\n任意一方先成功运送完三个箱子则获得本场比赛的胜利。"font=0</text><text>text="\n\n得分方法：\n"font=31</text><text>text="\n每成功运送回一个神秘的物资箱，即可获得一分。\n运送箱子的时候，请注意全团配合，防止对面拦截抢夺。离己方营地越近，同时也离对方营地越近，不到最后一刻不要大意。同时运送箱子进入毒沼，会激发物资箱中的毒气，造成更长的伤害和减速，切忌。"font=0</text>"		每日战场	70	<D0>12点至次日凌晨1点可获得战阶积分奖励、双倍威望奖励（期间战阶也双倍奖励）。	
48	九宫棋谷	隐元会在江湖中散播九宫棋谷中存有《九天兵鉴》和无数珍宝的消息，广发英雄帖，邀请浩气盟与恶人谷双方精锐前往九宫棋谷中寻找珍宝，为防谷中的珍宝落入敌方阵营之手，浩气盟与恶人谷皆尽出精锐，赶赴九宫棋谷。	将	帅			珍珑宝箱	26	武典残页	26					99	132	61		\ui\Image\BattleField\zhenlongqigu.tga	<text>text="战场背景：\n"font=31</text><text>text="\n九宫棋谷原为一个隐秘的世外桃源，其中密林环绕，其中残留的棋局更是暗藏玄妙，至今无人能搬动其巨大的棋子。后来被周墨发现，花费巨资从地方官手中买下了这块巨大的谷底，用于收藏南北行商中收获的名画珍宝等。紧接着，伊玛目令属下隐元会成员在江湖中暗处散播九宫棋谷中存有《九天兵鉴》和无数珍宝的消息，明处广发英雄帖，邀请浩气盟与恶人谷双方精锐前往九宫棋谷中寻找珍宝，为表隐元会的不偏不倚，浩气盟与恶人谷双方每批只可最多派出十人深入谷中，其余人等可于谷底之上观看。司马昭之心路人皆知，隐元会此贴虽名为寻宝，实为要双方血拼。谢渊与王遗风都明白隐元会此举必然会引发双方在谷中血战，但谷中的《九天兵鉴》和无数珍宝一旦落入对方手中，必然瞬间壮大对方实力，己方倾覆只在弹指之间。无数身处中立的江湖人士也为了各自的信念，各自加入了其中一方，为其助阵。"font=0</text><text>text="\n\n胜利目标：\n"font=31</text><text>text="\n积分先达到一千或在战场结束时领先的一方获得胜利。"font=0</text><text>text="\n\n得分方法：\n"font=31</text><text>text="\n谷地四个角落的高台和中央的河谷会刷新珍珑宝箱，获得宝箱的一方会获得高分奖励。\n另外玩家重伤则会给对方加分，夺取空中飘落的武典残页也会获得加分。"font=0</text>"		每日战场	71	<D0>12点至次日凌晨1点可获得战阶积分奖励、双倍威望奖励（期间战阶也双倍奖励）。	
50	西风古道	这是一条连通大唐和西域的秘密商道，始于隋朝，据传长期掌握在西域商会的手中。而这条商道究竟做何贸易外人不得而知，只知因为这条商道，西域与大唐的一些稀缺贸易皆被西域商会垄断。而在开元年间，这条商道突然废弃，因路线较短，一些商人便从黑市买了地图，从此道运送一些急需的商品。但因少了西域商会镖队的保护，这条商道变得异常凶险，频发匪盗劫货的情况。	风雷	流火			护镖车		运镖银		截镖车		开旗守旗		99	132	61		\ui\Image\BattleField\sichouzhilu.tga	<text>text="战场背景：\\\n" font=163</text><text>text="\\\n这是一条连通大唐和西域的秘密商道，始于隋朝，据传长期掌握在西域商会的手中。而这条商道究竟做何贸易外人不得而知，只知因为这条商道，西域与大唐的一些稀缺贸易皆被西域商会垄断。而在开元年间，这条商道突然废弃，因路线较短，一些商人便从黑市买了地图，从此道运送一些急需的商品。但因少了西域商会镖队的保护，这条商道变得异常凶险，频发匪盗劫货的情况。而在此道上，曾经的两个驿站——风雷驿、流火驿，亦成为了取道此地的镖队的关键据地。" font=18</text><text>text="\\\n\\\n胜利目标：\\\n" font=163</text><text>text="\\\n占领有利位置，才能保护好货运路线，如果想赚点外快，还可以自己运送货物" font=18</text><text>text="\\\n\\\n得分方法：\\\n" font=163</text><text>text="\\\n占领有利地势，护送车辆达到目的地，或者自己运送镖银\\\n　　　" font=18</text>		每日战场	75	<D0>12点至次日凌晨1点可获得战阶积分奖励、双倍威望奖励（期间战阶也双倍奖励）。	
52	云湖天池	为了从隐元会抢到《寒冰诀》的消息，昆仑派和刀宗约战云湖天池，获胜者才有资格向隐元会买《寒冰诀》的消息。因此，昆仑派和刀宗征召江湖高手决战云湖天池助他们获得《寒冰诀》的下落。	昆仑	刀宗			夺旗	26							99	132	61		\ui\Image\BattleField\yunhutianchi.tga	<text>text="战场背景：\n"font=31</text><text>text="\n《寒冰诀》乃昆仑派上乘武学秘笈，不慎丢失，流落江湖。传闻世间唯有隐元会得知《寒冰诀》的下落，而隐元会只会将这消息卖给一个买主。\n为了争夺向隐元会购买《寒冰诀》消息的资格，昆仑派和刀宗约战云湖天池，胜者可以向隐元会购买消息，败者从此不得过问《寒冰诀》之事。岂料，昆仑派和刀宗高手如云，两派高手在云湖天池大战七七四十九日竟不分胜负。无奈之下，双方决定从江湖中招纳高手分别代表双方出战，一年之内胜场最多的一方得购买《寒冰诀》下落的资格。"font=0</text><text>text="\n\n胜利目标：\n"font=31</text><text>text="\n积分先达到一百或在战场结束时领先的一方获得胜利。"font=0</text><text>text="\n\n得分方法：\n"font=31</text><text>text="\n天池中央的平台会周期性刷新擂旗，获得擂旗的一方会获得高分奖励。\n另外玩家重伤则会给对方加分，某些道具也会改变双方积分。"font=0</text>"		每日战场	72	<D0>12点至次日凌晨1点可获得战阶积分奖励、双倍威望奖励（期间战阶也双倍奖励）。	
135	三国古战场	浩气盟与恶人谷这两个老对手在此三国古战场，皆不甘将头筹让与对手，这里虽是段氏一族摆下的遴选天下英雄的战阵，也成为了谷盟之争的另一个决战场！刃在手，看今朝，谁与争锋！！	幽荧	烛照			占旗个数		守旗时长						99	132	61		\ui\Image\BattleField\sanguoguzhanchang.tga	<text>text="战场背景：\\\n" font=163</text><text>text="\\\n天南段氏本家数年来因功高震主而为南诏之王忌惮，为图自保，段氏在三国古战场摆下战局，特提供奖赏邀请各路豪杰于此演武。段氏一族始终奉行“阴阳相生，原始反终”之道，故设“烛照、“幽荧”两队以法阴阳之别进行演武，若能在此战局中拔得头筹，段氏必以厚礼相聘。" font=18</text><text>text="\\\n\\\n胜利目标：\\\n" font=163</text><text>text="\\\n得分最高者，即可获得胜利" font=18</text><text>text="\\\n\\\n得分方法：\\\n" font=163</text><text>text="\\\n占领场景里的据点，占领的越多，得分越多\\\n　　　" font=18</text>		每日战场	121	<D0>12点至次日凌晨1点可获得战阶积分奖励、双倍威望奖励（期间战阶也双倍奖励）。	
149	雪原争锋	自古以来，此地一直为两帮会决斗场所，谁的实力更加强大，此时便是证明的时机！	蓝方	红方			消灭敌兵		摧毁箭塔		击破战车		占领矿区		64	132	61		\ui\Image\BattleField\banghuiyuezhan.tga	<text>text="战场背景：\\\n" font=163</text><text>text="\\\n隐元会门下风媒探查明教行踪之时，在昆仑山脉雪谷中发现一处险地，其间山水交错，小道盘桓，极适合实战演练与生死搏杀。消息传回后不胫而走，散于江湖。各帮会也时常将此处视为解决矛盾或胜负较量的场地，久而久之，约战于此变成了这个江湖的规矩……" font=18</text><text>text="\\\n\\\n胜利目标：\\\n" font=163</text><text>text="\\\n摧毁敌方据点内的帮会战旗即为胜！" font=18</text><text>text="\\\n\\\n得分方法：\\\n" font=163</text><text>text="\\\n占领矿区、击伤对方帮会成员或守卫以及摧毁箭塔战车等，均会获得资源，记得使用资源升级箭塔和建造战车！\\\n　　　" font=18</text>	1				
186	浮香丘	冷香菌是重要物资，我们要尽可能多的积攒它们！	溶溪寨	火塘寨			运送菌箱		守旗时长						99	132	61		\ui\Image\BattleField\fuxiangqiu.tga	<text>text="战场背景：\\\n" font=163</text><text>text="\\\n山林大泽之中，多有异兽灵花埋藏，中华疆域辽阔，自神农以降，千百年来虽有历代采药寻仙之人寻探不绝，仍有无数秘密隐藏世外。\n大唐年间，五毒教采药人于苗岭山脉中探得一幽静小丘，丘内生有一种特异菌种散发出的清冷气息令人头脑为之振作，采药人采摘回返，菌种却难以长久保存。后五毒教中制药大师前来此谷，才发现菌种采摘之后，药性迅速散发，须在一日内制成药汁，否则难以为用，而制成之汁液有澄明心意，助武人突破武学壁障之效，将此谷命名为“浮香丘”。\n以药材种植为生的火塘寨和溶溪寨恰巧离此山丘不远，纷纷来此采集冷香菌制药，然而，本就有旧怨的两村都不愿将这种珍贵药材留给对方，争抢在所难免。" font=18</text><text>text="\\\n\\\n胜利目标：\\\n" font=163</text><text>text="\\\n一定要比对方占领的据点更多，并且获得更多的冷香菌！" font=18</text><text>text="\\\n\\\n得分方法：\\\n" font=163</text><text>text="\\\n更多的占领据点，并且将珍贵的冷香菌带回来！如果是对方的那就更好了！！\\\n　　　" font=18</text>		每日战场	246	<D0>12点至次日凌晨1点可获得战阶积分奖励、双倍威望奖励（期间战阶也双倍奖励）。	
293	拭剑园	在名剑大会海选比武中小试锋芒吧！	我方	对方											99	132	61		\ui\Image\BattleField\shijianyuan.tga	<text>text="战场背景：\\\n" font=163</text><text>text="\\\n时值名剑大会海选之际，奉师门之命，行历练之约。请尽情在比武场上一展身手吧。" font=18</text><text>text="\\\n\\\n胜利目标：\\\n" font=163</text><text>text="\\\n我方率先取得40分！" font=18</text><text>text="\\\n\\\n得分方法：\\\n" font=163</text><text>text="\\\n重伤对面选手，可获得一分，己方队友被重伤，对方获得一分！！\\\n　　　" font=18</text>	3	每日战场	246	<D0>奉师门之命，前来历练一番。机会只有一次，请好好珍惜。	
296	绝境战场														27				\ui\Image\BattleField\longmenxunbao.tga	<text>text="战场背景\\\n"font=163</text><text>text="\\\n东汉末年，玉门关外的西域三十六国亦相互争斗，楼兰公主图兰率领麾下之傀儡大军，意欲一统西域。奈何壮志未酬，徒留下财宝与传说。如今一场罕见沙暴使掩埋于地下的宝藏重见天日，闻风而来的江湖豪客展开了一场又一场生死搏杀，以期能寻得楼兰留下的些许珍奇。" font=18</text><text>text="\\\n\\\n胜利目标：\\\n" font=163</text><text>text="\\\n尽量多的收集武器，装备，药品等，且躲避沙暴的驱赶，尽早到达安全区，并解决所有敌人。" font=18</text><text>text="\\\n\\\n得分方法：\\\n" font=163</text><text>text="\\\n重伤敌对选手，并且活到最后！！\\\n　　　" font=18</text>	4				297;
