ID	TITLE	DESC
0		
1	冬至礼盒	<G>寒冬已至，这些薄礼还望大侠笑纳
2	红包	
3	破旧的宝盒	
4	宝盒·己印	
5	宝盒·丙印	
6	宝盒·戊印	
7	宝盒·庚印	
8	打开的月光宝盒	
9	春节礼包	
10	开锁的藏剑宝盒	
11	开锁的江湖宝盒	
12	开锁的古旧宝盒	
13	开锁的朱漆宝盒	
14	开锁的雕纹宝盒	
15	至尊大礼·1级	
16	至尊大礼·5级	
17	至尊大礼·10级	
18	至尊大礼·15级	
19	锦春套装宝箱	
20	至尊大礼·20级	
21	至尊大礼·30级	
22	至尊大礼·40级	
23	至尊大礼·50级	
24	中秋礼盒	<G>中秋佳节，愿大家团团圆圆，幸福美满
25	战江湖活动礼包	
26	回归大礼包	
27	兔年礼盒	
28	如意袋·天	
29	如意袋·地	
30	如意袋·人	
31	少侠成长包·10级	
32	少侠成长包·20级	
33	少侠成长包·30级	
34	少侠成长包·40级	
35	少侠成长包·50级	
36	少侠成长包·60级	
37	少侠成长包·70级	
38	再会首礼盒·甲	
39	再会首礼盒·乙	
40	再会首礼盒·丙	
41	再会首礼盒·丁	
42	再会首礼盒·戊	
43	隐元秘宝·欢庆绿水	
44	隐元秘宝·耀华鞍具	
45	隐元秘宝·暗金鞍具	
46	隐元秘宝·幽骥鞍具	
47	隐元秘宝·月骐鞍具	
48	隐元秘宝·明焕鞍具	
49	至尊大礼·60级	
50	至尊大礼·70级	
51	至尊大礼·80级	
52	隐元秘宝·银蛟和魅影鞍具	
53	至尊大礼·1级	
54	至尊大礼·5级	
55	至尊大礼·10级	
56	隐元秘宝·生皮鞍具	
57	至尊大礼·1级	
58	至尊大礼·5级	
59	至尊大礼·10级	
60	至尊大礼·15级	
61	龙腾大礼包	<G>龙腾虎跃，喜迎新春
62	隐元秘宝·战魂马具	
63	隐元秘宝·师徒情真·甲	<G>亲传师徒，情深意重
64	隐元秘宝·师徒情真·乙	<G>亲传师徒，情深意重
65	隐元秘宝·师徒情真·丙	<G>亲传师徒，情深意重
66	隐元秘宝·师徒情真·丁	<G>亲传师徒，情深意重
67	隐元秘宝·师徒情真·戊	<G>亲传师徒，情深意重
68	称心如意盒	
69	奇境·剑侠情	
70	聚义·剑侠情	
71	游仙·剑侠情	
72	佳人·剑侠情	
73	茶味·剑侠情	
74	少侠成长包·5级	
75	少侠成长包·80级	
76	隐元秘宝`阿湿矩沙鞍具	
77	隐元秘宝`踏炎鞍具	
78	剑心的赠礼	
79	马上有礼包	<G>骏马迎新春，马上有好礼！
80	剑心的包裹	
81	玉贤的谢礼	
82	玉贤的谢礼	
83	迎春礼包	<G>喜鹊登枝迎新春，金蛇起舞报福音
84	剑心的馈赠	
85	峥嵘宝盒	
86	奇境·乱世浮生	
87	聚义·乱世浮生	
88	茶味·乱世浮生	
89	少侠成长包·90级	
90	尚贤礼盒·义	
91	尚贤礼盒·礼	
92	尚贤礼盒·智	
93	尚贤礼盒·信	
94	尚贤礼盒·忠	
95	尚贤礼盒·孝	
96	奇境	
97	聚义	
98	茶味	
99	首充礼包	
100	茶味	
101	令狐伤的馈赠	
102	令狐伤的包裹	
103	令狐伤的谢礼	
104	令狐伤的谢礼	
105	虚位交椅凭证	
106	虚空交椅凭证	
107	踏炎乌骓的缰绳	
108	剑心的赠礼	
109	隐元秘宝·橙风鞍具	
110	隐元秘宝·啸云鞍具	
111	隐元秘宝·血烟金风鞍具	
112	七宝如意盒	
113	马上有礼包	<G>骏马迎新春，马上有好礼！
114	《肖药儿武器篇·下》书袋	
115	《张桎辕兵法篇·二》书袋	
116	《莫雨宝甲篇》书袋	
117	《可人武功篇·二》书袋	
118	《陶寒亭秘闻·三》书袋	
119	《穆玄英剑谱篇·下部》书袋	
120	清爽夏日师徒礼包	
121	少侠成长武器礼包·20级	
122	少侠成长武器礼包·30级	
123	少侠成长武器礼包·50级	
124	少侠成长武器礼包·70级	
125	少侠成长武器礼包·80级	
126	少侠成长武器礼包·90级	
127	隐元秘宝·银蛟鞍具	
128	隐元秘宝·魅影鞍具	
129	隐元秘宝·银蛇鞍具	
130	聚义·洛阳乱	
131	天照仙古箱	
132	盘月珠御囊	
133	九天·十全大补	
134	贺岁大礼包	
135	豪华贺岁礼包	
136	少侠养成包·10级	
137	少侠养成包·20级	
138	少侠养成包·30级	
139	少侠养成包·40级	
140	少侠养成包·50级	
141	少侠养成包·60级	
142	少侠养成包·70级	
143	少侠养成包·80级	
144	少侠养成包·90级	
145	少侠养成包·10级	
146	少侠养成包·20级	
147	少侠养成包·30级	
148	少侠养成包·40级	
149	少侠养成包·50级	
150	少侠养成包·60级	
151	少侠养成包·70级	
152	少侠养成包·80级	
153	少侠养成包·90级	
154	少侠养成包·10级	
155	少侠养成包·20级	
156	少侠养成包·30级	
157	少侠养成包·40级	
158	少侠养成包·50级	
159	少侠养成包·60级	
160	少侠养成包·70级	
161	少侠养成包·80级	
162	少侠养成包·90级	
163	少侠养成包·10级	
164	少侠养成包·20级	
165	少侠养成包·30级	
166	少侠养成包·40级	
167	少侠养成包·50级	
168	少侠养成包·60级	
169	少侠养成包·70级	
170	少侠养成包·80级	
171	少侠养成包·90级	
172	糖果礼包	
173	聚义·洛阳城	
174	六周年祝福礼盒	
175	剑心的赠礼	
176	问天·侠马具	
177	游旷·侠马具	
178	奇境·剑侠情	
179	聚义·剑侠情	
180	茶味·剑侠情	
181	隐元赠礼·茶味	
182	隐元赠礼·奇境	
183	隐元赠礼·行商	
184	隐元赠礼·晶矿	
185	隐元赠礼·美人	
186	隐元赠礼·入画	
187	隐元赠礼·寻龙	
188	隐元赠礼·仙草	
189	隐元赠礼·茶味	
190	隐元赠礼·角逐	
191	隐元赠礼·美人	
192	隐元赠礼·奇境	
193	隐元赠礼·入画	
194	隐元赠礼·仙草	
195	隐元赠礼·行商	
196	隐元赠礼·寻龙	
197	隐元赠礼·晶矿	
198	隐元赠礼·行商	
199	媒体礼包	
200	大美江湖·良品礼包	
201	大美江湖·精品礼包	
202	大美江湖·绝品礼包	
203	重制版祈愿礼包	
204	剑侠情缘宝箱	
205	隐元赠礼·行商	
206	碧涛宝箱·侠	
207	碧涛宝箱·义	
208	云帆宝箱	
209	少侠成长包95级	
210	少侠成长包95级	
211	少侠成长包95级	
212	少侠成长包95级	
213	少侠成长包100级	
214	寻道宝箱	
215	西山秘宝·驰电掣风礼盒	
216	武林秘宝·风起稻香	
217	武林秘宝·巴蜀风云	
218	武林秘宝·安史之乱	
219	武林秘宝·剑胆琴心	
220	聚义·道源岛	
221	行商·剑侠情	
222	奇境·剑侠情	
223	茶味·剑侠情	
224	聚义·剑侠情	
225	聚义·道源岛	
226	聚义·蔷薇岛	
227	行商·剑侠情	
228	奇境·剑侠情	
229	行商·剑侠情	
230	茶味·剑侠情	
231	隐元秘宝·江湖夜雨鞍具	
232	聚义·矿车缘	
233	隐元秘宝·银华飒踏鞍具	
234	奇境·剑侠情	
235	行商·剑侠情	
236	茶味·剑侠情	
237	聚义·矿车缘	
238	同心宝箱·铁血	
239	同心宝箱·旬日	
240	同心宝箱·流年	
241	奇境·剑侠情	
242	行商·剑侠情	
243	茶味·剑侠情	
244	聚义·矿车缘	
245	隐元秘宝·紫彩鞍具	
246	隐元秘宝·迷渡鞍具	
247	行商·剑侠情	
248	聚义·矿车缘	
249	隐元秘宝·金枝鞍具	
250	隐元秘宝·玄霜鞍具	
