ShopTemplateID	ShopName	ConfigFile	CanRepair	ScriptName	RequireForceID	PlayerRemoteDataID	CustomShop	comment	SystemShop
1	名剑大会·255品恶人谷藏剑装备	Arena\Lv255_ER_CJ.tab	1					装备	
2	名剑大会·255品恶人谷纯阳装备	Arena\Lv255_ER_CY.tab	1					装备	
3	名剑大会·255品恶人谷七秀装备	Arena\Lv255_ER_QX.tab	1					装备	
4	名剑大会·255品恶人谷少林装备	Arena\Lv255_ER_SL.tab	1					装备	
5	名剑大会·255品恶人谷天策装备	Arena\Lv255_ER_TC.tab	1					装备	
6	名剑大会·255品恶人谷唐门装备	Arena\Lv255_ER_TM.tab	1					装备	
7	名剑大会·255品恶人谷五毒装备	Arena\Lv255_ER_WD.tab	1					装备	
8	名剑大会·255品恶人谷万花装备	Arena\Lv255_ER_WH.tab	1					装备	
9	名剑大会·255品浩气盟藏剑装备	Arena\Lv255_HQ_CJ.tab	1					装备	
10	名剑大会·255品浩气盟纯阳装备	Arena\Lv255_HQ_CY.tab	1					装备	
11	名剑大会·255品浩气盟七秀装备	Arena\Lv255_HQ_QX.tab	1					装备	
12	名剑大会·255品浩气盟少林装备	Arena\Lv255_HQ_SL.tab	1					装备	
13	名剑大会·255品浩气盟天策装备	Arena\Lv255_HQ_TC.tab	1					装备	
14	名剑大会·255品浩气盟唐门装备	Arena\Lv255_HQ_TM.tab	1					装备	
15	名剑大会·255品浩气盟五毒装备	Arena\Lv255_HQ_WD.tab	1					装备	
16	名剑大会·255品浩气盟万花装备	Arena\Lv255_HQ_WH.tab	1					装备	
17	名剑大会·255品中立藏剑装备	Arena\Lv255_ZL_CJ.tab	1					装备	
18	名剑大会·255品中立纯阳装备	Arena\Lv255_ZL_CY.tab	1					装备	
19	名剑大会·255品中立七秀装备	Arena\Lv255_ZL_QX.tab	1					装备	
20	名剑大会·255品中立少林装备	Arena\Lv255_ZL_SL.tab	1					装备	
21	名剑大会·255品中立天策装备	Arena\Lv255_ZL_TC.tab	1					装备	
22	名剑大会·255品中立唐门装备	Arena\Lv255_ZL_TM.tab	1					装备	
23	名剑大会·255品中立五毒装备	Arena\Lv255_ZL_WD.tab	1					装备	
24	名剑大会·255品中立万花装备	Arena\Lv255_ZL_WH.tab	1					装备	
25	名剑大会·270品中立藏剑装备	Arena\Lv270_ZL_CJ.tab	1					装备	
26	名剑大会·270品中立纯阳装备	Arena\Lv270_ZL_CY.tab	1					装备	
27	名剑大会·270品中立七秀装备	Arena\Lv270_ZL_QX.tab	1					装备	
28	名剑大会·270品中立少林装备	Arena\Lv270_ZL_SL.tab	1					装备	
29	名剑大会·270品中立天策装备	Arena\Lv270_ZL_TC.tab	1					装备	
30	名剑大会·270品中立唐门装备	Arena\Lv270_ZL_TM.tab	1					装备	
31	名剑大会·270品中立五毒装备	Arena\Lv270_ZL_WD.tab	1					装备	
32	名剑大会·270品中立万花装备	Arena\Lv270_ZL_WH.tab	1					装备	
33	名剑大会·270品阵营藏剑装备	Arena\Lv270_ZY_CJ.tab	1					装备	
34	名剑大会·270品阵营纯阳装备	Arena\Lv270_ZY_CY.tab	1					装备	
35	名剑大会·270品阵营七秀装备	Arena\Lv270_ZY_QX.tab	1					装备	
36	名剑大会·270品阵营少林装备	Arena\Lv270_ZY_SL.tab	1					装备	
37	名剑大会·270品阵营天策装备	Arena\Lv270_ZY_TC.tab	1					装备	
38	名剑大会·270品阵营唐门装备	Arena\Lv270_ZY_TM.tab	1					装备	
39	名剑大会·270品阵营五毒装备	Arena\Lv270_ZY_WD.tab	1					装备	
40	名剑大会·270品阵营万花装备	Arena\Lv270_ZY_WH.tab	1					装备	
41	名剑大会·295品中立藏剑装备	Arena\Lv295_ZL_CJ.tab	1					装备	
42	名剑大会·295品中立纯阳装备	Arena\Lv295_ZL_CY.tab	1					装备	
43	名剑大会·295品中立七秀装备	Arena\Lv295_ZL_QX.tab	1					装备	
44	名剑大会·295品中立少林装备	Arena\Lv295_ZL_SL.tab	1					装备	
45	名剑大会·295品中立天策装备	Arena\Lv295_ZL_TC.tab	1					装备	
46	名剑大会·295品中立唐门装备	Arena\Lv295_ZL_TM.tab	1					装备	
47	名剑大会·295品中立五毒装备	Arena\Lv295_ZL_WD.tab	1					装备	
48	名剑大会·295品中立万花装备	Arena\Lv295_ZL_WH.tab	1					装备	
49	名剑大会·295品阵营藏剑装备	Arena\Lv295_ZY_CJ.tab	1					装备	
50	名剑大会·295品阵营纯阳装备	Arena\Lv295_ZY_CY.tab	1					装备	
51	名剑大会·295品阵营七秀装备	Arena\Lv295_ZY_QX.tab	1					装备	
52	名剑大会·295品阵营少林装备	Arena\Lv295_ZY_SL.tab	1					装备	
53	名剑大会·295品阵营天策装备	Arena\Lv295_ZY_TC.tab	1					装备	
54	名剑大会·295品阵营唐门装备	Arena\Lv295_ZY_TM.tab	1					装备	
55	名剑大会·295品阵营五毒装备	Arena\Lv295_ZY_WD.tab	1					装备	
56	名剑大会·295品阵营万花装备	Arena\Lv295_ZY_WH.tab	1					装备	
57	长安城·书籍	City\ChangAn_Book.tab						其他	
58	长安城·坐骑	City\ChangAn_Horse.tab						其他	
59	长安城·配方	City\ChangAn_Recipe.tab						其他	
60	坐骑	City\ChengDu_Horse.tab		scripts/Map/逐鹿中原/shop/通用维修商店.lua				其他	
61	成都·配方	City\ChengDu_Recipe.tab						其他	
62	洛阳城·书籍	City\LuoYang_Book.tab						其他	
63	洛阳城·坐骑	City\LuoYang_Horse.tab						其他	
64	洛阳城·配方	City\LuoYang_Recipe.tab						其他	
65	扬州城·书籍	City\YangZhou_Book.tab						其他	
66	扬州城·坐骑	City\YangZhou_Horse.tab						其他	
67	扬州城·配方	City\YangZhou_Recipe.tab						其他	
68	江湖贡献·110品装备	Contribution\Lv110_All.tab	1					装备	
69	江湖贡献·120-130品装备	Contribution\Lv120-130_All.tab	1					装备	
70	江湖贡献·120品装备	Contribution\Lv120_All.tab	1					装备	
71	江湖贡献·130品装备	Contribution\Lv130_All.tab	1					装备	
72	江湖贡献·140品装备	Contribution\Lv140_All.tab	1					装备	
73	江湖贡献·200品武器	Contribution\Lv200_Weapon.tab	1					装备	
74	江湖贡献·205品下装	Contribution\Lv205_Lower.tab	1					装备	
75	江湖贡献·205品上装	Contribution\Lv205_Upper.tab	1					装备	
76	江湖贡献·225品装备	Contribution\Lv225_All.tab	1					装备	
77	江湖贡献·245品装备	Contribution\Lv245_All.tab	1					装备	
78	江湖贡献·265品装备	Contribution\Lv265_All.tab	1					装备	
79	江湖贡献·62品装备	Contribution\Lv62_All.tab	1					装备	
80	生活技艺·铸造材料	Craft\Foundry.tab	1	scripts/Map/逐鹿中原/shop/通用维修商店.lua				生活技能	
