MaxValue	DiamondLevel1	DiamondAmount1	DiamondLevel2	DiamondAmount2	DiamondLevel3	DiamondAmount3	DiamondLevel4	DiamondAmount4	DiamondLevel5	DiamondAmount5	DiamondLevel6	DiamondAmount6	DiamondLevel7	DiamondAmount7	DiamondLevel8	DiamondAmount8	FaultyDiamondTabType	FaultyDiamondTabIndex	FaultyDiamondCount
1																	5	6413	2
2	1	1															5	6413	1
5	1	3																	
8	2	1	1	2															
12	2	2	1	1															
19	2	3	1	1															
30	3	1	2	1	1	2													
45	3	2	2	1	1	1													
60	3	3	2	1	1	1													
75	3	4	2	1	1	2													
100	4	1	3	1	2	3	1	1											
130	4	1	3	3	2	2	1	2											
160	4	2	3	2	2	1	1	1											
190	4	2	4	1	2	2	1	2											
220	4	3	3	3															
250	4	4	3	1	2	2													
320	5	1	4	1	3	1	1	1											
390	5	1	4	2	3	2	2	1											
460	5	2	3	1	2	1	1	1											
530	5	2	4	1	3	2	2	3											
600	5	2	4	3	2	1	1	1											
670	5	3	3	2	2	3	1	1											
830	5	3	4	2	3	2	2	1											
980	6	1	4	2	3	3	1	1											
1130	6	1	4	5	3	3	2	1											
1280	6	1	5	2	4	1	3	2											
1430	6	1	5	3	3	1	2	1											
1590	6	1	5	3	4	3	3	2											
1700	6	2	5	1	3	1	2	2											
1800	6	2	5	1	4	2	3	2											
1900	6	2	5	2	3	3													
2000	6	2	5	2	4	2	3	3											
2100	6	2	5	3	4	1													
2210	6	2	5	3	4	3													
2320	6	3	4	2	3	2	2	1											
2430	6	3	5	1	4	1													
2550	6	3	5	1	4	3	3	1											
2700	6	3	5	2	4	1	3	1											
2820	6	3	5	3	4	1													
2950	7	1	5	1	4	1	3	1											
3050	7	1	5	2	3	1													
3150	7	1	5	2	4	2	2	1											
3270	7	1	5	3	3	2													
3410	7	1	6	1	3	1													
3550	7	1	6	1	4	3													
3680	7	1	6	1	5	1	4	2											
3820	7	1	6	1	5	2	4	1											
3950	7	1	6	1	5	3													
4050	7	1	6	2															
4170	7	1	6	2	4	2	2	1											
4290	7	1	6	2	5	1	3	2											
4420	7	1	6	2	5	1	4	3											
4550	7	1	6	2	5	2	4	2											
4370	7	1	6	2	5	3	4	1											
4800	7	1	6	3	3	2													
4930	7	1	6	3	4	3													
5050	7	1	6	3	5	1	4	2											
5180	7	1	6	3	5	2	4	1											
5310	7	2	4	1															
5430	7	2	5	1															
5550	7	2	5	1	4	2	3	1											
5700	7	2	5	2	3	3	1	1											
5800	7	2	5	3															
5900	7	2	6	1															
6000	7	2	6	1	4	1	3	2											
6100	7	2	6	1	5	1													
6200	7	2	6	1	5	1	4	2											
6300	7	2	6	1	5	2													
6400	7	2	6	1	5	2	4	2											
6500	7	2	6	1	5	3													
6600	7	2	6	2	3	1	2	1											
6700	7	2	6	2	4	2													
6800	7	2	6	2	5	1													
6900	7	2	6	2	5	1	4	2											
7000	7	2	6	2	5	2													
7100	7	2	6	2	5	2	4	2											
7200	7	2	6	2	5	3	3	2											
7300	7	2	6	3															
7400	7	2	6	3	4	2													
7500	7	2	6	3	5	1													
7600	7	2	6	3	5	1	4	2											
7700	7	2	6	3	5	2	3	1											
7800	7	3	3	1															
7900	7	3	4	2															
8000	7	3	5	1	3	1													
8100	7	3	5	1	4	2	3	1											
8200	7	3	5	2	3	2													
8300	7	3	5	2	4	2	3	2											
8400	7	3	5	3	4	1													
8500	7	3	6	1	3	1													
