ID	TabType1	TabIndex1	StackNum1	Rate1	TabType2	TabIndex2	StackNum2	Rate2	TabType3	TabIndex3	StackNum3	Rate3	TabType4	TabIndex4	StackNum4	Rate4	TabType5	TabIndex5	StackNum5	Rate5	TabType6	TabIndex6	StackNum6	Rate6	TabType7	TabIndex7	StackNum7	Rate7	TabType8	TabIndex8	StackNum8	Rate8	RateType1	RateType2	RepresentType	ScriptName
1	5	5235	1	493447	5	5242	1	555129									5	5229	1	314573	5	5230	1	104858	5	5231	1	314573	5	5232	1	104858	1	2		
2	5	24444	1	752878	5	24445	1	209715	5	24446	1	83886	5	24447	1	2097	5	6038	1	1048576	5	6025	1	40330	5	6073	1	314573	5	6070	1	209715	1	2		
3	5	6072	1	524288	5	6073	1	524288									5	6038	5	1048576	5	6037	1	125829	5	6040	1	41943	5	6205	1	83886	1	2		
4	5	6072	1	393216	5	6038	3	314573	5	6073	1	314573	5	6206	1	26214	5	6036	1	52	5	6060	1	1048576	5	6058	2	1048576	5	8025	1172	52429	1	2		
5	5	6072	1	393216	5	6038	3	314573	5	6070	1	314573	5	6206	1	26214	5	6033	1	52	5	6060	1	1048576	5	6058	2	1048576	5	8025	1173	52429	1	2		
6	5	6072	1	393216	5	6038	3	314573	5	6073	1	314573	5	6204	1	26214	5	6034	1	52429	5	6060	1	1048576	5	6037	1	1048576	5	8025	1174	52429	1	2		
7	5	6072	1	393216	5	6038	3	314573	5	6070	1	314573	5	6204	1	26214	5	6035	1	52429	5	6060	1	1048576	5	6037	1	1048576	5	8025	1175	52429	1	2		
8	5	6045	1	524288	5	6205	1	524288									5	8025	1168	209715	5	8025	1169	209715	5	8025	1170	209715	5	8025	1171	209715	1	2		
9	5	6029	10	1048576	5	6032	10	1048576																									2	2		
10	5	6667	1	524288	5	6666	1	524288									5	6669	1	262144	5	6253	1	419430	5	6676	1	786432					1	2		
11	5	6580	1	262144	5	6581	1	262144	5	6582	1	262144	5	6583	1	262144	5	6584	1	786432	5	6585	1	786432	5	6586	1	419430	5	6587	1	419430	1	2		
12	5	6676	1	524288	5	6635	1	209715	5	6595	1	209715	5	6597	1	104858	5	6246	1	524288	5	6247	1	314573	5	6248	1	209715					1	1		
13	5	6676	1	471859	5	6636	1	314573	5	6599	1	157286	5	6601	1	104858	5	6254	1	1048576	5	6254	1	786432	5	6254	1	524288	5	6255	1	524288	1	2		
14	5	6676	1	1048576	5	6637	1	786432	5	6603	1	125829					5	6254	1	1048576	5	6255	1	1048576	5	6255	1	524288	5	6255	1	524288	2	2		
15	5	6714	1	1048576	5	7156	1	1048576	5	6716	1	1048576	8	4018	1	1048576	5	6747	1	1048576													2	2		
16	5	6714	1	1048576	5	7156	1	1048576	5	6716	1	1048576	8	4019	1	1048576	5	6748	1	1048576													2	2		
17	5	6714	5	1048576	5	7156	1	1048576	5	6720	5	1048576	5	6721	5	1048576	5	40608	5	1048576	8	4020	1	1048576	8	4006	1	1048576	5	6749	1	1048576	2	2		
18	5	6714	5	1048576	5	6726	5	1048576	5	6727	5	1048576	5	40608	10	1048576	8	4022	1	1048576	8	514	1	1048576	5	6754	1	1048576	5	6750	1	1048576	2	2		
19	7	4962	1	1048576	7	4963	1	1048576	7	4964	1	1048576																					2	2		
20	5	10390	3	1048576	5	40385	5	1048576	8	4021	1	1048576	5	11538	1	1048576	5	11541	1	1048576	5	8835	1	1048576	5	6752	1	1048576					2	2		
21	5	6714	10	1048576	5	6732	5	1048576									5	40385	6	1048576	8	33	1	1048576	5	8836	1	1048576	5	6753	1	1048576	2	2		
22	5	7156	1	1048576	5	6733	5	1048576	5	7041	4	1048576	5	40608	10	1048576	5	40385	7	1048576	8	4022	1	1048576	5	6755	1	1048576					2	2		
23	5	6714	5	1048576	5	6736	5	1048576	5	7041	6	1048576	5	40608	10	1048576	5	40385	7	1048576	5	8837	1	1048576	5	10373	1	1048576					2	2		
24	5	4933	1	209715	5	4838	5	393216	5	4841	5	393216	8	2076	1	52429	5	33268	1	125829	5	10439	1	62914									1	2		
25	5	7251	1	1048576	5	7181	1	1048576	5	7465	1	1048576	5	7436	1	1048576	5	7161	10	0	5	40608	40	1048576	5	7041	6	1048576					2	2		
26	5	7480	4	1048576	5	7481	4	1048576	5	7482	4	1048576	5	7483	4	1048576	5	7041	6	1048576	5	7161	5	0	5	6676	50	1048576	5	40608	40	1048576	2	2		
27	5	7999	1	209715	5	7998	1	209715	5	6029	5	314573	5	6032	5	314573	5	8039	1	104857	5	8043	1	104857	5	8045	1	104857	5	7994	1	10486	1	2		
28	8	2624	1	349526	8	2625	1	349525	8	2626	1	349525																					1	2		
29	8	2627	1	349526	8	2628	1	349525	8	2629	1	349525																					1	2		
30	8	2630	1	349526	8	2631	1	349525	8	2632	1	349525																					1	2		
31	5	6714	8	1048576	5	40608	30	1048576	5	29096	8	1048576	5	40385	8	1048576	8	2836	1	1048576													2	2		
32	5	6714	1	1048576	5	6726	1	1048576	8	4022	1	1048576	5	8835	1	1048576	5	8830	1	1048576													2	2		
33	5	6714	2	1048576	5	6732	2	1048576	8	33	1	1048576	5	40385	1	1048576	5	8836	1	1048576	5	8831	1	1048576									2	2		
34	5	6714	2	1048576	5	6733	2	1048576	8	4023	1	1048576	5	40385	1	1048576	5	8832	1	1048576													2	2		
35	5	6714	2	1048576	5	40608	2	1048576	8	4023	1	1048576	5	40385	1	1048576	5	8837	1	1048576	5	8833	1	1048576									2	2		
36	5	6714	2	1048576	5	40608	2	1048576	8	4023	1	1048576	5	40385	1	1048576	5	8834	1	1048576													2	2		
37	5	8875	2	1048576	5	40608	2	1048576	8	4023	1	1048576	5	40385	2	1048576	5	8838	1	1048576	5	17742	1	1048576									2	2		
38	5	7041	1	1048576	5	8844	1	1048576	5	8840	1	1048576																					2	2		
39	5	7041	1	1048576	5	24444	2	1048576	5	8845	1	1048576	5	8841	1	1048576																	2	2		
40	5	7041	1	1048576	5	24445	1	1048576	5	8846	1	1048576	5	8842	1	1048576																	2	2		
41	5	7041	1	1048576	5	24445	2	1048576	5	8847	1	1048576	5	8843	1	1048576																	2	2		
42	5	7041	1	1048576	5	24446	1	1048576	5	8848	1	1048576																					2	2		
43	5	5153	1	1048576	5	5154	1	1048576																									2	2		
44	8	17562	1	1048576	8	17563	1	1048576	8	17564	1	1048576																					2	2		
45	8	17593	1	1048576	8	17591	1	1048576	8	17592	1	1048576																					2	2		
46	8	17608	1	1048576	8	17609	1	1048576	8	17607	1	1048576																					2	2		
47	8	17605	1	1048576	8	17606	1	1048576	8	17604	1	1048576																					2	2		
48	8	17611	1	1048576	8	17612	1	1048576	8	17610	1	1048576																					2	2		
49	5	6714	5	1048576	5	6737	5	1048576	5	40608	20	1048576	5	40385	7	1048576	8	4023	1	1048576	5	24442	20	1048576	5	10374	1	1048576					2	2		
50	5	6714	3	1048576	5	8875	5	1048576	5	40608	25	1048576	5	40385	8	1048576	5	24442	50	1048576	5	8838	1	1048576	5	10375	1	1048576					2	2		
51	5	8876	5	1048576	5	40608	25	1048576	5	10390	3	1048576					5	54324	10	1048576	8	4023	1	1048576	5	24442	100	1048576					2	2		
52	8	17628	1	1048576	8	17627	1	1048576	8	17626	1	1048576					8	17643	1	1048576	8	17642	1	1048576	8	17644	1	1048576					2	2		
53	5	6714	1	1048576	5	7156	1	1048576	5	6716	1	1048576	8	4018	1	1048576	5	11159	1	1048576													2	2		
54	5	6714	1	1048576	5	7156	1	1048576	5	6716	1	1048576	8	4019	1	1048576	5	11160	1	1048576													2	2		
55	5	6714	5	1048576	5	7156	1	1048576	5	6720	5	1048576	5	6721	5	1048576	5	40608	5	1048576	8	4020	1	1048576	5	6749	1	1048576					2	2		
56	8	17555	1	1048576	8	17554	1	1048576	8	17553	1	1048576																					2	2		
57	5	6712	2	1048576	5	6711	1	1048576	5	6716	2	1048576	8	4018	1	1048576	5	11602	1	1048576													2	2		
58	5	6740	2	1048576	5	6711	1	1048576	8	4019	1	1048576	5	6716	2	1048576	5	11603	1	1048576													2	2		
59	5	6720	2	1048576	5	6721	2	1048576	5	11600	10	1048576	5	6711	1	1048576	5	6714	3	1048576	5	11604	1	1048576	8	4006	1	1048576					2	2		
60	5	6714	3	1048576	5	6754	1	1048576	8	4022	1	1048576	8	514	1	1048576	5	7156	1	1048576	5	6750	1	1048576									2	2		
61	5	40385	5	1048576																													2	2		
62	8	17615	1	1048576	8	17614	1	1048576	8	17613	1	1048576																					2	2		
63	5	47790	1	1048576	5	40608	1	1048576																									2	2		
64	5	47790	7	1048576	5	40608	15	1048576																									2	2		
65	5	47790	21	1048576	5	40608	45	1048576																									2	2		
66	5	47790	35	1048576	5	40608	75	1048576																									2	2		
67	5	47790	70	1048576	5	40608	150	1048576	8	4318	1	1048576																					2	2		
68	8	5485	0	1048576	8	5486	0	1048576	8	5487	0	1048576	8	5488	0	1048576	8	5489	0	1048576													2	2		
69	5	11683	1	1048576	5	10303	7	1048576	5	10304	5	1048576	5	6258	10	1048576	5	40608	15	1048576	5	6254	1	1048576									2	2	1	
70	5	11683	2	1048576	5	10302	7	1048576	5	16686	2	1048576	5	16687	5	1048576	5	6258	10	1048576	5	40608	25	1048576	5	6253	3	1048576	5	6254	1	1048576	2	2	1	
71	5	11683	2	1048576	5	6254	1	1048576	5	16690	2	1048576																					2	2	1	
72	5	11683	2	1048576	5	10304	3	1048576	5	17325	1	1048576																					2	2	1	
73	5	11683	1	1048576	5	10303	7	1048576	5	10304	3	1048576	5	40608	30	1048576																	2	2	1	
74	5	6714	1	1048576	8	4020	1	1048576	5	8828	1	1048576																					2	2		
75	5	6714	3	1048576	8	2836	1	1048576	5	40385	3	1048576	5	19877	1	1048576	5	19876	1	1048576													2	2		
76	8	17601	1	1048576	8	17603	1	1048576	8	17602	1	1048576																					2	2		
77	8	17638	1	1048576	8	17636	1	1048576	8	17637	1	1048576																					2	2		
78	5	24447	1	1048576	5	10303	10	1048576	5	10304	5	1048576	5	10297	1	1048576	5	6258	50	1048576	5	17454	1	1048576									2	2	1	
79	5	40385	1	1048576	5	11610	1	1048576	5	11609	1	1048576																					2	2		
80	5	18833	1	524288	5	18834	1	524288																									1	2		
81	5	24447	1	1048576	5	10302	10	1048576	5	10303	10	1048576	5	10304	5	1048576	5	6258	50	1048576	5	17454	1	1048576	5	18812	1	1048576					2	2		
82	5	24447	1	1048576	5	10302	10	1048576	5	10303	10	1048576	5	10304	5	1048576	5	6258	50	1048576	5	17454	1	1048576	5	6253	1	1048576					2	2		
