name	context	key1	key2
MOVEFORWARD		87	38
MOVEBACKWARD		83	40
TURNLEFT		65	37
TURNRIGHT		68	39
STRAFELEFT		81	
STRAFERIGHT		69	
JUMP		32	
RIDEHORSE		84	
TOGGLESHEATH		90	
ATTACKTARGET			
TOGGLESITDOWN		86	88
TOGGLERUN		111	
TOGGLEAUTORUN		71	144
FOLLOWTARGET		65607	
TOGGLE_OPTION_PANEL		27	
TOGGLE_GM_PANEL		131144	
TOGGLE_EQUIP_PANEL		67	
TOGGLE_FRIEND_PANEL		79	
TOGGLE_GUILD_PANEL		75	
TOGGLE_QUEST_PANEL		76	
TOGGLE_SKILL_PANEL		80	
TOGGLE_CRAFT_PANEL		73	
TOGGLE_STUDY_PANEL		74	
TOGGLE_ACHIEVEMENT_PANEL		89	
TOGGLE_MENTOR_PANEL		85	
TOGGLE_UI_CUSTOM_MODE		131157	
TOGGLE_MIDDLEMAP		77	
TOGGLE_WORLDMAP			
TOGGLE_FPS_PANEL		65606	
TOGGLE_SCENE_PANEL		65649	
TOGGLE_UI		65621	
CAMERAZOOMIN		256	
CAMERAZOOMOUT		257	
CAMERAORSELECTORMOVE		1	
CAMERAORSELECTORMOVESTICKY		2	
CAMERARESET		122	
SCREENSHOT		44	
KINESCOPE		196683	
CAMERA_SET_VIEW_1		36	
CAMERA_SET_VIEW_2		35	
SELECT_SELF		112	
SELECT_TEAMMATE1		113	
SELECT_TEAMMATE2		114	
SELECT_TEAMMATE3		115	
SELECT_TEAMMATE4		116	
SEARCH_ALLIES			
SEARCH_ENEMY		9	
TOGGLEBAG1			
TOGGLEBAG2			
TOGGLEBAG3			
TOGGLEBAG4			
TOGGLEBAG5			
OPENORCLOSEALLBAGS		66	
ACTIONBAR1_BUTTON1		49	
ACTIONBAR1_BUTTON2		50	
ACTIONBAR1_BUTTON3		51	
ACTIONBAR1_BUTTON4		52	
ACTIONBAR1_BUTTON5		53	
ACTIONBAR1_BUTTON6		54	
ACTIONBAR1_BUTTON7		55	
ACTIONBAR1_BUTTON8		56	
ACTIONBAR1_BUTTON9		57	
ACTIONBAR1_BUTTON10		48	
ACTIONBAR1_BUTTON11		189	
ACTIONBAR1_BUTTON12		187	
ACTIONBAR1_BUTTON13			
ACTIONBAR1_BUTTON14			
ACTIONBAR1_BUTTON15			
ACTIONBAR1_BUTTON16			
ACTIONPAGE1		131121	
ACTIONPAGE2		131122	
ACTIONPAGE3		131123	
ACTIONPAGE4		131124	
PREVIOUSACTIONPAGE		33	
NEXTACTIONPAGE		34	
TOGGLEACTIONBARLOCK			
ACTIONBAR2_BUTTON1		262193	
ACTIONBAR2_BUTTON2		262194	
ACTIONBAR2_BUTTON3		262195	
ACTIONBAR2_BUTTON4		262196	
ACTIONBAR2_BUTTON5		262197	
ACTIONBAR2_BUTTON6		262198	
ACTIONBAR2_BUTTON7		262199	
ACTIONBAR2_BUTTON8		262200	
ACTIONBAR2_BUTTON9		262201	
ACTIONBAR2_BUTTON10		262192	
ACTIONBAR2_BUTTON11		262333	
ACTIONBAR2_BUTTON12		262331	
ACTIONBAR2_BUTTON13			
ACTIONBAR2_BUTTON14			
ACTIONBAR2_BUTTON15			
ACTIONBAR2_BUTTON16			
ACTIONBAR3_BUTTON1			
ACTIONBAR3_BUTTON2			
ACTIONBAR3_BUTTON3			
ACTIONBAR3_BUTTON4			
ACTIONBAR3_BUTTON5			
ACTIONBAR3_BUTTON6			
ACTIONBAR3_BUTTON7			
ACTIONBAR3_BUTTON8			
ACTIONBAR3_BUTTON9			
ACTIONBAR3_BUTTON10			
ACTIONBAR3_BUTTON11			
ACTIONBAR3_BUTTON12			
ACTIONBAR3_BUTTON13			
ACTIONBAR3_BUTTON14			
ACTIONBAR3_BUTTON15			
ACTIONBAR3_BUTTON16			
ACTIONBAR4_BUTTON1			
ACTIONBAR4_BUTTON2			
ACTIONBAR4_BUTTON3			
ACTIONBAR4_BUTTON4			
ACTIONBAR4_BUTTON5			
ACTIONBAR4_BUTTON6			
ACTIONBAR4_BUTTON7			
ACTIONBAR4_BUTTON8			
ACTIONBAR4_BUTTON9			
ACTIONBAR4_BUTTON10			
ACTIONBAR4_BUTTON11			
ACTIONBAR4_BUTTON12			
ACTIONBAR4_BUTTON13			
ACTIONBAR4_BUTTON14			
ACTIONBAR4_BUTTON15			
ACTIONBAR4_BUTTON16			
KUNG_FU_YIJIN			
KUNG_FU_XISUI			
KUNG_FU_TAIXU			
KUNG_FU_ZIXIA			
KUNG_FU_HUAJIAN			
KUNG_FU_LIJING			
KUNG_FU_AOXUE			
KUNG_FU_TIELAO			
KUNG_FU_BINGXIN			
KUNG_FU_YUNSHANG			
KUNG_FU_WENSHUI			
KUNG_FU_SHANJU			
OPENCHAT		13	
SHORTCUT_REPLY		82	
TOGGLE_NPC		196686	
TOGGLE_PLAYER		196688	
TOGGLE_PARTY_RECRUIT		131151	
SKILL_CAST_FORWARD		262231	
SKILL_CAST_BACK		262227	
SKILL_CAST_LEFT		262209	
SKILL_CAST_RIGHT		262212	
SELECT_PREV_TARGET		131081	
TOGGLE_PRODUCT_PANEL		131142	
TOGGLE_ARENA_PANEL		65601	
TOGGLE_CAMPMAP_PANEL		65613	
TOGGLE_EXTERIOR_PANEL		131141	
AUTOINTERACT		70	
TALENT_SET1			
TALENT_SET2			
TALENT_SET3			
TALENT_SET4			
TALENT_SET5			
TOGGLE_FELLOWPET_PANEL		65616	
TOGGLE_LANDSCAPE_PANEL			
TOGGLE_TEAMBUILD_PANEL		65620	
TOGGLE_HORSE_PANEL		131156	
TOGGLE_ADVENTURE_PANEL		65610	
TOGGLE_SELFIE_PANEL		65608	
TOGGLE_SNS_PANEL		131158	
TOGGLE_CYCLOPAEDIA_PANEL		131146	
TOGGLE_PAY_PANEL		131154	
TOGGLE_CALENDAR_PANEL		131139	
TOGGLE_FB_PANEL		131138	
TOGGLE_SHOWEQUIP_PANEL		65614	
TOGGLE_RANK_PANEL		65622	
TOGGLE_REPU_PANEL		65618	
TOGGLE_WANTED_PANEL		131143	
TOGGLE_COMPASS_PANEL		72	
TOGGLE_DOMESTICATE_PANEL		78	
TOGGLE_COINSHOP_OUTFIT		65605	
TOGGLE_IDENTITY_PANEL		65611	
TOGGLE_GVOCIE_SAY		123	
TOGGLE_DESERTSTORM_PANEL		65612	
TOGGLE_HOMELAND_PANEL		131149	
OPENTOYBOX			
DYNAMICACTIONBAR1_BUTTON1	ExtentDynamicAction	49	
DYNAMICACTIONBAR1_BUTTON2	ExtentDynamicAction	50	
DYNAMICACTIONBAR1_BUTTON3	ExtentDynamicAction	51	
DYNAMICACTIONBAR1_BUTTON4	ExtentDynamicAction	52	
DYNAMICACTIONBAR1_BUTTON5	ExtentDynamicAction	53	
DYNAMICACTIONBAR1_BUTTON6	ExtentDynamicAction	54	
DYNAMICACTIONBAR1_BUTTON7	ExtentDynamicAction	55	
DYNAMICACTIONBAR1_BUTTON8	ExtentDynamicAction	56	
DYNAMICACTIONBAR1_BUTTON9	ExtentDynamicAction	57	
DYNAMICACTIONBAR1_BUTTON10	ExtentDynamicAction	48	
DYNAMICACTIONBAR1_BUTTON11	ExtentDynamicAction	189	
DYNAMICACTIONBAR1_BUTTON12	ExtentDynamicAction	187	
DYNAMICACTIONBAR1_BUTTON13	ExtentDynamicAction	81	
DYNAMICACTIONBAR1_BUTTON14	ExtentDynamicAction	87	
DYNAMICACTIONBAR1_BUTTON15	ExtentDynamicAction	69	
DYNAMICACTIONBAR1_BUTTON16	ExtentDynamicAction	82	
DYNAMICACTIONBAR1_BUTTON17	ExtentDynamicAction	84	
DYNAMICACTIONBAR1_BUTTON18	ExtentDynamicAction	89	
DYNAMICACTIONBAR1_BUTTON19	ExtentDynamicAction	85	
DYNAMICACTIONBAR1_BUTTON20	ExtentDynamicAction	73	
DYNAMICACTIONBAR1_BUTTON21	ExtentDynamicAction	79	
DYNAMICACTIONBAR2_BUTTON1	NpcAssistedDynamicAction	81	
DYNAMICACTIONBAR2_BUTTON2	NpcAssistedDynamicAction	69	
DYNAMICACTIONBAR2_BUTTON3	NpcAssistedDynamicAction	1	
DYNAMICACTIONBAR2_BUTTON4	NpcAssistedDynamicAction	2	
NPC_SUMMON_ATTACK			
NPC_SUMMON_FOLLOW			
NPC_SUMMON_STOP			
NPC_SUMMON_ATIONBAR1			
NPC_SUMMON_ATIONBAR2			
NPC_SUMMON_ATIONBAR3			
NPC_MORPH_ATIONBAR1			
NPC_MORPH_ATIONBAR2			
NPC_MORPH_ATIONBAR3			
DYNAMICACTIONBAR2_MORPH1	NpcAssistedDynamicAction	49	
DYNAMICACTIONBAR2_MORPH2	NpcAssistedDynamicAction	50	
DYNAMICACTIONBAR2_MORPH3	NpcAssistedDynamicAction	51	
TOGGLE_PARTNER_PANEL		65603	
TOGGLE_SWITCHSERVER_PANEL		65626	
TOGGLE_DLC_PANEL			
TOGGLE_SYSTEM_SHOP		65602	
ROUGEACTIONBAR1_BUTTON1	RougeDynamicAction	49	
ROUGEACTIONBAR1_BUTTON2	RougeDynamicAction	50	
ROUGEACTIONBAR1_BUTTON3	RougeDynamicAction	51	
ROUGEACTIONBAR1_BUTTON4	RougeDynamicAction	52	
ROUGEACTIONBAR1_BUTTON5	RougeDynamicAction	53	
ROUGEACTIONBAR1_BUTTON6	RougeDynamicAction	54	
