Name	TabType	ItemIndex	RandSeed	CountLimit	Durability	ReputeLevel	Price	RequireAchievementRecord	RequireLevel	IsValid	CoinType1	CoinAmount1	Contribution	Prestige	AchievementPoint	ItemType1	ItemIndex1	ItemCount1	MentorValue	RequireTitle	Justice	ExamPrint	ArenaAward	ActivityAward	RequireCorpsValue	MaskCorpsNeedToCheck	CanReturn	TongReputation	TongFund	RequireArenaLevel	RequireArenaLevelExcept2v2	Position	nPercentByGameDesign	BeginSellTime	PlayerRemoteDataPos	PlayerRemoteDataLength	PlayerBuyLimit
菩提擀面杖·火候	CustomWeapon	34474	0	-1	-1	0	10000000			1						5	5242	400									1					近程武器					
菩提擀面杖·清蒸	CustomWeapon	34475	0	-1	-1	0	10000000			1						5	5242	400									1					近程武器					
翡翠玲珑筷·火候	CustomWeapon	34476	0	-1	-1	0	10000000			1						5	5242	400									1					近程武器					
翡翠玲珑筷·水煮	CustomWeapon	34477	0	-1	-1	0	10000000			1						5	5242	400									1					近程武器					
御赐大锅铲·刀功	CustomWeapon	34478	0	-1	-1	0	10000000			1						5	5242	400									1					近程武器					
御赐大锅铲·生煎	CustomWeapon	34479	0	-1	-1	0	10000000			1						5	5242	400									1					近程武器					
灵虚大菜刀·火候	CustomWeapon	34480	0	-1	-1	0	10000000			1						5	5242	400									1					近程武器					
灵虚大菜刀·刀功	CustomWeapon	34481	0	-1	-1	0	10000000			1						5	5242	400									1					近程武器					
霓裳玉女勺·火候	CustomWeapon	34482	0	-1	-1	0	10000000			1						5	5242	400									1					近程武器					
霓裳玉女勺·水煮	CustomWeapon	34483	0	-1	-1	0	10000000			1						5	5242	400									1					近程武器					
瑶星青玉葱·火候	CustomWeapon	34484	0	-1	-1	0	10000000			1						5	5242	400									1					近程武器					
瑶星青玉葱·水煮	CustomWeapon	34485	0	-1	-1	0	10000000			1						5	5242	400									1					近程武器					
蜀月竹筒饭·火候	CustomWeapon	34486	0	-1	-1	0	10000000			1						5	5242	400									1					近程武器					
蜀月竹筒饭·刀功	CustomWeapon	34487	0	-1	-1	0	10000000			1						5	5242	400									1					近程武器					
至尊剔骨刀·刀功	CustomWeapon	34488	0	-1	-1	0	5000000			1						5	5242	200									1					近程武器					
至尊熏猪腿·刀功	CustomWeapon	34489	0	-1	-1	0	5000000			1						5	5242	200									1					近程武器					
醉梦逍遥棒·刀功	CustomWeapon	34490	0	-1	-1	0	10000000			1						5	5242	400									1					近程武器					
妙火天香串·火候	CustomWeapon	34491	0	-1	-1	0	10000000			1						5	5242	400									1					近程武器					
妙火天香串·清蒸	CustomWeapon	34492	0	-1	-1	0	10000000			1						5	5242	400									1					近程武器					
塞雪蒸鱼屉·刀功	CustomWeapon	34493	0	-1	-1	0	10000000			1						5	5242	400									1					近程武器					
塞雪蒸鱼屉·清蒸	CustomWeapon	34494	0	-1	-1	0	10000000			1						5	5242	400									1					近程武器					
古意调味匣·火候	CustomWeapon	34495	0	-1	-1	0	10000000			1						5	5242	400									1					近程武器					
古意调味匣·水煮	CustomWeapon	34496	0	-1	-1	0	10000000			1						5	5242	400									1					近程武器					
傲寒绛腊厨装·刀功	CustomWeapon	34497	0	-1	-1	0	10000000			1						5	5242	400									1					近程武器					
沧波渔网架·刀功	CustomWeapon	34498	0	-1	-1	0	10000000			1						5	5242	400									1					近程武器					
凌晓绿竹剑·刀功	CustomWeapon	34499	0	-1	-1	0	10000000			1						5	5242	400									1					近程武器					
寻龙鸳鸯镬·火候	CustomWeapon	34500	0	-1	-1	0	10000000			1						5	5242	400									1					近程武器					
迎新春饼·火候	CustomWeapon	34501	0	-1	-1	0	10000000			1						5	5242	400									1					近程武器					
迎新春饼·水煮	CustomWeapon	34502	0	-1	-1	0	10000000			1						5	5242	400									1					近程武器					
傲寒绛腊厨装·刀功	CustomWeapon	34503	0	-1	-1	0	10000000			1						5	5242	400									1					近程武器					
菩提御厨腰带·火候	CustomArmor	94094	0	-1	-1	0	2000000			1						5	5242	100									1					腰带					
菩提御厨腰带·清蒸	CustomArmor	94095	0	-1	-1	0	2000000			1						5	5242	100									1					腰带					
翡翠御厨腰带·火候	CustomArmor	94096	0	-1	-1	0	2000000			1						5	5242	100									1					腰带					
翡翠御厨腰带·水煮	CustomArmor	94097	0	-1	-1	0	2000000			1						5	5242	100									1					腰带					
御赐御厨腰带·刀功	CustomArmor	94098	0	-1	-1	0	2000000			1						5	5242	100									1					腰带					
御赐御厨腰带·生煎	CustomArmor	94099	0	-1	-1	0	2000000			1						5	5242	100									1					腰带					
灵虚御厨腰带·火候	CustomArmor	94100	0	-1	-1	0	2000000			1						5	5242	100									1					腰带					
灵虚御厨腰带·刀功	CustomArmor	94101	0	-1	-1	0	2000000			1						5	5242	100									1					腰带					
霓裳御厨腰带·火候	CustomArmor	94102	0	-1	-1	0	2000000			1						5	5242	100									1					腰带					
霓裳御厨腰带·水煮	CustomArmor	94103	0	-1	-1	0	2000000			1						5	5242	100									1					腰带					
瑶星御厨腰带·火候	CustomArmor	94104	0	-1	-1	0	2000000			1						5	5242	100									1					腰带					
瑶星御厨腰带·水煮	CustomArmor	94105	0	-1	-1	0	2000000			1						5	5242	100									1					腰带					
蜀月御厨腰带·火候	CustomArmor	94106	0	-1	-1	0	2000000			1						5	5242	100									1					腰带					
蜀月御厨腰带·刀功	CustomArmor	94107	0	-1	-1	0	2000000			1						5	5242	100									1					腰带					
至尊御厨腰带·刀功	CustomArmor	94108	0	-1	-1	0	2000000			1						5	5242	100									1					腰带					
醉梦逍遥腰带·刀功	CustomArmor	94109	0	-1	-1	0	2000000			1						5	5242	100									1					腰带					
妙火御厨腰带·火候	CustomArmor	94110	0	-1	-1	0	2000000			1						5	5242	100									1					腰带					
妙火御厨腰带·清蒸	CustomArmor	94111	0	-1	-1	0	2000000			1						5	5242	100									1					腰带					
塞雪御厨腰带·刀工	CustomArmor	94112	0	-1	-1	0	2000000			1						5	5242	100									1					腰带					
塞雪御厨腰带·清蒸	CustomArmor	94113	0	-1	-1	0	2000000			1						5	5242	100									1					腰带					
古意御厨腰带·火候	CustomArmor	94114	0	-1	-1	0	2000000			1						5	5242	100									1					腰带					
古意御厨腰带·水煮	CustomArmor	94115	0	-1	-1	0	2000000			1						5	5242	100									1					腰带					
傲寒御厨腰带·刀功 	CustomArmor	94116	0	-1	-1	0	2000000			1						5	5242	100									1					腰带					
沧波御厨腰带·刀功 	CustomArmor	94117	0	-1	-1	0	2000000			1						5	5242	100									1					腰带					
凌晓御厨腰带·刀功 	CustomArmor	94118	0	-1	-1	0	2000000			1						5	5242	100									1					腰带					
寻龙御厨腰带·火候	CustomArmor	94119	0	-1	-1	0	2000000			1						5	5242	100									1					腰带					
迎新御厨腰带·火候	CustomArmor	94120	0	-1	-1	0	2000000			1						5	5242	100									1					腰带					
迎新御厨腰带·水煮	CustomArmor	94121	0	-1	-1	0	2000000			1						5	5242	100									1					腰带					
傲寒御厨腰带·刀功 	CustomArmor	94122	0	-1	-1	0	2000000			1						5	5242	100									1					腰带					
菩提御厨上衣·火候	CustomArmor	94123	0	-1	-1	0	4000000			1						5	5242	200									1					上装					
菩提御厨上衣·清蒸	CustomArmor	94124	0	-1	-1	0	4000000			1						5	5242	200									1					上装					
翡翠御厨上衣·火候	CustomArmor	94125	0	-1	-1	0	4000000			1						5	5242	200									1					上装					
翡翠御厨上衣·水煮	CustomArmor	94126	0	-1	-1	0	4000000			1						5	5242	200									1					上装					
