Name	TabType	ItemIndex	RandSeed	CountLimit	Durability	ReputeLevel	Price	RequireAchievementRecord	RequireLevel	IsValid	CoinType1	CoinAmount1	Contribution	Prestige	AchievementPoint	ItemType1	ItemIndex1	ItemCount1	MentorValue	RequireTitle	Justice	ExamPrint	ArenaAward	ActivityAward	RequireCorpsValue	MaskCorpsNeedToCheck	CanReturn	TongReputation	TongFund	RequireArenaLevel	RequireArenaLevelExcept2v2	Position	OriginalPrice
裂叶齐眉棍·禅	CustomWeapon	34524	0	-1	-1	0	15000000			1						5	11632	1									1					近程武器	
裂叶齐眉棍·武	CustomWeapon	34525	0	-1	-1	0	15000000			1						5	11632	1									1					近程武器	
哭佛点睛笔·山水	CustomWeapon	34526	0	-1	-1	0	15000000			1						5	11632	1									1					近程武器	
哭佛点睛笔·逍遥	CustomWeapon	34527	0	-1	-1	0	15000000			1						5	11632	1									1					近程武器	
红缨亮银枪·肃清	CustomWeapon	34528	0	-1	-1	0	15000000			1						5	11632	1									1					近程武器	
红缨亮银枪·逐日	CustomWeapon	34529	0	-1	-1	0	15000000			1						5	11632	1									1					近程武器	
悲风悯月剑·星辰	CustomWeapon	34530	0	-1	-1	0	15000000			1						5	11632	1									1					近程武器	
悲风悯月剑·分野	CustomWeapon	34531	0	-1	-1	0	15000000			1						5	11632	1									1					近程武器	
淬血霜花剑·金莲	CustomWeapon	34532	0	-1	-1	0	15000000			1						5	11632	1									1					近程武器	
淬血霜花剑·银霜	CustomWeapon	34533	0	-1	-1	0	15000000			1						5	11632	1									1					近程武器	
十方断魂笛·虫魂	CustomWeapon	34534	0	-1	-1	0	15000000			1						5	11632	1									1					近程武器	
十方断魂笛·毒幻	CustomWeapon	34535	0	-1	-1	0	15000000			1						5	11632	1									1					近程武器	
浪子穿心弩·无情	CustomWeapon	34536	0	-1	-1	0	15000000			1						5	11632	1									1					近程武器	
浪子穿心弩·杀心	CustomWeapon	34537	0	-1	-1	0	15000000			1						5	11632	1									1					近程武器	
6000品藏剑武器盒	Other	47434	0	-1	-1	0	15000000			1						5	11632	1									1					近程武器	
青玉夺龙棒	CustomWeapon	34540	0	-1	-1	0	15000000			1						5	11632	1									1					近程武器	
赤日火纹刀·暗影	CustomWeapon	34541	0	-1	-1	0	15000000			1						5	11632	1									1					近程武器	
赤日火纹刀·明日	CustomWeapon	34542	0	-1	-1	0	15000000			1						5	11632	1									1					近程武器	
双虎遮日·雁门如铁	CustomWeapon	34543	0	-1	-1	0	15000000			1						5	11632	1									1					近程武器	
双虎遮日·未有归期	CustomWeapon	34544	0	-1	-1	0	15000000			1						5	11632	1									1					近程武器	
国士无双·天乐	CustomWeapon	34545	0	-1	-1	0	15000000			1						5	11632	1									1					近程武器	
国士无双·宏远	CustomWeapon	34546	0	-1	-1	0	15000000			1						5	11632	1									1					近程武器	
百炼环首刀	CustomWeapon	34547	0	-1	-1	0	15000000			1						5	11632	1									1					近程武器	
风雪不归伞	CustomWeapon	34548	0	-1	-1	0	15000000			1						5	11632	1									1					近程武器	
九节摘心链	CustomWeapon	34549	0	-1	-1	0	15000000			1						5	11632	1									1					近程武器	
三试夺魂灯	CustomWeapon	34550	0	-1	-1	0	15000000			1						5	11632	1									1					近程武器	
传薪百草卷·尊道	CustomWeapon	34551	0	-1	-1	0	15000000			1						5	11632	1									1					近程武器	
传薪百草卷·仁心	CustomWeapon	34552	0	-1	-1	0	15000000			1						5	11632	1									1					近程武器	
四绝分海刀	CustomWeapon	34553	0	-1	-1	0	15000000			1						5	11632	1									1					近程武器	
