ID	ForceID	FreeAcquire
0	0	0
1	1	1
2	1	1
3	2	1
4	2	1
5	3	1
6	3	1
7	5	1
8	5	1
9	6	1
10	6	1
11	7	1
12	7	1
13	4	1
14	4	1
15	8	1
16	8	1
17	0	0
18	0	0
19	10	1
20	10	1
21	10	1
22	10	1
23	9	1
24	9	1
25	1	0
26	2	0
27	3	0
28	4	0
29	5	0
30	6	0
31	7	0
32	8	0
33	9	0
34	10	0
35	10	0
36	21	1
37	21	1
38	21	0
39	0	0
40	0	0
41	0	0
42	22	1
43	22	1
44	22	0
45	0	0
46	23	1
47	23	1
48	23	0
49	0	0
50	0	0
51	0	0
52	0	0
53	0	0
54	0	0
55	0	0
56	0	0
57	0	0
58	0	0
59	0	0
60	0	0
61	24	1
62	24	1
63	24	0
64	25	1
65	25	1
66	25	0
67	25	0
68	211	1
69	211	1
70	211	0
71	211	0
72	212	1
73	212	1
74	212	0
75	212	0
76	213	1
77	213	1
78	213	0
79	213	0
80	214	1
81	214	1
82	214	0
83	214	0
100	0	1
101	0	1
102	0	1
103	0	1
104	0	1
105	0	1
106	0	0
107	0	0
108	0	0
109	0	0
110	0	0
111	0	0
112	0	0
113	0	0
114	0	0
115	0	0
116	0	0
117	0	0
118	0	0
119	0	0
120	1	0
121	2	0
122	3	0
123	4	0
124	5	0
125	6	0
126	7	0
127	8	0
128	9	0
129	10	0
130	10	0
131	21	0
132	22	0
133	23	0
134	24	0
135	0	0
136	0	0
137	0	0
138	0	0
139	0	0
140	0	0
141	0	0
142	0	0
143	0	0
144	0	0
145	0	0
146	0	0
147	0	0
148	0	0
149	0	0
150	0	0
151	0	0
152	0	0
153	0	0
154	0	0
155	0	0
156	0	0
157	0	0
158	0	0
159	0	0
160	0	0
161	0	0
162	0	0
163	0	0
164	0	0
165	0	0
166	0	0
167	0	0
168	0	0
169	0	0
170	0	0
171	0	0
172	0	0
173	0	0
174	0	0
175	0	0
176	0	0
177	0	0
178	0	0
179	0	0
180	0	0
181	0	0
182	0	0
183	0	0
184	0	0
185	0	0
186	0	0
187	0	0
188	0	0
189	0	0
190	0	0
191	0	0
192	0	0
193	0	0
194	0	0
195	0	0
196	0	0
197	0	0
198	0	0
199	0	0
200	0	0
201	0	0
202	0	0
203	0	0
204	0	0
205	0	0
206	0	0
207	0	0
208	0	0
209	0	0
210	0	0
211	0	0
212	0	0
213	0	0
214	0	0
215	0	0
216	0	0
217	0	0
218	0	0
219	0	0
220	0	0
221	0	0
222	0	0
223	0	0
224	0	0
225	0	0
226	0	0
227	0	0
228	0	0
229	0	0
230	0	0
231	0	0
232	0	0
233	0	0
234	0	0
235	0	0
236	0	0
237	0	0
238	0	0
239	0	0
240	0	0
241	0	0
242	0	0
243	0	0
244	0	0
245	0	0
246	0	0
247	0	0
248	0	0
249	0	0
250	0	0
251	0	0
