ID	DoodadName(程序不读)	DoodadTemplateID	CostThew	ProfessionID	RequireLevel	DoodadLevel	ToolItemType	ToolItemIndex	PowerfulToolItemType	PowerfulToolItemIndex	EquipmentType	Exp	PrepareFrame	ExpertiseDrop	ExpertiseRate	ExpertiseMinCount	ExpertiseMaxCount	Lv0_Drop0	Lv0_Rate0	Lv0_Drop1	Lv0_Rate1	Lv0_Drop2	Lv0_Rate2	Lv0_Drop3	Lv0_Rate3	Lv0_MinCount	Lv0_MaxCount	Lv1_Drop0	Lv1_Rate0	Lv1_Drop1	Lv1_Rate1	Lv1_Drop2	Lv1_Rate2	Lv1_Drop3	Lv1_Rate3	Lv1_MinCount	Lv1_MaxCount	Lv2_Drop0	Lv2_Rate0	Lv2_Drop1	Lv2_Rate1	Lv2_Drop2	Lv2_Rate2	Lv2_Drop3	Lv2_Rate3	Lv2_MinCount	Lv2_MaxCount	Lv3_Drop0	Lv3_Rate0	Lv3_Drop1	Lv3_Rate1	Lv3_Drop2	Lv3_Rate2	Lv3_Drop3	Lv3_Rate3	Lv3_MinCount	Lv3_MaxCount	CostVigor
0	未知物件	0	0	0	0	0	0	-1	0	-1	0	0	0																																													0
386	1~20级通用尸体	386	0	3	100	100	0	0	0	0	0	128	80	ClassDrop\Box\expertise.tab	204	1	2	ClassDrop\Box\lv100_other.tab	1024							2	4	ClassDrop\Box\lv100_other.tab	1024							2	4	ClassDrop\Box\lv100_other.tab	1024							2	4	ClassDrop\Box\lv100_other.tab	1024							2	4	40
378	1~20级通用尸体	378	0	3	100	100	0	0	0	0	0	128	80	ClassDrop\Box\expertise.tab	204	1	2	ClassDrop\Box\lv100_other.tab	1024							2	4	ClassDrop\Box\lv100_other.tab	1024							2	4	ClassDrop\Box\lv100_other.tab	1024							2	4	ClassDrop\Box\lv100_other.tab	1024							2	4	40
372	1~20级通用尸体	372	0	3	100	100	0	0	0	0	0	128	80	ClassDrop\Box\expertise.tab	204	1	2	ClassDrop\Box\lv100_other.tab	1024							2	4	ClassDrop\Box\lv100_other.tab	1024							2	4	ClassDrop\Box\lv100_other.tab	1024							2	4	ClassDrop\Box\lv100_other.tab	1024							2	4	40
360	1~20级通用尸体	360	0	3	100	100	0	0	0	0	0	128	80	ClassDrop\Box\expertise.tab	204	1	2	ClassDrop\Box\lv100_other.tab	1024							2	4	ClassDrop\Box\lv100_other.tab	1024							2	4	ClassDrop\Box\lv100_other.tab	1024							2	4	ClassDrop\Box\lv100_other.tab	1024							2	4	40
348	1~20级通用尸体	348	0	3	100	100	0	0	0	0	0	128	80	ClassDrop\Box\expertise.tab	204	1	2	ClassDrop\Box\lv100_other.tab	1024							2	4	ClassDrop\Box\lv100_other.tab	1024							2	4	ClassDrop\Box\lv100_other.tab	1024							2	4	ClassDrop\Box\lv100_other.tab	1024							2	4	40
366	1~20级通用尸体	366	0	3	100	100	0	0	0	0	0	128	80	ClassDrop\Box\expertise.tab	204	1	2	ClassDrop\Box\lv100_other.tab	1024							2	4	ClassDrop\Box\lv100_other.tab	1024							2	4	ClassDrop\Box\lv100_other.tab	1024							2	4	ClassDrop\Box\lv100_other.tab	1024							2	4	40
354	1~20级通用尸体	354	0	3	100	100	0	0	0	0	0	128	80	ClassDrop\Box\expertise.tab	204	1	2	ClassDrop\Box\lv100_other.tab	1024							2	4	ClassDrop\Box\lv100_other.tab	1024							2	4	ClassDrop\Box\lv100_other.tab	1024							2	4	ClassDrop\Box\lv100_other.tab	1024							2	4	40
387	20~30级通用尸体	387	0	3	100	100	0	0	0	0	0	128	80	ClassDrop\Box\expertise.tab	204	1	2	ClassDrop\Box\lv100_other.tab	1024							2	4	ClassDrop\Box\lv100_other.tab	1024							2	4	ClassDrop\Box\lv100_other.tab	1024							2	4	ClassDrop\Box\lv100_other.tab	1024							2	4	40
379	20~30级通用尸体	379	0	3	100	100	0	0	0	0	0	128	80	ClassDrop\Box\expertise.tab	204	1	2	ClassDrop\Box\lv100_other.tab	1024							2	4	ClassDrop\Box\lv100_other.tab	1024							2	4	ClassDrop\Box\lv100_other.tab	1024							2	4	ClassDrop\Box\lv100_other.tab	1024							2	4	40
373	20~30级通用尸体	373	0	3	100	100	0	0	0	0	0	128	80	ClassDrop\Box\expertise.tab	204	1	2	ClassDrop\Box\lv100_other.tab	1024							2	4	ClassDrop\Box\lv100_other.tab	1024							2	4	ClassDrop\Box\lv100_other.tab	1024							2	4	ClassDrop\Box\lv100_other.tab	1024							2	4	40
361	20~30级通用尸体	361	0	3	100	100	0	0	0	0	0	128	80	ClassDrop\Box\expertise.tab	204	1	2	ClassDrop\Box\lv100_other.tab	1024							2	4	ClassDrop\Box\lv100_other.tab	1024							2	4	ClassDrop\Box\lv100_other.tab	1024							2	4	ClassDrop\Box\lv100_other.tab	1024							2	4	40
349	20~30级通用尸体	349	0	3	100	100	0	0	0	0	0	128	80	ClassDrop\Box\expertise.tab	204	1	2	ClassDrop\Box\lv100_other.tab	1024							2	4	ClassDrop\Box\lv100_other.tab	1024							2	4	ClassDrop\Box\lv100_other.tab	1024							2	4	ClassDrop\Box\lv100_other.tab	1024							2	4	40
367	20~30级通用尸体	367	0	3	100	100	0	0	0	0	0	128	80	ClassDrop\Box\expertise.tab	204	1	2	ClassDrop\Box\lv100_other.tab	1024							2	4	ClassDrop\Box\lv100_other.tab	1024							2	4	ClassDrop\Box\lv100_other.tab	1024							2	4	ClassDrop\Box\lv100_other.tab	1024							2	4	40
355	20~30级通用尸体	355	0	3	100	100	0	0	0	0	0	128	80	ClassDrop\Box\expertise.tab	204	1	2	ClassDrop\Box\lv100_other.tab	1024							2	4	ClassDrop\Box\lv100_other.tab	1024							2	4	ClassDrop\Box\lv100_other.tab	1024							2	4	ClassDrop\Box\lv100_other.tab	1024							2	4	40
368	30~40级通用尸体	368	0	3	100	100	0	0	0	0	0	128	80	ClassDrop\Box\expertise.tab	204	1	2	ClassDrop\Box\lv100_other.tab	1024							2	4	ClassDrop\Box\lv100_other.tab	1024							2	4	ClassDrop\Box\lv100_other.tab	1024							2	4	ClassDrop\Box\lv100_other.tab	1024							2	4	40
350	30~40级通用尸体	350	0	3	100	100	0	0	0	0	0	128	80	ClassDrop\Box\expertise.tab	204	1	2	ClassDrop\Box\lv100_other.tab	1024							2	4	ClassDrop\Box\lv100_other.tab	1024							2	4	ClassDrop\Box\lv100_other.tab	1024							2	4	ClassDrop\Box\lv100_other.tab	1024							2	4	40
356	30~40级通用尸体	356	0	3	100	100	0	0	0	0	0	128	80	ClassDrop\Box\expertise.tab	204	1	2	ClassDrop\Box\lv100_other.tab	1024							2	4	ClassDrop\Box\lv100_other.tab	1024							2	4	ClassDrop\Box\lv100_other.tab	1024							2	4	ClassDrop\Box\lv100_other.tab	1024							2	4	40
