ID	DoodadName(≥Ã–Ú≤ª∂¡)	DoodadTemplateID	CostThew	ProfessionID	RequireLevel	DoodadLevel	ToolItemType	ToolItemIndex	PowerfulToolItemType	PowerfulToolItemIndex	EquipmentType	Exp	PrepareFrame	ExpertiseDrop	ExpertiseRate	ExpertiseMinCount	ExpertiseMaxCount	Lv0_Drop0	Lv0_Rate0	Lv0_Drop1	Lv0_Rate1	Lv0_Drop2	Lv0_Rate2	Lv0_Drop3	Lv0_Rate3	Lv0_MinCount	Lv0_MaxCount	Lv1_Drop0	Lv1_Rate0	Lv1_Drop1	Lv1_Rate1	Lv1_Drop2	Lv1_Rate2	Lv1_Drop3	Lv1_Rate3	Lv1_MinCount	Lv1_MaxCount	Lv2_Drop0	Lv2_Rate0	Lv2_Drop1	Lv2_Rate1	Lv2_Drop2	Lv2_Rate2	Lv2_Drop3	Lv2_Rate3	Lv2_MinCount	Lv2_MaxCount	Lv3_Drop0	Lv3_Rate0	Lv3_Drop1	Lv3_Rate1	Lv3_Drop2	Lv3_Rate2	Lv3_Drop3	Lv3_Rate3	Lv3_MinCount	Lv3_MaxCount	CostVigor
0	Œ¥÷™ŒÔº˛	0	0	0	0	0	0	0	0	0	0	0	0																																													0
1001	∏ ≤›	1001	0	2	20	20	0	0	0	0	0	128	80	≤›“©\expertise_PL.tab	204	1	2	≤›“©\gancao.tab	1024							1	1	≤›“©\gancao.tab	1024							1	1	≤›“©\gancao.tab	1024							1	1	≤›“©\gancao.tab	1024							1	1	40
1002	¥Ûª∆	1002	0	2	20	20	0	0	0	0	0	128	80	≤›“©\expertise_PL.tab	204	1	2	≤›“©\dahuang.tab	1024							1	1	≤›“©\dahuang.tab	1024							1	1	≤›“©\dahuang.tab	1024							1	1	≤›“©\dahuang.tab	1024							1	1	40
1003	…÷“©	1003	0	2	20	20	0	0	0	0	0	128	80	≤›“©\expertise_PL.tab	204	1	2	≤›“©\shaoyao.tab	1024							1	1	≤›“©\shaoyao.tab	1024							1	1	≤›“©\shaoyao.tab	1024							1	1	≤›“©\shaoyao.tab	1024							1	1	40
1004	¿º≤›	1004	0	2	20	20	0	0	0	0	0	128	80	≤›“©\expertise_PL.tab	204	1	2	≤›“©\lancao.tab	1024							1	1	≤›“©\lancao.tab	1024							1	1	≤›“©\lancao.tab	1024							1	1	≤›“©\lancao.tab	1024							1	1	40
1005	œ‡Àº◊”	1005	0	2	20	20	0	0	0	0	0	128	80	≤›“©\expertise_PL.tab	204	1	2	≤›“©\xiangsizi.tab	1024							1	1	≤›“©\xiangsizi.tab	1024							1	1	≤›“©\xiangsizi.tab	1024							1	1	≤›“©\xiangsizi.tab	1024							1	1	40
1006	≥µ«∞≤›	1006	0	2	20	20	0	0	0	0	0	128	80	≤›“©\expertise_PL.tab	204	1	2	≤›“©\cheqiancao.tab	1024							1	1	≤›“©\cheqiancao.tab	1024							1	1	≤›“©\cheqiancao.tab	1024							1	1	≤›“©\cheqiancao.tab	1024							1	1	40
1007	ÃÏ√˚æ´	1007	0	2	20	20	0	0	0	0	0	128	80	≤›“©\expertise_PL.tab	204	1	2	≤›“©\tianmingjing.tab	1024							1	1	≤›“©\tianmingjing.tab	1024							1	1	≤›“©\tianmingjing.tab	1024							1	1	≤›“©\tianmingjing.tab	1024							1	1	40
1008	∑¿∑Á	1008	0	2	20	20	0	0	0	0	0	128	80	≤›“©\expertise_PL.tab	204	1	2	≤›“©\fangfeng.tab	1024							1	1	≤›“©\fangfeng.tab	1024							1	1	≤›“©\fangfeng.tab	1024							1	1	≤›“©\fangfeng.tab	1024							1	1	40
1009	ŒÂŒ∂◊”	1009	0	2	20	20	0	0	0	0	0	128	80	≤›“©\expertise_PL.tab	204	1	2	≤›“©\wuweizi.tab	1024							1	1	≤›“©\wuweizi.tab	1024							1	1	≤›“©\wuweizi.tab	1024							1	1	≤›“©\wuweizi.tab	1024							1	1	40
