ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID	CanSeeLifeNum	TouchWidth	HasSharePackage	SharePackageOptionText	SharePackageRequireReputeLevel	LeaveFightNotify	RecoverHP	BroadcastLookup	DropVigor	MaxLifeCount	SceneFilter	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	Drop11	Count11	Drop12	Count12	Drop13	Count13	Drop14	Count14	Drop15	Count15
123661	魏华	天极殿首徒				28				122				6				704800	642600000			100000000					22	10000	10000	10000	10000	10000	0	4360	4360	4360	4360	4360		15528	15528	15528	15528	15528		123661		204395	0	204395	0	28	1																															99999			88001										1392				九老洞					1			0		0		0					scripts/Map/九老洞/npc/1号_魏华/魏华.lua															1	10000	-1									254					15	9940	450750	1																																										28					0	0	0	0	0								1															2048									512	1												0.3																																		
123662						26		9		122					0	0		704800	99999999								22																			123662																																						9999																	九老洞					1			0		0		0																						-1							0		254								1																																										26					0	0	0	0	0																							2048										1																																														
123663						26		9		122					0	0		704800	99999999								22																			123663																																						9999																	九老洞					1			0		0		0																						-1							0		254								1																																										26					0	0	0	0	0																							2048										1																																														
123664	魏华					28		9		122					0	0		704800	99999999								22																			123664																																						99999													2				九老洞					1			0		0		0																						-1							0		254																																																		28					0	0	0	0	0																							2048										1																																														
123665	聚合的内力					28		9		122						0		704800	99999999			10000000					66																			123665						28	1																															99999			88020										2				九老洞					1			0		0		0																						-1									254																																																		28					0	0	0	0	0																							2048										1						0																																								
123666	钟不归	寒山剑痴				28				122				6				704800	718200000			100711179					22	10000	10000	10000	10000	10000	0	4360	4360	4360	4360	4360		15528	15528	15528	15528	15528		123666		189006	94504	189006	94504	35650	1																															99999			88224										1392				九老洞					1			0		0		0					scripts/Map/九老洞/npc/2号_钟不归/钟不归.lua															1	10000	-1									254					15	9940	450750	2																																										28					0	0	0	0	0								1															2048									512	1												0.3																																		
123667						26		9		120					0	0		704800	99999999								22																			123667																																						9999																	九老洞					1			0		0		0																						-1							0		254								2																																										26					0	0	0	0	0																							2048										0																																														
123668						26		9		122					0	0		704800	99999999								22																			123668																																						9999																	九老洞					1			0		0		0																						-1							0		254								2																																										26					0	0	0	0	0																							2048										0																																														
123669	偃月刀·内					26		5		120								180	1151827			1036644					22						2010	794	794	794	794	794		2211	211	211	211	211		123669		5240	2620	5240	2620																																	4800			88322														九老洞								0		0		0					scripts/Map/九老洞/npc/2号_钟不归/幻影兵器.lua																10000	3840							0		0						8840	5099																																											26					1024	1024	1024	1024	1024																																	0																																														
123670	棍·内					26		5		120								180	1151827			1036644					22						2010	794	794	794	794	794		2211	211	211	211	211		123670		5240	2620	5240	2620																																	4800			88321														九老洞								0		0		0					scripts/Map/九老洞/npc/2号_钟不归/幻影兵器.lua																10000	3840							0		0						8840	5099																																											26					1024	1024	1024	1024	1024																																	0																																														
123671	枪·内					26		5		120								180	1151827			1036644					22						2010	794	794	794	794	794		2211	211	211	211	211		123671		5240	2620	5240	2620																																	4800			88320														九老洞								0		0		0					scripts/Map/九老洞/npc/2号_钟不归/幻影兵器.lua																10000	3840							0		0						8840	5099																																											26					1024	1024	1024	1024	1024																																	0																																														
123672	大刀·内					26		5		120								180	1151827			1036644					22						2010	794	794	794	794	794		2211	211	211	211	211		123672		5240	2620	5240	2620																																	4800			88319														九老洞								0		0		0					scripts/Map/九老洞/npc/2号_钟不归/幻影兵器.lua																10000	3840							0		0						8840	5099																																											26					1024	1024	1024	1024	1024																																	0																																														
123673	锤·内					26		5		120								180	1151827			1036644					22						2010	794	794	794	794	794		2211	211	211	211	211		123673		5240	2620	5240	2620																																	4800			88318														九老洞								0		0		0					scripts/Map/九老洞/npc/2号_钟不归/幻影兵器.lua																10000	3840							0		0						8840	5099																																											26					1024	1024	1024	1024	1024																																	0																																														
123674	剑·内					26		5		120								180	1151827			1036644					22						2010	794	794	794	794	794		2211	211	211	211	211		123674		5240	2620	5240	2620																																	4800			88317														九老洞								0		0		0					scripts/Map/九老洞/npc/2号_钟不归/幻影兵器.lua																10000	3840							0		0						8840	5099																																											26					1024	1024	1024	1024	1024																																	0																																														
123675	双斧·内					26		5		120								180	1151827			1036644					22						2010	794	794	794	794	794		2211	211	211	211	211		123675		5240	2620	5240	2620																																	4800			88316														九老洞								0		0		0					scripts/Map/九老洞/npc/2号_钟不归/幻影兵器.lua																10000	3840							0		0						8840	5099																																											26					1024	1024	1024	1024	1024																																	0																																														
123676	双锏·内					26		5		120								180	1151827			1036644					22						2010	794	794	794	794	794		2211	211	211	211	211		123676		5240	2620	5240	2620																																	4800			88315														九老洞								0		0		0					scripts/Map/九老洞/npc/2号_钟不归/幻影兵器.lua																10000	3840							0		0						8840	5099																																											26					1024	1024	1024	1024	1024																																	0																																														
