ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID	CanSeeLifeNum	TouchWidth	HasSharePackage	SharePackageOptionText	SharePackageRequireReputeLevel	LeaveFightNotify	RecoverHP	BroadcastLookup	DropVigor	MaxLifeCount	SceneFilter	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	Drop11	Count11	Drop12	Count12	Drop13	Count13	Drop14	Count14	Drop15	Count15
122598	乐临川	新月卫				28				124			60	6				704800	252980000			70860041					30	10000	10000	10000	10000	10000	0	4789	4789	4789	4789	4789		27550	27550	27550	27550	27550		122598		0	0	0	0	33947	1	30				20	10																									99999			86364	87109	87374								1392				25人英雄武狱黑牢					1			0		0		0					scripts/Map/武狱黑牢/npc/2号_乐临川/乐临川.lua															1	10000	-1									254					5	11190	0	2																																										28					0	0	0	0	0								1															2048				1					1536	1													1	0	10																															
122599						26		9		111					0	0		704800	99999999								22																			122599																																						9999																	25人英雄武狱黑牢					1			0		0		0																						-1							0		254								3																																										26					0	0	0	0	0																							2048										0																																														
122600						26		9		111					0	0		704800	99999999								22																			122600																																						9999																	25人英雄武狱黑牢					1			0		0		0																						-1							0		254								3																																										26					0	0	0	0	0																							2048										0																																														
122601						28		9		124			56		0	0		180	999999999								22																			122601																																						4800			86623										2				25人英雄武狱黑牢					1			0		0		0																						3840							0		254								4																																										28					1024	1024	1024	1024	1024																							2048										0	1					0								0																																
122602	翁幼之	白鬼翁				28	3			124				6				704800	329460000			1133760668					30	10000	10000	10000	10000	10000	0	4789	4789	4789	4789	4789		27550	27550	27550	27550	27550		122602		234901	117452	234901	117452	34030	3																													0	0	99999			86349										1392				25人英雄武狱黑牢					1			0		0		0					scripts\Map\武狱黑牢\npc\6号_翁幼之\翁幼之.lua															1	10000	-1								0	254					15	11190	0	6																																										28					0	0	0	0	0								1															2048									1536	1															10																															
122603	象鼻					28	5	2		124				6				704800	38080000			0					22	10000	10000	10000	10000	10000	0	4789	4789	4789	4789	4789		27550	27550	27550	27550	27550		122603		234901	117452	234901	117452																																	99999													2				25人英雄武狱黑牢					1			0		0		0					scripts/Map/武狱黑牢/npc/3号_牛波/象鼻.lua															1	10000	-1									254					15	11190	478083																																											28					0	0	0	0	0																							2048									1536	1																																														
122604	巨象					28		2		124				5				704800	153000000			35430020					28	10000	10000	10000	10000	10000	0	4789	4789	4789	4789	4789		27550	27550	27550	27550	27550		122604		709971	0	0	0	34384	1																															99999			86753										2				25人英雄武狱黑牢					1			0		0		0					scripts/Map/武狱黑牢/npc/3号_牛波/动物.lua															1	10000	-1									254					13	11190	39840	3																																										28					0	0	0	0	0																							2048									1536	1															10																															
122605	翁幼之宝箱			2	0	26	1	9	0	120	0	950	29		0	0		704800	828947368	0	0	45	0	0	100	6	22	9000	0	0	0	0	0	1	1	1	1	1	1024						0	122605	1	1857	929	1857	929			43	0	1	1024	33	10			32	0	1	1024	16	8			32	0	1	1024	16	8			32	0	1	1024	16	8	99999999	0	20	59015										1392	2500000	2500000	1048576	25人英雄武狱黑牢	0	0	1	1	1	0		0		0		0					scripts/Map/狼牙堡_辉天堑/npc/掉落npc.lua							0	0	0	0	0	0	0	0			-1	0	0	0	0	0	0	0	0	3070	1	1	0	960	3	8840	0	6			0	-1	7	0	-1	0										32	0	32	0	32	0	32	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	26			0	0	0	0	0	0	0	0				0	0	0	1	0													1	2560				1						1														0			奉天证道/25人公共掉落/Stone_high.tab	2	奉天证道/25人公共掉落/craft_boss.tab	1	奉天证道/25人公共掉落/siderite_120.tab	1	群侠万变/Raid武狱黑牢英雄25人/gear_6_1.tab	1	群侠万变/Raid武狱黑牢英雄25人/gear_6_2.tab	1	群侠万变/Raid武狱黑牢英雄25人/gear_6_3.tab	1	群侠万变/Raid武狱黑牢英雄25人/gear_6_4.tab	1	群侠万变/Raid武狱黑牢英雄25人/wyhlyxteshu6_4.tab	1	群侠万变/Raid武狱黑牢英雄25人/wyhlyxsuipian.tab	1												
122606	武云阙	小武王				28				124				6				704800	243625725			113376066					30	10000	10000	10000	10000	10000	0	4789	4789	4789	4789	4789		27550	27550	27550	27550	27550		122606		520655	0	0	0	34936	3																															99999			86788										1392				25人英雄武狱黑牢					1			0		0		0					scripts/Map/武狱黑牢/npc/5号_武云阙/武云阙.lua															1	10000	-1									254					15	11190	478083	5																																										28					0	0	0	0	0								1															2048									1536	1															10																															
122607						26		9		124					0	0		704800	99999999								22																			122607																																						9999																	25人英雄武狱黑牢					1			0		0		0																						-1							0		254								6																																										26					1024	1024	1024	1024	1024																							2048										0																																														
