ID	Class	OrderIndex
-2	1号_孙楚珊	0
0		11
1		32
2		3
3		70
4		105
5		5
6		37
7		34
8	任务怪	1
9	任务怪	0
10	2014.06.28	3
11	2014.06.28	2
12	任务怪	3
13		24
14	2014.06.28	6
15	2014.06.28	0
16		52
17		12
18		21
19		72
20		117
21		0
22		119
23		77
24		79
25		42
26		57
27		116
28		81
29		120
30		122
31		14
32		53
33		100
34		103
35		109
36		51
37		15
38		45
39		13
40		43
41		69
42		16
43		40
44		55
45		62
46		6
47		71
48		36
50		18
51		68
57		35
58		87
59		89
60		60
61		83
62		86
63		123
64		28
65		84
66		80
67		38
68		56
69		7
70		67
71		161
72	重制版\逍遥林	4
73	重制版\逍遥林	5
74	重制版\落星湖	7
75		81
76	重制版\落星湖	6
77	重制版\落星湖	2
78		2
79		75
80	重制版\落星湖	3
81	重制版\落星湖	5
82	功能NPC\杂货商	15
83	重制版\三星望月\剧情表现	3
84	重制版\花海	2
85		85
86	重制版\三星望月\剧情表现	4
87	重制版\水月宫	1
88		92
89		108
90	重制版\仙迹岩	5
91	重制版\仙迹岩	2
92	重制版\仙迹岩	3
93		74
94	重制版\仙迹岩	4
95		110
96	重制版\三星望月	9
97	重制版\三星望月	5
98	重制版\三星望月	4
99	重制版\三星望月	7
100	重制版\三星望月	10
101	重制版\三星望月	3
102		126
103		40
104		13
105		27
106		15
107		105
108		91
109		37
110		28
111	重制版\花海\剧情表现	0
112		86
113	重制版\三星望月	2
114		90
115	功能NPC\杂货商	46
116		62
117		50
118		169
119	重制版\逍遥林\战斗	0
120	重制版\逍遥林\战斗	1
121	重制版\逍遥林\战斗	2
122	重制版\花海\战斗	4
123	重制版\花海\战斗	1
124	重制版\花海\战斗	0
125	重制版\逍遥林\战斗	3
126	重制版\花海\战斗	3
127		38
128		155
129		64
130		177
131	重制版\三星望月\剧情表现	1
132		157
133		182
134		159
135	重制版\聋哑村\战斗	3
136	重制版\聋哑村\战斗	4
137	重制版\聋哑村\战斗	6
138	重制版\聋哑村\战斗	5
139	重制版\聋哑村\战斗	2
140	重制版\聋哑村\战斗	1
141	重制版\聋哑村\战斗	0
142		63
143	重制版\水月宫\战斗	4
144		112
145	重制版\水月宫\战斗	1
146	重制版\水月宫\战斗	2
147	重制版\水月宫\战斗	3
148		10
149		166
150		165
151		61
152		109
153		35
154		53
155	重制版\花海\战斗	2
156		20
157		16
158		172
159		138
160		8
161		57
162		39
163		154
164		115
165		4
166		113
167		114
168	重制版\水月宫\战斗	5
169	重制版\三星望月\表现	4
170	重制版\三星望月\表现	5
171	重制版\三星望月\表现	2
172	重制版\三星望月\表现	3
173		117
174		162
175		130
176		135
177		146
178		107
179		160
180		9
181		18
182		14
183		82
184		194
185		124
186		139
187		119
188		144
189		120
190		142
191		1
192		33
193		18
194		17
195		16
196		7
197		1
198		2
200		3
201		247
202		2
203		2
204		3
205		4
206		5
207		6
208		3
210		4
211		5
212		6
213		26
214		27
215		28
216		7
217		8
218		9
219		0
220		29
221		30
222		3
223		10
224		4
225		11
226		12
227		13
228		5
229		6
230		7
231		8
232		9
233		10
234		11
235		32
236		14
237		31
238		0
239		1
240		15
241		2
242		16
243		3
244		4
245		5
246		6
247		7
248		17
249		8
250		18
251		9
252		10
253		19
254		20
255		21
256		22
257		11
258		12
259		13
260		17
261		7
262		1
263		0
264		14
265		23
266		24
267		25
268		26
269		27
270		28
271		29
272		15
273		30
274		31
275		16
276		32
277		4
278		33
279		17
280		18
281		19
282		20
283		21
284		34
285		22
286		23
287		12
288		35
289		36
290		37
291		11
292		24
293		32
294		18
295		25
296		26
297		0
298		27
299		28
300		29
301		30
302		31
303		32
304		33
305		34
306		38
307		35
308		39
309		36
310		40
311		37
312		41
313		42
314		43
315		44
316		45
317		38
318		39
319		13
320		1
321		46
322		47
323		48
324		40
325		49
326		50
327		51
328		52
329		53
330		54
331		55
332		33
333		56
334		26
335		23
336		22
337		25
338		24
339		31
340		57
341		38
342		37
343		40
344		39
345		36
346		41
347		42
348		32
349		43
350		35
351		44
352		58
353		34
354		21
355		59
356		45
357		30
358		60
359		46
360		47
361		48
362		49
363		61
364		0
365		8
366		62
367		50
368		15
369		9
370		10
371		63
372		6
373		0
374		2
375		3
376		64
377		4
378		5
379		65
380		53
381		6
382		7
383		66
384		67
385		68
386		8
387		9
388		10
389		69
390		70
391		71
392		72
393		73
394		74
395		75
396		76
397		77
398		78
399		79
400		80
401		81
402		82
403		83
404		84
405		85
406		86
407		87
408		88
409		89
410		90
411		91
412		92
413		93
414		94
415		95
416		96
417		97
418		98
419		99
420		11
421		100
422		12
423		29
424		51
425		0
426		1
427		248
428		25
429		101
430		12
432		13
433		14
434		1
435		52
436		53
437		54
438		55
439		16
440		34
441		56
442		57
443		0
444		13
445		14
446		12
447		11
448		87
449		10
450		152
451		5
452		8
453		143
454		224
455		151
457		150
458		221
459		115
460		92
461		73
462		133
463		86
464		102
465		149
467		19
468		120
469		1
470		102
471		103
472		7
474		6
475		5
476		4
477		116
478		104
479		200
480		105
481		13
482		122
483		216
484		214
485		105
486		191
487		132
488		2
489		14
490		15
491		0
492		1
493		0
494		2
495		3
496		4
497		1
498		1
499		2
500		3
501		141
502		135
503		152
504	重制版\塔林\敌对	4
505	重制版\塔林\敌对	2
506	重制版\塔林\敌对	0
507	重制版\塔林\敌对	3
508		37
509	重制版\少林寺前院	4
510	重制版\少林寺后院\剧情	5
511	重制版\少林寺后院\剧情	3
512	重制版\少林寺后院\剧情	0
513		96
514		97
515	重制版\习武场\敌对	1
516		68
517	重制版\习武场\敌对	2
518	重制版\习武场\剧情	0
519		125
520		5
521		6
522		54
523		4
524		151
525	重制版\藏经阁\敌对	3
526	重制版\藏经阁\敌对	2
527	重制版\藏经阁\剧情	1
528	重制版\藏经阁\剧情	2
529	重制版\藏经阁\敌对	5
530		155
531		77
532		69
533		73
534		187
535	功能NPC\小吃商	2
536	功能NPC\小吃商	0
537	功能NPC\杂货商	8
538		168
539		11
540	功能NPC\药品商	2
541		12
542		147
543		41
544		21
545		154
546		113
547		173
548	重制版\塔林	2
549	重制版\塔林	3
550		27
551	功能NPC\药品商	1
552	重制版\少林寺前院\剧情表现	0
553	功能NPC\生活技能	2
554		136
555		0
556		5
557	功能NPC	10
558	重制版\少林寺前院	1
559	重制版\少林寺前院	3
560	重制版\伙房	1
561		87
562		88
563		89
564	功能NPC\生活技能	1
565	功能NPC\生活技能	0
566	重制版\伙房	2
567	功能NPC\小吃商	1
568		170
569	重制版\少林寺后院\剧情	6
570	重制版\少林寺后院\剧情	7
571	重制版\证道院	1
572	重制版\少林寺后院	5
573	重制版\证道院	2
574	重制版\少林寺后院	4
575	重制版\少林寺后院	3
576	重制版\少林寺后院	2
577		90
578	功能NPC\门派商人	0
579		2
580		71
581		44
582	重制版\习武场	6
583		74
584	重制版\习武场	11
585	重制版\习武场	4
586	重制版\习武场	3
587	重制版\习武场	7
588		34
589		39
590		76
591	重制版\藏经阁	25
592	功能NPC\杂货商	6
593		63
594		6
595		23
596		95
597		124
598		16
599		93
600		16
601		65
602		176
603		139
604	重制版\塔林	11
605		67
606		108
607		107
608		190
609		191
610		114
611		115
612		22
613	功能NPC\装备商	4
614	功能NPC\装备商	3
615		3
616		48
617		43
618		52
619		62
620		137
621		153
622		70
623		112
624		129
625		130
626	重制版\塔林	6
627		116
628		4
629		181
630		182
631		47
632		120
633		58
634		148
635	功能NPC\药品商	0
636	功能NPC\装备商	2
637		5
638		3
639		14
640	重制版\大雄宝殿	2
641		194
642		158
643		159
644		149
645		150
646		90
647		91
648		9
649		26
650		118
651		5
652		0
653		3
654		2
655		8
656		1
657		2
658		156
659		17
660		3
661		58
662		4
663		5
664		6
665		7
666		8
667		9
668		10
669		11
670		12
671		13
672		14
673		208
674		15
675		16
676		17
677		18
678		19
679		20
680		21
681		22
682		23
683		24
686		201
689		25
690		27
691		26
692		28
693		29
694		30
695		31
696		6
697		32
698		5
699		7
700		33
701	重置	1
702		34
703	重置	2
704		8
705		35
706		9
707		10
708		11
709		12
710		13
711		14
713		15
714		16
715		17
716		18
717		19
