Name(此项不读)	ID	IsLoop	Range	AnimationID	ScriptFuncName
	0	0	0	0	
对话	1	0	384	0	OnDialogue
刷新动作表现标记	10000	0	0	10000	
死亡1	10001	0	0	10001	
死亡2	10002	0	0	10002	
死亡3	10003	0	0	10003	
复活1	10005	0	0	10005	
复活2	10006	0	0	10006	
复活3	10007	0	0	10007	
复活4	10008	0	0	10008	
行走1	10009	0	0	10009	
行走2	10010	0	0	10010	
行走3	10011	0	0	10011	
行走4	10012	0	0	10012	
跑步1	10013	0	0	10013	
跑步2	10014	0	0	10014	
跑步3	10015	0	0	10015	
跑步4	10016	0	0	10016	
普通待机1	10030	0	0	10030	
普通待机2	10031	0	0	10031	
普通待机3	10032	0	0	10032	
普通待机4	10033	0	0	10033	
普通待机5	10034	0	0	10034	
普通待机6	10035	0	0	10035	
特殊待机	10044	0	0	10044	
战斗待机1	10047	0	0	10047	
战斗待机2	10048	0	0	10048	
战斗待机3	10049	0	0	10049	
战斗待机4	10050	0	0	10050	
战斗攻击20	10051	0	0	10051	
战斗攻击21	10052	0	0	10052	
战斗攻击22	10053	0	0	10053	
战斗攻击1	10054	0	0	10054	
战斗攻击2	10055	0	0	10055	
战斗攻击3	10056	0	0	10056	
战斗攻击4	10057	0	0	10057	
战斗攻击5	10058	0	0	10058	
战斗攻击6	10059	0	0	10059	
战斗攻击7	10060	0	0	10060	
战斗攻击8	10061	0	0	10061	
战斗攻击9	10062	0	0	10062	
战斗攻击10	10063	0	0	10063	
战斗攻击11	10064	0	0	10064	
战斗攻击12	10065	0	0	10065	
战斗攻击13	10066	0	0	10066	
战斗攻击14	10067	0	0	10067	
战斗攻击15	10068	0	0	10068	
战斗攻击16	10069	0	0	10069	
战斗攻击17	10070	0	0	10070	
战斗攻击18	10071	0	0	10071	
战斗攻击19	10072	0	0	10072	
被击1	10073	0	0	10073	
被击2	10074	0	0	10074	
被击3	10075	0	0	10075	
被击4	10076	0	0	10076	
被击飞1	10080	0	0	10080	
被击飞2	10081	0	0	10081	
被击飞3	10082	0	0	10082	
被击飞4	10083	0	0	10083	
战斗攻击20	10085	0	0	10085	
战斗攻击21	10086	0	0	10086	
战斗攻击22	10087	0	0	10087	
战斗攻击23	10088	0	0	10088	
战斗攻击24	10089	0	0	10089	
战斗攻击25	10090	0	0	10090	
战斗攻击26	10091	0	0	10091	
战斗攻击27	10092	0	0	10092	
战斗攻击28	10093	0	0	10093	
战斗攻击29	10094	0	0	10094	
战斗攻击30	10095	0	0	10095	
战斗攻击31	10096	0	0	10096	
战斗攻击32	10097	0	0	10097	
战斗攻击33	10098	0	0	10098	
战斗攻击34	10099	0	0	10099	
战斗攻击35	10100	0	0	10100	
主角站立引导b	10102	0	0	10102	
主角站立引导c	10103	0	0	10103	
召唤马表情	10107	0	0	10107	
传功起	10110	0	0	10110	
表情动作1	10150	0	0	10150	
表情动作2	10151	0	0	10151	
表情动作3	10152	0	0	10152	
表情动作4	10153	0	0	10153	
表情动作5	10154	0	0	10154	
表情动作6	10155	0	0	10155	
表情动作7	10156	0	0	10156	
表情动作8	10157	0	0	10157	
表情动作9	10158	0	0	10158	
表情动作10	10159	0	0	10159	
表情动作11	10160	0	0	10160	
表情动作12	10161	0	0	10161	
表情动作13	10162	0	0	10162	
表情动作14	10163	0	0	10163	
表情动作 坐凳子	10164	0	0	10164	
表情动作 吃东西	10165	0	0	10165	
表情动作17	10166	0	0	10166	
表情动作18	10167	0	0	10167	
表情动作19	10168	0	0	10168	
表情动作20	10169	0	0	10169	
表情动作21	10170	0	0	10170	
表情动作22	10171	0	0	10171	
表情动作23	10172	0	0	10172	
表情动作24	10173	0	0	10173	
表情动作25	10174	0	0	10174	
表情动作26	10175	0	0	10175	
表情动作27	10176	0	0	10176	
表情动作28	10177	0	0	10177	
表情动作29	10178	0	0	10178	
表情动作 打拳1	10179	0	0	10179	
表情动作 打拳2	10180	0	0	10180	
表情动作 打拳3	10181	0	0	10181	
表情动作33	10182	0	0	10182	
表情动作34	10183	0	0	10183	
击鼓	10184	0	0	10184	
放风筝	10185	0	0	10185	
倒酒	10186	0	0	10186	
表情动作38	10187	0	0	10187	
蓄力	10188	0	0	10188	
释放	10189	0	0	10189	
特殊动作1	10190	0	0	10190	
特殊动作2	10191	0	0	10191	
特殊动作3	10192	0	0	10192	
特殊动作4	10193	0	0	10193	
特殊动作5	10194	0	0	10194	
特殊动作6	10195	0	0	10195	
特殊动作7	10196	0	0	10196	
特殊动作8	10197	0	0	10197	
特殊动作9	10198	0	0	10198	
特殊动作10	10199	0	0	10199	
主角拾取1	10200	0	0	10200	
主角拾取2	10201	0	0	10201	
呕吐_带特效	10247	0	0	10247	
倒地	10289	0	0	10289	
倒地爬起	10290	0	0	10290	
号角01a	10298	0	0	10298	
号角01b	10299	0	0	10299	
号角01c	10300	0	0	10300	
技能释放1	10310	0	0	10310	
技能释放2	10311	0	0	10311	
技能释放3	10312	0	0	10312	
技能释放4	10313	0	0	10313	
握针	10314	0	0	10314	
彼针施放	10318	0	0	10318	
商阳指	10323	0	0	10323	
浮花浪蕊施放	10330	0	0	10330	
主角动作334	10334	0	0	10334	
主角动作338	10338	0	0	10338	
主角动作343	10343	0	0	10343	
号角02	10357	0	0	10357	
主角大笑	10358	0	0	10358	
捕梦网	10402	0	0	10402	
龙牙	10455	0	0	10455	
挤奶1	10468	0	0	10468	
挤奶待机	10469	0	0	10469	
挤奶2	10470	0	0	10470	
沧月	10473	0	0	10473	
挤奶3	10476	0	0	10476	
挤奶4	10477	0	0	10477	
挤奶结束	10478	0	0	10478	
天策特殊武器	10479	0	0	10479	
摘果子	10496	0	0	10496	
摘果子	10497	0	0	10497	
摘果子	10498	0	0	10498	
邂瑶台	10499	0	0	10499	
剑主天地	10501	0	0	10501	
剑转流云	10504	0	0	10504	
跳珠憾玉	10509	0	0	10509	
左旋右转	10510	0	0	10510	
恒河劫沙	10514	0	0	10514	
雷霆震怒	10517	0	0	10517	
抢珠式	10522	0	0	10522	
心鼓弦1	10530	0	0	10530	
心鼓弦2	10531	0	0	10531	
妙舞1	10542	0	0	10542	
妙舞2	10543	0	0	10543	
拿出佩囊猫	10578	0	0	10578	
收起佩囊猫	10586	0	0	10586	
拿出佩囊狗	10587	0	0	10587	
收起佩囊狗	10595	0	0	10595	
上乘黄	10597	0	0	10597	
下乘黄	10598	0	0	10598	
无我无剑	10606	0	0	10606	
大道无术	10607	0	0	10607	
两仪化形	10610	0	0	10610	
八卦洞玄	10618	0	0	10618	
凝神聚气	10637	0	0	10637	
拥抱	10676	0	0	10676	
拿水果茶	10698	0	0	10698	
醉月	10725	0	0	10725	
用以打断鹤归孤山和风来吴山的动作	10741	0	0	10741	
踏雪寻梅	10745	0	0	10745	
藏剑特殊武器动作1	10749	0	0	10749	
藏剑特殊武器动作2	10750	0	0	10750	
喝水果茶	10756	0	0	10756	
坐下	10758	0	0	10758	
吃烤肉	10760	0	0	10760	
起身	10761	0	0	10761	
铲屎	10763	0	0	10763	
喂鸡	10764	0	0	10764	
被吊起_向左躲避	10768	0	0	10768	
被吊起_向右躲避	10769	0	0	10769	
滑雪_冲刺	10770	0	0	10770	
说话	10773	0	0	10773	
外装248蒲公英ab	10780	0	0	10780	
外装248蒲公英cd	10782	0	0	10782	
