GradeID	VersionDate	RegressionDaily	FreeLimit	KungFu	ItemType1	ItemIndex1	ItemStackNum1	ItemType2	ItemIndex2	ItemStackNum2	ItemType3	ItemIndex3	ItemStackNum3	ItemType4	ItemIndex4	ItemStackNum4	ItemType5	ItemIndex5	ItemStackNum5	ItemType6	ItemIndex6	ItemStackNum6	ItemType7	ItemIndex7	ItemStackNum7	ItemType8	ItemIndex8	ItemStackNum8
0	0	2	0	0	5	6714	0	8	4022	0	5	16953	0	8	4006	0												
0	0	2	0	10002	5	6714	0	8	4022	0	6	5447	0	8	4006	0												
0	0	2	0	10003	5	6714	0	8	4022	0	6	5446	0	8	4006	0												
0	0	2	0	10021	5	6714	0	8	4022	0	6	5444	0	8	4006	0												
0	0	2	0	10028	5	6714	0	8	4022	0	6	5445	0	8	4006	0												
0	0	2	0	10026	5	6714	0	8	4022	0	6	5450	0	8	4006	0												
0	0	2	0	10062	5	6714	0	8	4022	0	6	5451	0	8	4006	0												
0	0	2	0	10014	5	6714	0	8	4022	0	6	5448	0	8	4006	0												
0	0	2	0	10015	5	6714	0	8	4022	0	6	5449	0	8	4006	0												
0	0	2	0	10080	5	6714	0	8	4022	0	6	5453	0	8	4006	0												
0	0	2	0	10081	5	6714	0	8	4022	0	6	5452	0	8	4006	0												
0	0	2	0	10175	5	6714	0	8	4022	0	6	5458	0	8	4006	0												
0	0	2	0	10176	5	6714	0	8	4022	0	6	5459	0	8	4006	0												
0	0	2	0	10224	5	6714	0	8	4022	0	6	5457	0	8	4006	0												
0	0	2	0	10225	5	6714	0	8	4022	0	6	5456	0	8	4006	0												
0	0	2	0	10144	8	4022	0	6	5454	0	6	5455	0	8	4006	0												
0	0	2	0	10145	8	4022	0	6	5454	0	6	5455	0	8	4006	0												
0	0	2	0	10242	5	6714	0	8	4022	0	6	6120	0	8	4006	0												
0	0	2	0	10243	5	6714	0	8	4022	0	6	6121	0	8	4006	0												
0	0	2	0	10268	5	6714	0	8	4022	0	6	6953	0	8	4006	0												
0	0	3	0	0	5	6714	0	7	12821	0	7	12822	0	7	12823	0												
0	0	3	0	10002	5	6714	0	7	12821	0	7	12822	0	7	12823	0												
0	0	3	0	10003	5	6714	0	7	12821	0	7	12822	0	7	12823	0												
0	0	3	0	10021	5	6714	0	7	12821	0	7	12822	0	7	12823	0												
0	0	3	0	10028	5	6714	0	7	12821	0	7	12822	0	7	12823	0												
0	0	3	0	10026	5	6714	0	7	12821	0	7	12822	0	7	12823	0												
0	0	3	0	10062	5	6714	0	7	12821	0	7	12822	0	7	12823	0												
0	0	3	0	10014	5	6714	0	7	12821	0	7	12822	0	7	12823	0												
0	0	3	0	10015	5	6714	0	7	12821	0	7	12822	0	7	12823	0												
0	0	3	0	10080	5	6714	0	7	12821	0	7	12822	0	7	12823	0												
0	0	3	0	10081	5	6714	0	7	12821	0	7	12822	0	7	12823	0												
0	0	3	0	10175	5	6714	0	7	12821	0	7	12822	0	7	12823	0												
0	0	3	0	10176	5	6714	0	7	12821	0	7	12822	0	7	12823	0												
0	0	3	0	10224	5	6714	0	7	12821	0	7	12822	0	7	12823	0												
0	0	3	0	10225	5	6714	0	7	12821	0	7	12822	0	7	12823	0												
0	0	3	0	10144	5	6714	0	7	12821	0	7	12822	0	7	12823	0												
0	0	3	0	10145	5	6714	0	7	12821	0	7	12822	0	7	12823	0												
0	0	3	0	10242	5	6714	0	7	12821	0	7	12822	0	7	12823	0												
0	0	3	0	10243	5	6714	0	7	12821	0	7	12822	0	7	12823	0												
0	0	3	0	10268	5	6714	0	7	12821	0	7	12822	0	7	12823	0												
0	0	4	1	0	5	6714	0	5	40608	0	5	16954	0	8	4024	0												
0	0	4	1	10002	5	6714	0	5	40608	0	8	5446	0	8	4024	0												
0	0	4	1	10003	5	6714	0	5	40608	0	8	5447	0	8	4024	0												
0	0	4	1	10021	5	6714	0	5	40608	0	8	5443	0	8	4024	0												
0	0	4	1	10028	5	6714	0	5	40608	0	8	5442	0	8	4024	0												
0	0	4	1	10026	5	6714	0	5	40608	0	8	5441	0	8	4024	0												
0	0	4	1	10062	5	6714	0	5	40608	0	8	5440	0	8	4024	0												
0	0	4	1	10014	5	6714	0	5	40608	0	8	5448	0	8	4024	0												
0	0	4	1	10015	5	6714	0	5	40608	0	8	5449	0	8	4024	0												
0	0	4	1	10080	5	6714	0	5	40608	0	8	5444	0	8	4024	0												
0	0	4	1	10081	5	6714	0	5	40608	0	8	5445	0	8	4024	0												
0	0	4	1	10175	5	6714	0	5	40608	0	8	5451	0	8	4024	0												
0	0	4	1	10176	5	6714	0	5	40608	0	8	5452	0	8	4024	0												
0	0	4	1	10224	5	6714	0	5	40608	0	8	5454	0	8	4024	0												
0	0	4	1	10225	5	6714	0	5	40608	0	8	5453	0	8	4024	0												
0	0	4	1	10144	5	6714	0	5	40608	0	8	5450	0	8	4024	0												
0	0	4	1	10145	5	6714	0	5	40608	0	8	5450	0	8	4024	0												
0	0	4	1	10242	5	6714	0	5	40608	0	8	6260	0	8	4024	0												
0	0	4	1	10243	5	6714	0	5	40608	0	8	6261	0	8	4024	0												
0	0	4	1	10268	5	6714	0	5	40608	0	8	8244	0	8	4024	0												
0	0	5	1	0	5	6714	0	5	40608	0	5	16955	0	5	40385	0												
0	0	5	1	10002	5	6714	0	5	40608	0	8	5461	0	5	40385	0												
0	0	5	1	10003	5	6714	0	5	40608	0	8	5462	0	5	40385	0												
0	0	5	1	10021	5	6714	0	5	40608	0	8	5458	0	5	40385	0												
0	0	5	1	10028	5	6714	0	5	40608	0	8	5457	0	5	40385	0												
0	0	5	1	10026	5	6714	0	5	40608	0	8	5456	0	5	40385	0												
0	0	5	1	10062	5	6714	0	5	40608	0	8	5455	0	5	40385	0												
0	0	5	1	10014	5	6714	0	5	40608	0	8	5463	0	5	40385	0												
0	0	5	1	10015	5	6714	0	5	40608	0	8	5464	0	5	40385	0												
0	0	5	1	10080	5	6714	0	5	40608	0	8	5459	0	5	40385	0												
0	0	5	1	10081	5	6714	0	5	40608	0	8	5460	0	5	40385	0												
0	0	5	1	10175	5	6714	0	5	40608	0	8	5466	0	5	40385	0												
0	0	5	1	10176	5	6714	0	5	40608	0	8	5467	0	5	40385	0												
0	0	5	1	10224	5	6714	0	5	40608	0	8	5469	0	5	40385	0												
0	0	5	1	10225	5	6714	0	5	40608	0	8	5468	0	5	40385	0												
0	0	5	1	10144	5	6714	0	5	40608	0	8	5465	0	5	40385	0												
0	0	5	1	10145	5	6714	0	5	40608	0	8	5465	0	5	40385	0												
0	0	5	1	10242	5	6714	0	5	40608	0	8	6262	0	5	40385	0												
0	0	5	1	10243	5	6714	0	5	40608	0	8	6263	0	5	40385	0												
0	0	5	1	10268	5	6714	0	5	40608	0	8	8245	0	5	40385	0												
0	0	6	1	0	5	6258	0	5	16956	0	5	7694	0	8	74	0												
0	0	6	1	10002	5	6258	0	8	5476	0	5	7694	0	8	74	0												
0	0	6	1	10003	5	6258	0	8	5477	0	5	7694	0	8	74	0												
0	0	6	1	10021	5	6258	0	8	5473	0	5	7694	0	8	74	0												
0	0	6	1	10028	5	6258	0	8	5472	0	5	7694	0	8	74	0												
0	0	6	1	10026	5	6258	0	8	5471	0	5	7694	0	8	74	0												
0	0	6	1	10062	5	6258	0	8	5470	0	5	7694	0	8	74	0												
0	0	6	1	10014	5	6258	0	8	5478	0	5	7694	0	8	74	0												
0	0	6	1	10015	5	6258	0	8	5479	0	5	7694	0	8	74	0												
0	0	6	1	10080	5	6258	0	8	5474	0	5	7694	0	8	74	0												
0	0	6	1	10081	5	6258	0	8	5475	0	5	7694	0	8	74	0												
0	0	6	1	10175	5	6258	0	8	5481	0	5	7694	0	8	74	0												
0	0	6	1	10176	5	6258	0	8	5482	0	5	7694	0	8	74	0												
0	0	6	1	10224	5	6258	0	8	5484	0	5	7694	0	8	74	0												
0	0	6	1	10225	5	6258	0	8	5483	0	5	7694	0	8	74	0												
0	0	6	1	10144	5	6258	0	8	5480	0	5	7694	0	8	74	0												
0	0	6	1	10145	5	6258	0	8	5480	0	5	7694	0	8	74	0												
0	0	6	1	10242	5	6258	0	8	6264	0	5	7694	0	8	74	0												
0	0	6	1	10243	5	6258	0	8	6265	0	5	7694	0	8	74	0												
0	0	6	1	10268	5	6258	0	8	8246	0	5	7694	0	8	74	0												
1	1445814000	1	1	0	5	45786	1																					
1	1445814000	1	1	10002	5	45786	1																					
1	1445814000	1	1	10003	5	45786	1																					
1	1445814000	1	1	10021	5	45786	1																					
1	1445814000	1	1	10028	5	45786	1																					
1	1445814000	1	1	10026	5	45786	1																					
1	1445814000	1	1	10062	5	45786	1																					
1	1445814000	1	1	10014	5	45786	1																					
1	1445814000	1	1	10015	5	45786	1																					
1	1445814000	1	1	10080	5	45786	1																					
1	1445814000	1	1	10081	5	45786	1																					
1	1445814000	1	1	10175	5	45786	1																					
1	1445814000	1	1	10176	5	45786	1																					
1	1445814000	1	1	10224	5	45786	1																					
1	1445814000	1	1	10225	5	45786	1																					
1	1445814000	1	1	10144	5	45786	1																					
1	1445814000	1	1	10145	5	45786	1																					
1	1445814000	1	1	10242	5	45786	1																					
1	1445814000	1	1	10243	5	45786	1																					
1	1445814000	1	1	10268	5	45786	1																					
1	1445814000	1	1	10389	5	45786	1																					
1	1445814000	1	1	10390	5	45786	1																					
1	1445814000	1	1	10447	5	45786	1																					
1	1445814000	1	1	10448	5	45786	1																					
1	1445814000	1	1	10464	5	45786	1																					
1	1445814000	1	1	10585	5	45786	1																					
1	1445814000	1	1	10533	5	45786	1																					
1	1445814000	1	1	10615	5	45786	1																					
1	1445814000	1	1	10626	5	45786	1																					
1	1445814000	1	1	10627	5	45786	1																					
1	1445814000	1	1	10698	5	45786	1																					
1	1445814000	1	1	10756	5	45786	1																					
1	1445814000	2	1	0	5	45785	1																					
1	1445814000	2	1	10002	5	45785	1																					
1	1445814000	2	1	10003	5	45785	1																					
1	1445814000	2	1	10021	5	45785	1																					
1	1445814000	2	1	10028	5	45785	1																					
1	1445814000	2	1	10026	5	45785	1																					
1	1445814000	2	1	10062	5	45785	1																					
1	1445814000	2	1	10014	5	45785	1																					
1	1445814000	2	1	10015	5	45785	1																					
1	1445814000	2	1	10080	5	45785	1																					
1	1445814000	2	1	10081	5	45785	1																					
1	1445814000	2	1	10175	5	45785	1																					
1	1445814000	2	1	10176	5	45785	1																					
1	1445814000	2	1	10224	5	45785	1																					
1	1445814000	2	1	10225	5	45785	1																					
1	1445814000	2	1	10144	5	45785	1																					
1	1445814000	2	1	10145	5	45785	1																					
1	1445814000	2	1	10242	5	45785	1																					
1	1445814000	2	1	10243	5	45785	1																					
1	1445814000	2	1	10268	5	45785	1																					
1	1445814000	2	1	10389	5	45785	1																					
1	1445814000	2	1	10390	5	45785	1																					
1	1445814000	2	1	10447	5	45785	1																					
1	1445814000	2	1	10448	5	45785	1																					
