MapID	RoleType	PosX	PosY	PosZ	Direction	KungfuIndex	
1	1	6539	36610	1076928	48	1	sl
1	1	6539	36610	1076928	48	2	wh
1	1	6539	36610	1076928	48	3	tc
1	1	6539	36610	1076928	48	4	cy
1	1	6539	36610	1076928	48	5	qx
1	1	6539	36610	1076928	48	6	wd
1	1	6539	36610	1076928	48	7	tm
1	1	6539	36610	1076928	48	8	cj
1	1	6539	36610	1076928	48	9	mj
1	1	6539	36610	1076928	48	10	gb
1	1	6539	36610	1076928	48	11	cangyun
1	1	6539	36610	1076928	48	12	changge
1	1	6539	36610	1076928	48	13	badao
1	1	6539	36610	1076928	48	14	penglai
1	1	6539	36610	1076928	48	15	lxg
1	1	6539	36610	1076928	48	16	ytz
1	1	6539	36610	1076928	48	17	btyz
1	1	6539	36610	1076928	48	18	dz
1	1	6539	36610	1076928	48	19	wlsz
