ID	ShopTemplateID1	ShopTemplateID2	ShopTemplateID3	ShopTemplateID4	ShopTemplateID5	ShopTemplateID6	ShopTemplateID7	ShopTemplateID8	ShopTemplateID9	ShopTemplateID10	ShopTemplateID11	ShopTemplateID12	ShopTemplateID13	ShopTemplateID14	ShopTemplateID15	ShopTemplateID16	ShopOptionText1	ShopOptionText2	ShopOptionText3	ShopOptionText4	ShopOptionText5	ShopOptionText6	ShopOptionText7	ShopOptionText8	ShopOptionText9	ShopOptionText10	ShopOptionText11	ShopOptionText12	ShopOptionText13	ShopOptionText14	ShopOptionText15	ShopOptionText16
0	0	0	0	0	0	0	0	0																								
17	140																稻香村·武器															
28	137																稻香村·小吃美食															
75	85																生活技艺·烹饪蔬菜															
82	391																杂货	万花·配方														
102	392	393	394														坐骑	马具	草料													
103	381																防具															
104	395																灵丹妙药															
105	395																灵丹妙药															
106	397																武器															
110	81																生活技艺·医术材料	万花·配方														
112	401																暗器															
115	391																杂货	万花·配方														
179	82	121															阅读·抄书材料	万花·书籍														
253	381																防具															
274	397																武器															
276	395																灵丹妙药															
373	142	141															声望-镖局联盟·60品武器	声望-镖局联盟·120品武器														
377	140																稻香村·武器															
390	389																小吃美食	扬州·配方														
397	395																灵丹妙药															
407	391	319															杂货	扬州·书籍														
450	395																灵丹妙药	昆仑·配方														
451	83																生活技艺·烹饪调味品															
453	381																防具	昆仑·配方														
454	85																生活技艺·烹饪蔬菜															
455	397																暗器															
457	401																暗器															
459	391	304															杂货	昆仑·书籍	昆仑·配方													
460	389																小吃美食	昆仑·配方														
463	401																暗器															
464	397																武器															
465	395																灵丹妙药	昆仑·配方														
468	391	304															杂货	昆仑·书籍	昆仑·配方													
477	389																小吃美食	昆仑·配方														
479	85																生活技艺·烹饪蔬菜															
482	83																生活技艺·烹饪调味品															
484	381																防具	昆仑·配方														
486	158																声望-昆仑·装备															
532	794																															
535	389																小吃美食	少林·配方														
536	389																小吃美食	少林·配方														
537	391																杂货	少林·配方														
540	395																灵丹妙药															
551	395																灵丹妙药															
553	82	114															阅读·抄书材料	少林·书籍														
567	389																小吃美食	少林·配方														
578	165																声望-少林·装备															
582	397																武器															
592	391																杂货	少林·配方														
613	381																防具															
614	401																暗器															
635	395																灵丹妙药															
636	381																防具															
692	397																武器															
693	401																暗器															
694	381																防具															
695	390																礼品															
697	391																杂货															
698	391																杂货															
700	388																背包															
702	395																灵丹妙药															
705	389																小吃美食	恶人谷·配方														
714	109																纯阳-任务·同心锁															
724	395																灵丹妙药															
725	397																武器															
726	82	108															阅读·抄书材料	纯阳·书籍														
727	401																暗器															
733	395																灵丹妙药															
737	794																															
738	85																生活技艺·烹饪蔬菜															
741	381																防具															
751	83																生活技艺·烹饪调味品															
763	392	393	394														坐骑	马具	草料													
764	81																生活技艺·医术材料	恶人谷·配方														
799	80																生活技艺·铸造材料															
803	84																生活技艺·缝纫材料	恶人谷·配方														
808	82	289															阅读·抄书材料	恶人谷·书籍														
812	152	153	154														声望-恶人谷·装备	声望-恶人谷·物资	声望-恶人谷·饰品													
874	138																稻香村·杂货															
875	138																稻香村·杂货															
890	381																防具	昆仑·配方														
927	397																武器															
1031	1289	1293	1002	279																												
1052	391																杂货															
1053	935	1002	279	1293	1138	1299	1119	1289	1371	1412	1363																					
1075	395																灵丹妙药															
1076	381																防具															
1077	395																灵丹妙药															
1098	391																杂货															
1144	85																生活技艺·烹饪蔬菜	扬州·配方														
1145	83																生活技艺·烹饪调味品															
1146	84																生活技艺·缝纫材料	扬州·配方														
1147	80																生活技艺·铸造材料	扬州·配方														
1148	82																阅读·抄书材料															
1150	391																杂货	纯阳·配方														
1151	389																小吃美食	纯阳·配方														
1152	85																生活技艺·烹饪蔬菜															
1153	395																灵丹妙药															
1244	321																扬州·奇货															
1250	391																杂货	少林·配方														
1252	397																武器															
1253	381																防具															
1270	401																暗器															
1276	303																寇岛·大唐特产															
1348	920	922	135	780	1368																											
1495	920	922	135	780	1368																											
1514	391	308															杂货	洛道·书籍	洛道·配方													
1528	391																															
1535	391																杂货	少林·配方														
1599	83																生活技艺·烹饪调味品															
1606	381																防具															
1608	395																灵丹妙药	寇岛·配方														
1609	401																暗器															
1610	391	301															杂货	寇岛·书籍	寇岛·配方													
1611	389																小吃美食	寇岛·配方														
1612	397																武器															
1613	83																生活技艺·烹饪调味品															
1614	85																生活技艺·烹饪蔬菜															
1615	389																小吃美食	寇岛·配方														
1616	83																生活技艺·烹饪调味品															
1617	397																武器															
1618	391	301															杂货	寇岛·书籍	寇岛·配方													
1619	401																暗器															
1620	381																防具	寇岛·配方														
1623	397																武器															
1628	85																生活技艺·烹饪蔬菜															
1629	401																暗器															
1630	395																灵丹妙药	洛道·配方														
1631	391	308															杂货	洛道·书籍	洛道·配方													
1632	389																小吃美食	洛道·配方														
1633	83																生活技艺·烹饪调味品															
1634	381																防具															
1635	110																纯阳-任务·长安贡酒															
1637	148																声望-纯阳·装备															
1649	794																															
1652	392	393	394														坐骑	马具	草料													
1653	397																武器															
1654	381																防具															
1655	389																小吃美食	天策·配方														
1656	80																生活技艺·铸造材料	天策·配方														
1657	85																生活技艺·烹饪蔬菜															
1658	401																暗器															
1659	82	119															阅读·抄书材料	天策·书籍														
1660	391																杂货															
1661	395																灵丹妙药															
1662	167																声望-天策·装备															
1746	392	393	394														坐骑	马具	草料													
1754	389																小吃美食	枫华谷·配方														
1755	381																防具	枫华谷·配方														
1756	401																暗器															
1758	85																生活技艺·烹饪蔬菜															
1760	391	291															杂货	枫华谷·书籍	枫华谷·配方													
1767	83																生活技艺·烹饪调味品															
1811	401																暗器															
1812	395																灵丹妙药	金水镇·配方														
1828	391	297	299														杂货	金水镇·书籍	金水镇-任务·灯芯	金水镇·配方												
1831	389	298															小吃美食	金水镇-任务·冰块														
1837	389																小吃美食	金水镇·配方														
1842	381																防具															
2013	397																武器															
2023	391																杂货															
2027	85																生活技艺·烹饪蔬菜	洛阳·配方														
2033	381																防具															
2034	397																武器															
2035	401																暗器															
2036	83																生活技艺·烹饪调味品															
2037	389																小吃美食	金水镇·配方														
2038	395																灵丹妙药	金水镇·配方														
2040	391	297	299														杂货	金水镇·书籍	金水镇-任务·灯芯	金水镇·配方												
2042	85																生活技艺·烹饪蔬菜															
2209	151	1005															声望-东漓寨·装备															
2215	83																生活技艺·烹饪调味品															
2220	80																生活技艺·铸造材料	扬州城·配方 														
2223	82	65															阅读·抄书材料	扬州城·书籍														
2240	391	301															杂货	寇岛·书籍	寇岛·配方													
2247	81																生活技艺·医术材料	扬州城·配方 														
2251	85																生活技艺·烹饪蔬菜	扬州城·配方 														
2252	83																生活技艺·烹饪调味品															
2257	388																背包															
2258	390																礼品															
2259	391																杂货															
2260	86																生活技艺·烹饪酒水	扬州城·配方 														
2261	408																扬州城·配方 	稀世材料														
2262	389																小吃美食	扬州城·配方 														
2265	81																生活技艺·医术材料	扬州城·配方 														
2269	80																生活技艺·铸造材料	扬州城·配方 														
2270	399																武器·笔															
2271	404																武器·剑															
2272	403																武器·棍															
2273	405																武器·双兵															
2274	402																武器·枪															
2278	84																生活技艺·缝纫材料	扬州城·配方 														
2282	85																生活技艺·烹饪蔬菜	扬州城·配方 														
2283	83																生活技艺·烹饪调味品															
2289	401																暗器															
2290	383																衣服															
2291	384																帽子															
2292	381																防具															
2293	387																鞋子															
2322	66	393	394														扬州城·坐骑	马具	草料													
2325	311																洛阳-任务·军服															
2341	80																生活技艺·铸造材料	洛阳·配方														
2342	85																生活技艺·烹饪蔬菜	洛阳·配方														
2343	83																生活技艺·烹饪调味品															
2357	395																灵丹妙药															
2361	391	316															杂货	瞿塘峡·书籍														
2409	391																杂货															
2410	397																武器															
2411	381																防具															
2412	395																灵丹妙药	洛阳·配方														
2413	389																小吃美食	洛阳·配方														
2414	391																杂货															
2416	82	310															阅读·抄书材料	洛阳·书籍														
2422	391																杂货															
2429	82																阅读·抄书材料															
2432	80																生活技艺·铸造材料	天策·配方														
2436	287																长安·面罩															
2516	587																															
2579	391																杂货															
2581	391																杂货															
2583	391	319															杂货	扬州·书籍														
2590	395																灵丹妙药															
2592	392	393	394														坐骑	马具	草料													
2609	389																小吃美食	七秀·配方														
2613	794																															
2628	397																武器															
2629	381																防具															
2630	389																小吃美食	七秀·配方														
2631	83																生活技艺·烹饪调味品															
2632	85																生活技艺·烹饪蔬菜															
2633	401																暗器															
2634	82	112															阅读·抄书材料	七秀·书籍														
2635	391																杂货	七秀·配方														
2636	395																灵丹妙药															
2637	163																声望-七秀·装备															
2640	84																生活技艺·缝纫材料															
2641	84																生活技艺·缝纫材料	七秀·配方														
2642	391																杂货	七秀·配方														
2648	395																灵丹妙药															
2649	392	393	394														坐骑	马具	草料													
2703	392	393	394														坐骑	马具	草料													
2723	397																武器															
2825	391																杂货	少林·配方														
2950	397																武器															
2951	397																武器															
3037	1288	1293	1001	278	1138	1299	1118	934	1370	1411	1362																					
3070	391	308															杂货	洛道·书籍	洛道·配方													
3107	83																生活技艺·烹饪调味品															
3108	395																灵丹妙药	长安·配方														
3109	84																生活技艺·缝纫材料	长安·配方														
3112	389																小吃美食	长安·配方														
3113	381																防具															
3115	397																武器															
3117	391																杂货															
3118	82	286															阅读·抄书材料	长安·书籍														
3119	85																生活技艺·烹饪蔬菜	长安·配方														
3120	81																生活技艺·医术材料															
3323	391																杂货	少林·配方														
3339	397																武器															
3387	82	65															阅读·抄书材料	扬州城·书籍														
3464	85																生活技艺·烹饪蔬菜	洛阳城·配方 														
3494	83																生活技艺·烹饪调味品															
3519	83																生活技艺·烹饪调味品															
3520	81																生活技艺·医术材料	洛阳城·配方 														
3521	391																杂货															
3522	395																灵丹妙药															
3523	389																小吃美食	洛阳城·配方 														
3524	388																背包															
3527	82	62															阅读·抄书材料	洛阳城·书籍														
3528	80																生活技艺·铸造材料	洛阳城·配方 														
