ID	Activity	ParentID1	ParentID2	ParentID3	ParentID4	ParentID5	StartTimeRule	Cycle	Duration	ShowUI	ServerScript	CenterScript	IsSyncState
0	空活动（默认）	0	0	0	0	0		0	60	0			
14	公共任务日常						Calendar:Solar;Year:2001;Month:1;MDay:*;WDay:*;Hour:7;Minute:0;	0	86340	1			
16	战场-神农洇	70					Calendar:Solar;Year:*;Month:*;MDay:*;WDay:1-5;Hour:12;Minute:0;	0	46740	1			
17	七夕活动						Calendar:Solar;Year:2023;Month:8;MDay:21;WDay:*;Hour:7;Minute:0;		1209599	1	scripts/Activity/七夕活动/七夕节开始结束处理.lua		0
18	战场-神农洇	70					Calendar:Solar;Year:*;Month:*;MDay:*;WDay:6,7;Hour:12;Minute:0;	0	46740	1			
27	战场-九宫棋谷	71					Calendar:Solar;Year:*;Month:*;MDay:*;WDay:1-5;Hour:12;Minute:0;	0	46740	1			
28	战场-九宫棋谷	71					Calendar:Solar;Year:*;Month:*;MDay:*;WDay:6,7;Hour:12;Minute:0;	0	46740	1			
29	秘境日常						Calendar:Solar;Year:2001;Month:1;MDay:1;WDay:*;Hour:0;Minute:0;	604800	604799	1			
30	野外地图首领						Calendar:Solar;Year:2004;Month:8;MDay:6;WDay:*;Hour:7;Minute:0;	259200	61140				
31	战场-云湖天池	72					Calendar:Solar;Year:*;Month:*;MDay:*;WDay:1-5;Hour:12;Minute:0;	0	46740	1			
32	冬至活动						Calendar:Solar;Year:2022;Month:12;MDay:22;WDay:*;Hour:7;Minute:0;		1209599	1	scripts\Activity\Dongzhihuodong.lua		
33	春节活动						Calendar:Solar;Year:2023;Month:1;MDay:9;WDay:*;Hour:7;Minute:0;		2419199	1	scripts/Activity/Chunjiehuodong.lua		
34	端午节活动						Calendar:Solar;Year:2023;Month:6;MDay:19;WDay:*;Hour:7;Minute:0;		1209599	1	scripts/Activity/端午节活动/端午节开始结束处理.lua		
35	科举-省试						Calendar:Solar;Year:*;Month:*;MDay:*;WDay:1;Hour:0;Minute:0;		604799		scripts/Activity/科举/省考.lua		
36	科举-会试						Calendar:Solar;Year:*;Month:*;MDay:*;WDay:6;Hour:20;Minute:0;	0	100740		scripts/Activity/科举/会考通知.lua		
37	科举-放榜						Calendar:Solar;Year:*;Month:*;MDay:*;WDay:1;Hour:7;Minute:0;	0	61200	1			
41	阵营攻防战（旧版弃用）						Calendar:Solar;Year:*;Month:*;MDay:*;WDay:6,7;Hour:13,19;Minute:0;		7200				
42	中秋活动						Calendar:Solar;Year:2023;Month:9;MDay:28;WDay:*;Hour:7;Minute:0;		1209599	1	scripts/Activity/中秋活动/中秋活动.lua	center_scripts/Activity/中秋活动.lua	
43	六一儿童节活动						Calendar:Solar;Year:2023;Month:6;MDay:1;WDay:*;Hour:7;Minute:0;		1814399	1	scripts\Activity\儿童节活动\儿童节开始结束处理.lua		0
44	战场-云湖天池	72					Calendar:Solar;Year:*;Month:*;MDay:*;WDay:6,7;Hour:12;Minute:0;	0	46740	1			
45	逐鹿赛隐藏父活动						Calendar:Solar;Year:*;Month:*;MDay:1-7;WDay:1;Hour:20;Minute:30;	0	266400				
46	帮会擂台逐鹿赛	45						86400	7200		scripts\Activity\帮会擂台赛\每日子活动开始.lua		
49	争霸赛隐藏父活动	0	0	0	0	0	Calendar:Solar;Year:*;Month:*;MDay:8-14;WDay:1;Hour:20;Minute:30;	0	266400	0			
50	帮会擂台争霸赛	49	0	0	0	0		86400	7200		scripts\Activity\帮会擂台赛\每日子活动开始.lua		
51	帮会擂台人气投票		0	0	0	0	Calendar:Solar;Year:*;Month:*;MDay:11-17;WDay:4;Hour:22;Minute:30;	0	696600			center_scripts\PersonalTongGame\begin_toupiao.lua	
52	下月帮会擂台报名		0	0	0	0	Calendar:Solar;Year:*;Month:*;MDay:15-21;WDay:1;Hour:7;Minute:20;	0	604800			center_scripts\PersonalTongGame\begin_toupiao.lua	
53	下月逐鹿帖争夺赛		0	0	0	0	Calendar:Solar;Year:2001;Month:1;MDay:1;WDay:1;Hour:7;Minute:20;	0	604800	0	scripts\Activity\帮会擂台赛\每日子活动开始.lua		
54	帮会擂台决赛隐藏父活动		0	0	0	0	Calendar:Solar;Year:*;Month:*;MDay:22-28;WDay:1;Hour:20;Minute:30;	0	266400	0		center_scripts\PersonalTongGame\juesaifengzu.lua	
55	帮会擂台决赛	54	0	0	0	0		86400	7200		scripts\Activity\帮会擂台赛\每日子活动开始.lua		
56	帮会擂台总决赛	64	0	0	0	0	Calendar:Solar;Year:*;Month:*;MDay:*;WDay:5;Hour:20;Minute:30;	0	3600		scripts\Activity\帮会擂台赛\每日子活动开始.lua	center_scripts\PersonalTongGame\juesaifengzu.lua	
58	春节活动抽奖	33						86400	86340		scripts\Activity\Chunjiehuodongchoujiang.lua		
59	清明节活动						Calendar:Solar;Year:2023;Month:4;MDay:3;WDay:*;Hour:7;Minute:0;		1209599	1	scripts/Activity/清明节活动/清明节活动.lua		
61	擂台赛周一清除记录	0	0	0	0	0	Calendar:Solar;Year:*;Month:*;MDay:1-7;WDay:1;Hour:7;Minute:30;	0	259260	0		center_scripts\PersonalTongGame\yusaifengzu.lua	
62	擂台赛系统发票	0	0	0	0	0	Calendar:Solar;Year:2011;Month:3;MDay:28;WDay:*;Hour:7;Minute:0;	0	259260	0	scripts\Activity\帮会擂台赛\专门发票.lua		
63	擂台赛第二周分组	0	0	0	0	0	Calendar:Solar;Year:*;Month:*;MDay:8-14;WDay:1;Hour:7;Minute:30;	0	259260	0		center_scripts\PersonalTongGame\yusaifengzu.lua	
64	总决赛隐藏父活动	0	0	0	0	0	Calendar:Solar;Year:*;Month:*;MDay:22-28;WDay:1;Hour:7;Minute:30;	0	604800	0		center_scripts\PersonalTongGame\juesaifengzu.lua	
69	十大推荐帮会更新	0	0	0	0	0	Calendar:Solar;Year:*;Month:*;MDay:*;WDay:1;Hour:7;Minute:0;		86400	0		center_scripts\TongTopTenUpdate.lua	
70	战场日-神农洇						Calendar:Solar;Year:2019;Month:7;MDay:2;WDay:*;Hour:7;Minute:0;	518400	86400	1			
71	战场日-九宫棋谷						Calendar:Solar;Year:2019;Month:7;MDay:5;WDay:*;Hour:7;Minute:0;	1036800	86400	1			
72	战场日-云湖天池						Calendar:Solar;Year:2019;Month:7;MDay:1;WDay:*;Hour:7;Minute:0;	259200	86400	1			
