ID	ItemTabType	ItemTabIndex	RewardsPrice	CoinPrice	StartTime	EndTime	Discount	DisStartTime	DisEndTime	CanBuyMultiple	CanFreeTryOn	CanPreview	GlobalCounterID	CoolDownID	ForbidPeerPay	ForbidDisCoupon	GameWorldStartDuration	CustomType	IsReal	SecondDiscount	SecondDisStartTime	SecondDisEndTime	SecondDisFatherID	PreOrderID	GameWorldStartInDuration	NoDisCustomType	IsCallScript	VoucherCanUseTypeMask	VoucherCannotUseTypeMask	FullLevelWGBuyCountLimit
0	0	0	-1	-1	-1	-1	100	-1	-1	0	0	1	0		0	0	0	-1	0	100	-1	-1	0		0	-1	0	0	0	-1
1	8	4024	500	9000	-1	-1	50	-1	1699833600	0	0		0				0	1	0	100	-1	-1	0	0	0	-1	0	0	0	-1
2	8	4031	800	15000	-1	-1	50	-1	1699833600	0	0		0				0	1	0	100	-1	-1	0		0	-1	0	0	0	-1
3	8	4036	1500	28000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0		0	-1	0	0	0	-1
4	5	6215	800	15000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0		0	-1	0	0	0	-1
5	5	6218	1800	36000	-1	-1	100	-1	-1	0	0		0				0	-1	0	100	-1	-1	0		0	-1	0	0	0	-1
6	8	7052	1800	36000	-1	-1	50	-1	1699833600	0	0		0				0	0	0	100	-1	-1	0		0	-1	0	0	0	-1
7	8	2019	500	9000	-1	-1	50	-1	1699833600	0	1		0				0	1	0	100	-1	-1	0	0	0	-1	0	0	0	-1
8	8	2021	500	9000	-1	-1	50	-1	1699833600	0	0		0				0	1	0	100	-1	-1	0		0	-1	0	0	0	-1
9	8	2018	800	15000	-1	-1	50	-1	1699833600	0	0		0				0	1	0	100	-1	-1	0		0	-1	0	0	0	-1
10	8	2020	800	15000	-1	-1	50	-1	1699833600	0	0		0				0	1	0	100	-1	-1	0		0	-1	0	0	0	-1
11	8	17615	300	6000	-1	-1	50	-1	1699833600	0	0		0				0	2	0	100	-1	-1	0		0	-1	0	0	0	-1
12	8	17614	300	6000	-1	-1	50	-1	1699833600	0	0		0				0	2	0	100	-1	-1	0		0	-1	0	0	0	-1
13	8	17613	300	6000	-1	-1	50	-1	1699833600	0	0		0				0	2	0	100	-1	-1	0		0	-1	0	0	0	-1
14	8	17616	800	15000	-1	-1	50	-1	1699833600	0	0		0				0	2	0	100	-1	-1	0		0	-1	0	0	0	-1
15	8	17580	800	15000	-1	-1	50	-1	1699833600	0	0		0				0	2	0	100	-1	-1	0		0	-1	0	0	0	-1
16	8	552	1500	28000	-1	-1	50	-1	1699833600	0	0		0				0	2	0	100	-1	-1	0		0	-1	0	0	0	-1
17	8	7055	1500	28000	-1	-1	50	-1	1699833600	0	0		0				0	0	0	100	-1	-1	0		0	-1	0	0	0	-1
18	8	7059	1500	28000	-1	-1	50	-1	1699833600	0	0		0				0	0	0	100	-1	-1	0		0	-1	0	0	0	-1
19	8	2624	500	9000	-1	-1	50	-1	1699833600	0	0		0				0	1	0	100	-1	-1	0	0	0	-1	0	0	0	-1
20	8	2625	500	9000	-1	-1	50	-1	1699833600	0	1		0				0	1	0	100	-1	-1	0		0	-1	0	0	0	-1
21	8	2626	500	9000	-1	-1	50	-1	1699833600	0	0		0				0	1	0	100	-1	-1	0		0	-1	0	0	0	-1
22	8	2627	500	9000	-1	-1	50	-1	1699833600	0	0		0				0	1	0	100	-1	-1	0		0	-1	0	0	0	-1
