CityID	MapID	X	Y	Z	Name
1	2	48061	47973	1160988	三星望月
2	2	44294	56143	1136774	聋哑村
3	2	85459	73133	1169674	凌云梯
4	2	78401	53718	1103839	落星湖
5	2	40199	18318	1081882	天工坊
6	2	19148	63354	1110365	仙迹岩
7	2	31676	34436	1115177	水月宫
8	2	66283	18868	1101316	生死树
9	5	7736	14150	1048692	齐华村
10	5	44371	32952	1122409	山门
11	5	32044	53035	1127284	伙房
12	5	27736	83510	1166028	灵霄峡
13	5	55374	45816	1122685	达摩院
14	5	59010	21238	1124715	俞村
15	5	84534	50197	1171456	藏经阁
16	6	64444	46070	1052352	扬州城
17	6	48617	32470	1049024	再来镇
18	6	81390	14413	1049600	东漓寨
19	6	39894	57256	1047770	紫薇岗
20	6	31780	34128	1059807	野猪林
21	6	38835	13547	1056203	虎剑岭
22	6	59490	14314	1053817	龙剑岭
23	7	25303	17137	1164232	太极广场
24	7	26764	49016	1174654	莲花峰
25	7	6663	32497	1201503	九老洞
26	7	47001	74440	1206869	论剑峰
27	7	33191	81914	1224584	坐忘峰
28	7	13262	81122	1226448	火石洞
29	7	56175	89251	1243200	论剑台
30	7	46116	27707	1153872	老君宫
31	7	68923	35397	1150006	灵犀谷道
32	7	61893	13985	1176958	落雁峰
33	7	81810	57022	1164967	空雾峰
34	7	70124	57136	1163892	紫霄宫
35	8	34068	68031	1058005	洛阳城
36	8	53864	23995	1085975	风雨镇
37	8	76286	20273	1093927	蝉鸣林
38	8	56025	40778	1073861	龙飞大营
39	8	77611	66539	1091264	听泉私塾
40	8	79411	89261	1080436	武牢关
41	8	36875	44151	1083267	溪北矿山
42	9	28796	66778	1128763	红衣教圣殿
43	9	19521	32713	1063243	江津村
44	9	58633	77211	1066514	竹林木屋
45	9	24015	12158	1062751	长守村外
46	9	36377	47759	1066448	绝谷
47	9	15867	56733	1093440	升仙谷
48	9	49411	10497	1073518	李渡城外
49	10	12441	34110	1049280	寇岛码头
50	10	13712	77496	1055481	日轮山城
51	10	28707	51976	1057280	尾名滨
52	10	42981	23833	1054124	清水岛
53	10	40207	63687	1090824	星野神社
54	10	40945	37989	1055266	留萌滨
55	10	46425	81745	1055004	细樽湾
56	11	60340	8951	1055895	天策府
57	11	30594	22293	1053755	羽猎营
58	11	28167	45996	1061512	隐士居
59	11	44949	47794	1059272	飞马营
60	11	52019	56870	1062531	飞马营分营
61	11	21988	57576	1078935	药师观
62	11	83565	26154	1066233	天策大营
63	12	79066	46746	1085499	平顶村
64	12	8337	37175	1088146	午阳岗
65	12	50783	25169	1089856	枫林深处
66	12	19830	14726	1105078	神策南营
67	12	16984	49968	1088049	紫源山
68	12	40774	44585	1091090	沁枫谷
69	12	65658	38946	1068793	枫叶泽
70	12	65764	9504	1107874	乱葬岗
71	13	76921	16744	1061855	贡橘林
72	13	63997	63200	1056249	金水镇
73	13	12999	61578	1057416	天龙寨
74	13	6909	21667	1081408	曲亭山
75	13	23795	35479	1058445	古罗岛
76	13	75687	41729	1066696	浩气盟营地
77	13	35877	69509	1066632	垂香林
78	15	40681	92230	1067579	长安城
79	15	28646	44825	1068869	红衣教营地
80	15	5212	22200	1081096	骆宾王墓
81	15	31369	69801	1075679	武德营
82	15	45499	21747	1072602	凤翔赌庄
83	15	73592	20991	1060048	抚琴台
84	15	70825	48435	1092892	烈焰庄
85	16	21809	10732	1056897	秀坊码头
86	16	23245	34051	1057356	听香坊
87	16	14550	48060	1055876	绿杨湾
88	16	26846	69538	1057491	桃花村
89	16	61153	71011	1067537	浣花溪
90	16	84011	78853	1059711	燕子坞
91	16	65261	49820	1057601	内坊后门
92	16	82637	52334	1062053	甲鱼村
93	16	60097	19851	1058427	灵龟坞
94	16	61189	48046	1057569	内坊码头
95	16	31424	34141	1056907	仙乐码头
96	16	58360	18173	1056576	灵龟岛
97	21	75033	48493	1079007	白首山
98	21	44780	43487	1065434	巴陵镇
99	21	58093	32533	1063063	鹏香村
100	21	19395	37696	1057922	潇湘岛
101	21	6367	8323	1060800	桃丘
102	21	64830	18033	1060017	通天泽
103	21	31666	57779	1072269	招魂岗外
104	22	89705	73176	1126728	倌塘驿站
105	22	79602	30256	1089288	凛风峡
106	23	86224	7382	1061399	龙门峡谷
107	23	28505	26241	1059833	楼兰古城外
108	23	38780	40679	1054651	龙门客栈
109	23	69306	55488	1059536	血衣魔鬼城外
110	23	11966	73805	1054600	玉门关
111	23	12677	41244	1059572	银沙石林
112	23	44476	88012	1059136	孔雀海
113	30	56541	4810	1059075	长乐
114	30	54715	71059	1130463	昆仑山下
115	35	92767	105667	1154788	孤山集
116	35	73172	65165	1174746	白帝城
117	35	100067	113032	1124424	戏龙滩
118	35	52704	42405	1127273	江流集
119	35	25698	114201	1256604	金汤寨
120	35	71146	29010	1189246	鱼木寨
121	35	105760	64624	1200192	清风寨
122	49	64340	61084	1119097	大门
123	49	65283	28149	1122420	名剑大会
124	49	48403	27853	1132736	虎跑庄
125	49	43737	42960	1128661	龙井茶园
126	49	37011	64840	1120090	满龙西村
127	49	25317	61145	1134539	灵隐寺
128	49	62056	76555	1117643	山庄侧门
129	49	44874	82296	1138104	剑冢
130	100	11429	14763	1105145	流云寺
131	100	72796	28367	1106978	归雨寨
132	100	41734	114846	1127816	龙隐村
133	100	54132	55893	1120740	卧龙丘
134	100	112030	54459	1055824	龙缘山
135	100	101096	80856	1055532	迷津渡
136	100	103860	50872	1049088	盘龙谷
137	101	27373	119191	1059177	无量宫
138	101	45923	121486	1058317	归林泽
139	101	9119	78083	1058880	观澜亭
140	101	21865	65158	1059316	天下第一楼
141	101	65963	35796	1058358	澜沧江畔
142	101	91465	45826	1059669	花山节
143	101	118362	67544	1098949	神木谷
144	102	25237	61204	1059863	树村驿站
145	102	26725	46223	1065874	药谷前营
146	102	32072	13193	1057032	无心岭
147	102	41202	80382	1058199	树村码头
148	102	107166	87409	1057196	溪山渡口
149	102	106139	42694	1056684	幽魂草泽
150	102	69532	65723	1063493	祈圣岭
151	103	71365	104928	1191959	望乡坪
152	103	36170	95338	1117868	补天石
153	103	54674	38161	1223836	出云岭
154	103	44177	15276	1183900	浩气盟据点
155	103	27549	17348	1190700	恶人谷据点
156	103	98063	40427	1181064	断肠丘
157	103	120969	81049	1184259	祝融岭
158	104	30111	14019	1136110	金盆岭轩辕社营地
159	104	13316	14659	1128297	苗人村
160	104	47844	5996	1166820	仰天岭轩辕社营地
161	104	59956	58403	1093415	龙心泽驿站
162	104	24500	70260	1110403	五仙岭轩辕社营地
163	104	90548	62298	1117059	祭仙坛轩辕社营地
164	104	112462	81405	1062567	乌路泽轩辕社营地
165	104	49595	118460	1068091	绝迹泽轩辕社营地
166	104	77918	28669	1096773	护法营轩辕社营地
167	105	64672	113298	1075445	洱月村西
168	105	76930	102350	1092966	洱月村东
169	105	64106	23935	1067241	风城西
170	105	89278	31238	1120801	风城东
171	105	23261	13722	1141424	山巅牧场
172	105	49970	47121	1055359	码头
173	105	22462	68699	1154306	大理山城
174	108	73846	65860	1075356	广都镇
175	108	65493	11244	1061753	锦枫村
176	108	21330	98772	1121959	落雪峰
177	108	28082	58715	1094075	巫蛊丘
178	108	89371	46202	1066724	蜀军大营
179	108	96693	126329	1121155	莫家堡
180	108	60006	91789	1091392	成都城
181	122	77511	56407	1065920	三岔口
182	122	64986	47407	1081905	欧冶子别院
183	122	58194	14432	1072520	唐门至苍山洱海小路
184	122	105845	77927	1092688	唐家集
185	122	108596	111641	1089480	黑山谷
186	122	71485	78049	1076959	唐家堡
187	122	41440	59416	1091771	饮露峡
188	122	30870	47822	1107592	问道坡
189	139	86262	52516	1098130	平顶村
190	139	69057	30790	1080881	红叶湖
191	139	59683	42846	1066268	枫叶泽
192	139	20880	12827	1106471	玄风营
193	139	18772	48055	1075674	紫源泽
194	139	8430	37912	1087844	午阳岗
195	150	15737	9354	1108114	明教入口
196	150	26948	25008	1093760	遥远绿洲
197	150	61841	67100	1164229	明教圣殿外
198	150	37169	91541	1149768	三生树
199	150	84952	88344	1139664	死亡之海
200	150	103434	24351	1144392	胡杨林
201	150	56622	45235	1130473	三择路
202	150	53136	102055	1068475	往生涧
203	151	11264	57310	1054943	牢营
204	151	33528	66960	1057913	城门
205	151	38909	43136	1084475	矿山
206	151	55934	23782	1086636	风雨镇
207	151	72953	7753	1096732	豹隐洞
208	151	76337	50866	1123326	辎重营
209	151	74380	70529	1093087	曹雪阳据点
210	153	112097	29690	1221189	官驿
211	153	96334	17843	1243840	南河村
212	153	80051	41304	1231757	便桥北
213	153	84722	45586	1226263	望咸宫
214	153	86702	60352	1247578	茂陵村
215	153	49507	41339	1219198	黄山宫
216	153	46495	60175	1249201	扶风郡
217	153	28463	68723	1278820	羽林营
218	153	44654	77508	1273316	马嵬村
219	153	64707	77608	1252324	清梵寺
220	153	20022	110567	1377237	一线天
221	156	44713	66585	1068537	茶馆
222	156	47642	76365	1067779	公共任务区
223	156	31492	70220	1074507	武德营
224	156	34905	50995	1070032	红衣营地
225	156	17093	36372	1070994	无忌营
226	156	11437	10356	1070283	骆宾王墓
227	156	46340	21467	1071644	凤翔义庄
228	156	59482	52700	1072039	烈焰庄
229	156	67620	69390	1069832	流民巷
230	156	47473	37403	1068419	天都镇
231	158	18976	70183	1085806	药师观
232	158	58840	23581	1065122	天策府
233	158	81103	14348	1059858	天策大营
234	158	27689	21687	1054600	羽猎营
235	158	58524	68771	1078690	神策战俘营
236	158	69727	50424	1057570	迷失营地
237	158	80468	33200	1065823	天策大营中部
238	5	27502	82386	1168149	lingxiaoxia
239	2	37936	17776	1091064	tiangongfang
240	16	31603	34215	1067979	wuyandao
241	7	80579	57535	1169586	kongwufeng
242	11	55224	70315	1071391	sancaizhen
243	12	44000	10715	1131192	dihuagong
244	10	13996	77474	1050560	rilunshancheng
245	8	58115	77078	1114296	战宝
246	22	81849	30423	1084672	天子峰  
247	49	37927	93684	1128192	藏剑剑冢
248	5	22314	74791	1175323	持国天王殿
249	10	14012	77630	1061522	宫中神武
250	12	44000	10715	1131192	荻花圣殿后山
251	12	39485	12894	1123345	荻花圣殿
252	104	15418	47771	1133740	毒神殿
253	100	123307	60350	1108062	法王窟
254	101	11277	119808	1071605	无量宫
255	108	124812	10979	1055080	龙源泽
256	103	128004	83670	1177688	寂灭厅
257	102	51708	69875	1051520	仙踪林
258	12	44000	10715	1131192	普通荻花洞窟
259	122	72798	111188	1078088	低级唐门密室
260	122	72798	111188	1078088	唐门密室
261	12	44000	10715	1131192	英雄荻花洞窟
262	104	25474	54096	1119304	烛龙殿25
263	104	18256	56264	1130312	烛龙殿10
264	105	120789	83355	1181576	南诏10
265	150	62983	92794	1054792	80明教密道
266	150	62983	92794	1054792	25明教密道
