Group1	Group2	Group3	Group4	Group5	Group6	Group7	Group8	Group9	Group10	Group11	Group12	Group13	Group14	Group15	Group16	Group17	Group18	Group19	Group20	Group21	Group22	Group23	Group24	Group25	Group26	Group27	Group28	Group29	Group30	Group31	Group32	Group33	Group34	Group35	Group36	Group37	Group38
1	1	1	1	6	25	9	13	21	22	23	35	27	104	103	105	139	153	108	2	5	100	101	30	49	102	122	150	159	8	15	158	214	10	12	7	243	239
1	1	1	1	11	16	151	156	172	152	193	194	197	215	216	213	217		280								278											411
1	1	1	1	269	276		279		268							281																					
1	1	1	1																																		
1	1	1	1																																		
1	1	1	1																																		
1	1	1	1																																		
1	1	1	1																																		
1	1	1	1																																		
1	1	1	1																																		
1	1	1	1																																		
1	1	1	1																																		
1	1	1	1																																		
1	1	1	1																																		
1	1	1	1																																		
1	1	1	1																																		
	265	266	267																																		
