ID	TriggerVal	ShiftID	ShiftType	Point	Exp	Note	Prefix	Postfix	IsSplendid	AnnounceType
0									0	0
1	1			20		年轻力壮			0	0
2	1			20	1000	初涉江湖			0	0
3	1			20	1600	已有小成			0	0
4	1			25	2800	心神领会			0	0
5	1			25	3700	豁然贯通			0	0
6	1			30	5600	出类拔萃			0	0
7	1			30	6900	纵横江湖			0	0
8	40			15		好学爱问			0	0
9	1			15	800	驰骋天涯			0	0
10	1			15	800	伯乐			0	0
11	1			15		传音入密			0	0
12	1			15		大狮子吼			0	0
13	1			15		千里传音			0	0
14	1			15		包裹：六格集齐			0	0
15	1			20		包裹：八格集齐			0	0
16	1			20		包裹：十格集齐			0	0
17	1			25		包裹：十二格集齐			0	0
18	1			25		包裹：十四格集齐			0	0
19	1			30		包裹：十六格集齐			0	0
20	1			35		包裹：十八格集齐			0	0
21	1			40		包裹：二十格集齐	8		0	0
22	1			15		携书弹剑			0	0
23	1			15		药王之路			0	0
24	1			15		融金			0	0
25	-1		0	15	500	解牛			0	0
26	1			15		剑胆琴心			0	0
27	25			15		黯然销魂			0	0
28	1			15	100	江湖相逢			0	0
29	1			20	700	相见恨晚			0	0
30	1			25	2000	策马同游			0	0
31	1			25	2800	肝胆相照			0	0
32	1			25	3700	莫逆之交	32		0	0
33	1			30	5600	生死不离		67	0	0
34	1			35	8100	神雕侠侣			0	0
35	1			25	5800	技可防身			0	0
36	1	68	2	25	5800	学成！龙吟			0	0
37	1	68	2	25	5800	学成！战八方			0	0
38	1	68	2	25	5800	学成！灭			0	0
39	1			25	5800	学成！破风			0	0
40	1			25	5800	学成！裂苍穹			0	0
41	1	68	2	25	5800	学成！突			0	0
42	1			25	5800	学成！啸如虎	43		0	0
43	1	69	2	25	5800	学成！钟林毓秀			0	0
44	1	69	2	25	5800	学成！玉石俱焚			0	0
45	1			25	5800	学成！浮花浪蕊			0	0
46	1	69	2	25	5800	学成！商阳指			0	0
47	1	69	2	25	5800	学成！握针			0	0
48	1	69	2	25	5800	学成！锋针	41		0	0
49	1	70	2	25	5800	学成！鹊踏枝			0	0
50	1	70	2	25	5800	学成！剑气长江			0	0
51	1	70	2	25	5800	学成！繁音急节			0	0
52	1			25	5800	学成！心鼓弦	42		0	0
53	1	70	2	25	5800	学成！风袖低昂			0	0
54	1	70	2	25	5800	学成！回雪飘摇			0	0
55	1	71	2	25	5800	学成！无相诀			0	0
56	1	71	2	25	5800	学成！拿云式			0	0
57	1			25	5800	学成！金刚怒目			0	0
58	1			30	6900	学成！轮回诀	44		0	0
59	1			25	5800	学成！灵山施雨			0	0
60	1			25	5800	学成！袖纳乾坤			0	0
61	1			25	5800	学成！碎星辰			0	0
62	1	72	2	25	5800	学成！无我无剑			0	0
63	1	72	2	25	5800	学成！人剑合一			0	0
64	1			25	5800	学成！破苍穹			0	0
65	1	72	2	25	5800	学成！两仪化形			0	0
66	1	72	2	25	5800	学成！四象轮回			0	0
67	1			25	5800	陆地飞腾	40		0	0
68	4			35	8100	高手！天策	51		0	0
69	6			35	8100	高手！万花	50		0	0
70	6			35	8100	高手！七秀	47		0	0
71	6			35	8100	高手！少林	52		0	0
72	6			35	8100	高手！纯阳	49		0	0
73	1			20	2200	跳很高		63	0	0
74	1			25	5800	跳更高	48		0	0
75	1	91	2	20	1000	凌烟阁顶的风光			0	0
76	1	91	2	20	1000	摘星楼顶的景色			0	0
77	1	91	2	20	1000	忆盈楼顶的秀丽			0	0
78	1	91	2	20	1000	两仪门顶的险峻			0	0
79	1	91	2	20	1000	藏经阁顶的风景			0	0
80	1	91	2	20	2200	李渡城门顶的疮痍			0	0
81	1	91	2	20	3000	大象头的望远			0	0
82	1	91	2	20	600	七凤楼楼顶的奢靡			0	0
83	1	91	2	20	1600	东漓寨塔顶的远方			0	0
84	1	91	2	20	1600	长蛇谷的风光			0	0
85	1	91	2	20	3000	塔楼顶的大漠			0	0
86	1	91	2	25	4700	睥睨红衣			0	0
87	1	91	2	25	4700	高处不胜寒			0	0
88	1	91	2	25	4700	恶人谷的戾气			0	0
89	1	91	2	25	4700	浩气盟的正气			0	0
90	1			30	6900	嚣张跋扈			0	0
91	15			30	6900	飞檐走壁		69	0	0
92	-1			30	4500	六重忘我			0	0
93	-1			20	1600	二重略懂			0	0
94	-1			25	2800	三重巧熟			0	0
95	-1			30	4500	四重精妙			0	0
96	-1			30	4500	五重游刃			0	0
97	-1			35	8100	江湖情谊			0	0
98	-1			40	9200	义薄云天			0	0
99	1			25	2000	小周天			0	0
100	1			30	3400	大周天			0	0
101	1			30	4500	神功初成			0	0
102	1			35	6600	气聚丹田			0	0
103	1			40	9200	内息澎湃		36	0	0
104	1			15	500	凌波微步			0	0
105	1			15	800	懒惰成性			0	0
106	1	107	1	15	800	无妄之灾			0	0
107	10	716	1	20	1900	祸从天降			0	0
108	1			15	800	走火入魔			0	0
109	1			15	800	通穴！任脉			0	0
110	1			15	800	通穴！冲脉			0	0
111	1			15	800	通穴！督脉			0	0
112	1			15	800	通穴！带脉			0	0
113	1			35	8100	无碍！任脉	55		0	0
114	1			35	8100	无碍！冲脉	57		0	0
115	1			35	8100	无碍！督脉	56		0	0
116	1			35	8100	无碍！带脉	58		0	0
117	1			40	9200	畅通！龙玄			0	0
118	1			40	9200	畅通！睛中			0	0
119	1			40	9200	畅通！抬肩			0	0
120	1			40	9200	畅通！极泉			0	0
121	1			40	9200	畅通！崇骨			0	0
122	1			40	9200	畅通！下极俞			0	0
123	1			40	9200	畅通！曲泉			0	0
124	1			40	9200	畅通！腰眼			0	0
125	1			40	9200	畅通！合阳			0	0
126	1			40	9200	畅通！气端			0	0
127	11			50	11500	震古烁今	                                                                  	107	0	0
128	1	129	1	25	5800	好人			0	0
129	10	130	1	30	6900	乐善好施			0	0
130	100			35	8100	桃李满天下		5	0	0
131	1			20	3000	肆无忌惮			0	0
132	1			25	5800	横行江湖			0	0
133	1			15	600	曜武！天策			0	0
135	1			15	600	半夏！万花			0	0
136	1	3045	2	30	6900	五百分！三国古战场			0	0
137	1			15	600	轻罗！七秀			0	0
138	1	142	1	15		齿间留香润心滋！一			0	0
139	1			15	600	皈依！少林			0	0
140	1	3007	1	15		一水清幽莲打坐！一			0	0
141	1			15	600	清虚！纯阳			0	0
142	20			25		齿间留香润心滋！二十			0	0
143	1			30	6900	踏炎乌骓！25人烛龙殿			0	0
144	1	3045	2	25	5800	不死！三国古战场			0	0
145	1					待用			0	0
146	20			25		勤修不辍！二十			0	0
147	1	146	1	15		勤修不辍！一			0	0
148	1			15		鸟语花香惹蜂螫			0	0
149	1			25	5800	浩气蓝衫！天玑			0	0
150	1			25	5800	不羁白袍！星野			0	0
151	1			25	3700	小有名气			0	0
152	1			40	9200	声名显赫			0	3
153	1	154	1	20	3000	百变！初			0	0
154	5	155	1	40	3000	百变！五			0	0
155	10	2597	1	40	5800	百变！十			0	3
156	1			25		游历瞿塘采仙草！疾			0	0
157	1			20		游历瞿塘采仙草！快			0	0
158	1			15		游历瞿塘采仙草！速			0	0
159	20			25		游历瞿塘采仙草！二十			0	0
160	10	159	1	20		游历瞿塘采仙草！十			0	0
161	1	160	1	15		游历瞿塘采仙草！一			0	0
162	1			20		清幽雅淡寻壶乐			0	0
163	1			20		七窍返心满园影			0	0
164	1			25		繁花似锦无限春			0	0
165	1			15		身受重伤			0	0
166	1			15		就地调息			0	0
167	1			15		回营疗伤			0	0
