Group1	Group2	Group3	Group4	Group5	Group6	Group7	Group8	Group9	Group10	Group11	Group12	Group13	Group14	Group15	Group16	Group17	Group18	Group19	Group20	Group21	Group22	Group23	Group24	Group25	Group26	Group27	Group28	Group29	Group30	Group31	Group32	Group33	Group34	Group35	Group36	Group37	Group38	Group39	Group40	Group41	Group42	Group43	Group44	Group45	Group46	Group127	Group128
1	1	1	5	108	9	35	139	153	2	7	214	194	158	217	215	101	16	103	13	21	23	100	6	213	216	104	49	102	122	150	105	152	10	159	172	193	8	197	12	156	15	151	11	239	243	25	22
1	1	1	267		276		279		268							281		280								278																	269			27	30
1	1	1																																													
1	1	1																																													
1	1	1																																													
1	1	1																																													
1	1	1																																													
1	1	1																																													
1	1	1																																													
1	1	1																																													
1	1	266																																													
	265																																														
