ID	MapDrop1	DropType1	MapDrop2	DropType2	MapDrop3	DropType3	MapDrop4	DropType4	MapDrop5	DropType5	MapDrop6	DropType6	MapDrop7	DropType7	MapDrop8	DropType8
1	MapDrop\jinshui_MapDrop.tab	511	MapDrop\read_30_50.tab	2												
2	MapDrop\linxiaoxia_hero_MapDrop.tab	511														
3	MapDrop\NewManTown_gear_MapDrop.tab	2														
4	MapDrop\cangjian_gear_MapDrop.tab	2														
5	MapDrop\chunyang_gear_MapDrop.tab	2														
6	MapDrop\qixiu_gear_MapDrop.tab	2														
7	MapDrop\shaolin_gear_MapDrop.tab	2														
8	MapDrop\tangmen_gear_MapDrop.tab	2														
9	MapDrop\tiance_gear_MapDrop.tab	2														
10	MapDrop\wanhua_gear_MapDrop.tab	2														
11	MapDrop\wudu_gear_MapDrop.tab	2														
12	MapDrop\koudao_Activity_1.tab	2	MapDrop\koudao_Activity_2.tab	2	MapDrop\read_30_50.tab	2										
13	MapDrop\mingjiao_gear_MapDrop.tab	2	MapDrop\mingjiao_read_MapDrop.tab	2												
14	MapDrop\gaibang_gear_MapDrop.tab	2	MapDrop\gaibang_read_MapDrop.tab	2												
15	MapDrop\daoxiangcun_gear_MapDrop.tab	2	MapDrop\daoxiangcun_craft_MapDrop.tab	2	MapDrop\daoxiangcun_other_MapDrop.tab	2	MapDrop\daoxiangcun_force_MapDrop.tab	2								
16	MapDrop\FXDXC_item_MapDrop.tab	2														
17	MapDrop\cangyun_gear_MapDrop.tab	2														
18	MapDrop\taiyuan_kuijiabujian_MapDrop.tab	2	MapDrop\taiyuan_posuidekuijia_MapDrop.tab	2												
19	MapDrop\changge_gear_MapDrop.tab	2														
20	MapDrop\badao_gear_MapDrop.tab	2														
21	MapDrop\read_30_50.tab	2														
22	MapDrop\read_50_70.tab	2														
23	MapDrop\read_70_80.tab	2														
24	MapDrop\read_80_90.tab	2														
25	MapDrop\read_90_95.tab	2														
