Level	Experience	Strength	Agility	Vitality	Spirit	Spunk	MaxLife	MaxMana	MaxStamina	MaxThew	MaxAssistExp	MaxAssistTimes	RunSpeed	JumpSpeed	Height	LifeReplenish	LifeReplenishPercent	LifeReplenishExt	ManaReplenish	ManaReplenishPercent	ManaReplenishExt	HitBase	ParryBaseRate	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	NoneWeaponAttackSpeedBase	MaxPhysicsDefence	WorldChannelDailyLimit	ForceChannelDailyLimit	CampChannelDailyLimit	MaxContribution	WhisperDailyLimit	IdentityChannelDailyLimit	SprintPowerMax	SprintPowerCost	SprintPowerRevive	SprintPowerCostOnWall	SprintPowerCostStandOnWall	SprintPowerCostRunOnWallExtra	HorseSprintPowerMax	HorseSprintPowerCost	HorseSprintPowerRevive	SceneChannelDailyLimit	NearbyChannelDailyLimit	WorldChannelDailyLimitByVIP	WorldChannelDailyLimitBySuperVIP
0	50	1	1	1	1	1	10	10	500	500	100	11	20	160	640	8	0	0	0	0	2	10000	0	0	0	0	0	0	16	768	3	20	0	70000	-1	20	72000	185	45	128	128	200	68000	200	33	500	5000	60	90
1	100	1	1	1	1	1	139	73	500	500	100	11											300								3	20	0	30000	50	20	72600	185	45	128	128	200	68600	200	33	20	200	60	90
2	300	1	2	2	2	1	152	77	500	500	100	11											300								3	20	0	30000	60	20	73200	185	45	128	128	200	69200	200	33	20	200	60	90
3	800	2	2	2	2	2	164	81	500	500	100	11											300								3	20	0	30000	60	20	73800	185	45	128	128	200	69800	200	33	20	200	60	90
4	1500	2	2	3	2	2	177	84	500	500	100	11											300								3	20	0	30000	60	20	74400	185	45	128	128	200	70400	200	33	20	200	60	90
5	3000	2	3	3	3	2	190	88	500	500	100	11											300								3	20	0	30000	60	20	75000	185	45	128	128	200	71000	200	33	20	200	60	90
6	7821	3	3	3	3	3	202	92	500	500	100	11											300								3	20	0	30000	70	20	75600	185	45	128	128	200	71600	200	33	20	200	60	90
7	8592	3	3	4	3	3	215	95	500	500	100	11											300								3	20	0	30000	70	20	76200	185	45	128	128	200	72200	200	33	20	200	60	90
8	9401	3	4	4	4	3	228	99	500	500	100	11											300								3	20	0	30000	70	20	76800	185	45	128	128	200	72800	200	33	20	200	60	90
9	10251	4	4	4	4	4	240	103	500	500	100	11											300								3	20	0	30000	70	20	77400	185	45	128	128	200	73400	200	33	20	200	60	90
10	11143	4	4	5	4	4	253	106	600	600	100	12											300								3	20	0	30000	70	20	78000	185	45	128	128	200	74000	200	33	20	200	60	90
11	12081	4	5	5	5	4	266	110	610	610	100	12											300								3	20	0	30000	80	20	78600	185	45	128	128	200	74600	200	33	20	200	60	90
12	13063	5	5	5	5	5	278	114	610	610	100	12											300								3	20	0	30000	80	20	79200	185	45	128	128	200	75200	200	33	20	200	60	90
13	14094	5	5	6	5	5	291	117	620	620	100	12											300								3	20	0	30000	80	20	79800	185	45	128	128	200	75800	200	33	20	200	60	90
