Name	TabType	ItemIndex	RandSeed	CountLimit	Durability	ReputeLevel	Price	RequireAchievementRecord	RequireLevel	IsValid	CoinType1	CoinAmount1	Contribution	Prestige	AchievementPoint	ItemType1	ItemIndex1	ItemCount1	MentorValue	RequireTitle	Justice	ExamPrint	ArenaAward	ActivityAward	RequireCorpsValue	MaskCorpsNeedToCheck	CanReturn	TongReputation	TongFund	RequireArenaLevel	RequireArenaLevelExcept2v2	Position	nPercentByGameDesign	BeginSellTime
瀚海雄风·囊	CustomTrinket	2249	0	-1	-1	0	4700000			1				6400						14							1					腰部扩展	1	
苍天鹤血·虎怒佩剑	CustomTrinket	5358	0	-1	-1	0	8800000			1				15700						14							1					腰部扩展	1	
攻无不克·刃	CustomTrinket	3875	0	-1	-1	0	8900000			1				15700						14							1					腰部扩展	1	
风涛豪情·昭天令	CustomTrinket	6971	0	-1	-1	0	9900000			1				15700						14							1					腰部扩展	1	
连城赤心·武尊威隆	CustomTrinket	10179	0	-1	-1	0	11900000			1				15700						14							1					腰部扩展	1	
瀚海雄风·弓	CustomTrinket	2248	0	-1	-1	0	13100000			1				6400						14							1					背部扩展	1	
苍天鹤血·虎威八方	CustomTrinket	5356	0	-1	-1	0	24500000			1				39200						14							1					背部扩展	1	
攻无不克·盾	CustomTrinket	3873	0	-1	-1	0	24800000			1				39200						14							1					背部扩展	1	
风涛豪情·昭天之威	CustomTrinket	6969	0	-1	-1	0	27700000			1				39200						14							1					背部扩展	1	
连城赤心·武尊蛟鞘	CustomTrinket	10180	0	-1	-1	0	33100000			1				39200						14							1					背部扩展	1	
血战黄泉·流年	CustomTrinket	11647	0	-1	-1	0	13800000			1				15700						14							1					腰部扩展	1	
血战黄泉·逝水	CustomTrinket	11645	0	-1	-1	0	38300000			1				39200						14							1					背部扩展	1	
覆雨翻云·毕方吞焰	CustomTrinket	19154	0	-1	1	0	113100000			1				64200						14							1					背部扩展	1	
覆雨翻云·银华盏	CustomTrinket	19155	0	-1	1	0	40600000			1				25700						14							1					腰部扩展	1	
赤胆横戈·炎槌炙风	CustomTrinket	12981	0	-1	1	0	40400000			1				50000						14							1					背部扩展	1	
赤胆横戈·索命血牙	CustomTrinket	12983	0	-1	1	0	14500000			1				20000						14							1					腰部扩展	1	
威破赤霄·甲子之拥	CustomTrinket	13652	0	-1	1	0	42400000			1				50000						14							1					背部扩展	1	
威破赤霄·载阴狱符	CustomTrinket	13654	0	-1	1	0	15300000			1				20000						14							1					腰部扩展	1	
烽火八方·金线血河	CustomTrinket	16770	0	-1	1	0	106400000			1				50000						14							1					背部扩展	1	
烽火八方·往生千魂	CustomTrinket	16771	0	-1	1	0	38300000			1				20000						14							1					腰部扩展	1	
桀骜不驯·赤羽旗	CustomTrinket	19436	0	-1	1	0	121400000			1				50000						14							1					背部扩展	1	
桀骜不驯·苍龙鸣月	CustomTrinket	19437	0	-1	1	0	43600000			1				20000						14							1					腰部扩展	1	
九州纵横·破云	CustomTrinket	19692	0	-1	1	0	130500000			1				50000						14							1					背部扩展	1	
九州纵横·骁狼虎齿	CustomTrinket	19693	0	-1	1	0	46900000			1				20000						14							1					腰部扩展	1	
剑鸣八荒·刺秦	CustomTrinket	19819	0	-1	1	0	140500000			1				50000						14							1					背部扩展	1	
剑鸣八荒·慑川	CustomTrinket	19820	0	-1	1	0	50500000			1				20000						14							1					腰部扩展	1	
醉解敌颅·从战	CustomTrinket	19910	0	-1	1	0	140500000			1				64200						14							1					背部扩展	1	
醉解敌颅·飞炎	CustomTrinket	19911	0	-1	1	0	50500000			1				25700						14							1					腰部扩展	1	
血染锋铓·赤霄刃	CustomTrinket	25217	0	-1	1	0	140500000			1				64200						14							1					背部扩展	1	
血染锋铓·彤霞尽	CustomTrinket	25219	0	-1	1	0	50500000			1				25700						14							1					腰部扩展	1	
烈焰离渊·生死决	CustomTrinket	25310	0	-1	1	0	140500000			1				64200						14							1					背部扩展	1	
烈焰离渊·血月	CustomTrinket	25312	0	-1	1	0	50500000			1				25700						14							1					腰部扩展	1	
疾影涂恨·死战	CustomTrinket	25445	0	-1	1	0	140500000			1				64200						14							1					背部扩展	1	
疾影涂恨·不辩	CustomTrinket	25447	0	-1	1	0	50500000			1				25700						14							1					腰部扩展	1	
嗜血九嶷·血海生波	CustomTrinket	25536	0	-1	1	0	140500000			1				64200						14							1					背部扩展	1	
