HeadID	HeadformID	BangID	PlaitID
1	101	0	4
2	101	52	6
3	102	0	5
4	101	0	2
5	132	0	0
6	133	0	0
7	161	0	0
8	162	0	0
9	163	0	0
10	101	0	3
11	164	0	0
12	101	0	5
13	101	0	6
14	101	0	7
15	101	51	2
16	101	52	2
17	101	53	2
18	101	54	2
19	101	55	2
20	101	56	2
21	101	57	2
22	101	58	2
23	101	51	3
24	101	52	3
25	101	53	3
26	101	54	3
27	101	55	3
28	101	56	3
29	101	57	3
30	101	58	3
31	101	51	4
32	101	52	4
33	101	53	4
34	101	54	4
35	101	55	4
36	101	56	4
37	101	57	4
38	101	58	4
39	101	51	5
40	101	52	5
41	101	53	5
42	101	54	5
43	101	55	5
44	101	56	5
45	101	57	5
46	101	58	5
47	101	51	6
48	103	0	0
49	101	53	6
50	101	54	6
51	101	55	6
52	101	56	6
53	101	57	6
54	101	58	6
55	101	51	7
56	101	52	7
57	101	53	7
58	101	54	7
59	101	55	7
60	101	56	7
61	101	57	7
62	101	58	7
63	200	0	0
64	102	0	3
65	102	0	4
66	131	0	0
67	102	0	6
68	102	0	7
69	102	51	2
70	102	52	2
71	102	53	2
72	102	54	2
73	102	55	2
74	102	56	2
75	102	57	2
76	102	58	2
77	102	51	3
78	102	52	3
79	102	53	3
80	102	54	3
81	102	55	3
82	102	56	3
83	102	57	3
84	102	58	3
85	102	51	4
86	102	52	4
87	102	53	4
88	102	54	4
89	102	55	4
90	102	56	4
91	102	57	4
92	102	58	4
93	102	51	5
94	102	52	5
95	102	53	5
96	102	54	5
97	102	55	5
98	102	56	5
99	102	57	5
100	102	58	5
101	102	51	6
102	102	52	6
103	102	53	6
104	102	54	6
105	102	55	6
106	102	56	6
107	102	57	6
108	102	58	6
109	102	51	7
110	102	52	7
111	102	53	7
112	102	54	7
113	102	55	7
114	102	56	7
115	102	57	7
116	102	58	7
117	103	0	2
118	103	0	3
119	103	0	4
120	103	0	5
121	103	0	6
122	103	0	7
123	103	51	2
124	103	52	2
125	103	53	2
126	103	54	2
127	131	51	0
128	131	52	0
129	131	53	0
130	131	54	0
131	103	51	3
132	103	52	3
133	103	53	3
134	103	54	3
135	131	55	0
136	131	56	0
137	131	57	0
138	131	58	0
139	103	51	4
140	103	52	4
141	103	53	4
142	103	54	4
143	132	51	0
144	132	52	0
145	132	53	0
146	132	54	0
147	103	51	5
148	103	52	5
149	103	53	5
150	103	54	5
151	132	55	0
152	132	56	0
153	132	57	0
154	132	58	0
155	103	51	6
156	103	52	6
157	103	53	6
158	103	54	6
159	133	51	0
160	133	52	0
161	133	53	0
162	133	54	0
163	103	51	7
164	103	52	7
165	103	53	7
166	103	54	7
167	133	55	0
168	133	56	0
169	133	57	0
170	133	58	0
171	101	51	0
172	101	52	0
173	101	53	0
174	101	54	0
175	101	55	0
176	101	56	0
177	101	57	0
178	101	58	0
179	102	51	0
180	102	52	0
181	102	53	0
182	102	54	0
183	102	55	0
184	102	56	0
185	102	57	0
186	102	58	0
187	103	51	0
188	103	52	0
189	103	53	0
190	103	54	0
191	102	0	2
192	103	55	0
193	103	56	0
194	103	55	2
195	103	56	2
196	103	55	3
197	103	56	3
198	103	55	4
199	103	56	4
200	103	55	5
201	103	56	5
202	103	55	6
203	103	56	6
204	103	55	7
205	103	56	7
206	201	0	0
207	165	0	0
208	166	0	0
209	167	0	0
210	202	0	0
211	168	0	0
212	169	0	0
213	170	0	0
214	226	0	0
215	203	0	0
217	171	0	0
218	204	0	0
219	205	0	0
220	172	0	0
221	173	0	0
222	174	0	0
223	175	0	0
224	206	0	0
225	176	0	0
226	177	0	0
227	178	0	0
228	179	0	0
229	180	0	0
230	181	0	0
231	182	0	0
232	183	0	0
233	184	0	0
234	185	0	0
235	186	0	0
236	187	0	0
237	207	0	0
238	188	0	0
239	189	0	0
240	190	0	0
241	191	0	0
242	192	0	0
243	193	0	0
244	194	0	0
245	208	0	0
246	209	0	0
247	210	0	0
248	211	0	0
249	212	0	0
250	213	0	0
251	214	0	0
252	215	0	0
253	216	0	0
254	217	0	0
255	218	0	0
256	219	0	0
257	220	0	0
258	221	0	0
259	222	0	0
260	223	0	0
261	224	0	0
262	225	0	0
263	227	0	0
264	228	0	0
265	229	0	0
266	230	0	0
267	231	0	0
268	232	0	0
269	233	0	0
270	234	0	0
271	235	0	0
272	236	0	0
273	237	0	0
274	238	0	0
275	239	0	0
276	240	0	0
277	241	0	0
278	242	0	0
279	243	0	0
280	244	0	0
281	245	0	0
282	246	0	0
283	247	0	0
284	248	0	0
285	249	0	0
286	250	0	0
287	251	0	0
288	252	0	0
289	253	0	0
290	254	0	0
291	255	0	0
292	256	0	0
293	257	0	0
294	258	0	0
295	259	0	0
296	260	0	0
297	261	0	0
298	262	0	0
299	263	0	0
300	264	0	0
301	265	0	0
302	266	0	0
303	267	0	0
304	268	0	0
305	269	0	0
306	270	0	0
307	271	0	0
308	272	0	0
309	273	0	0
310	274	0	0
311	275	0	0
312	276	0	0
313	277	0	0
314	278	0	0
315	279	0	0
316	280	0	0
317	281	0	0
318	282	0	0
319	283	0	0
320	284	0	0
321	285	0	0
322	286	0	0
323	287	0	0
324	288	0	0
325	289	0	0
326	290	0	0
327	291	0	0
328	292	0	0
329	293	0	0
330	294	0	0
331	295	0	0
332	296	0	0
333	297	0	0
334	298	0	0
335	299	0	0
336	300	0	0
337	301	0	0
338	302	0	0
339	303	0	0
340	304	0	0
341	305	0	0
342	306	0	0
343	307	0	0
344	308	0	0
345	309	0	0
346	310	0	0
