RoleType	Type	ID	Price	Coin	StartTime	EndTime	Discount	DisStartTime	DisEndTime	CanFreeTryOn	CustomType	CanDressToNpc
1	0	0	0	4500	-1	-1	90	1677740400	1678086000	0	-1	0
1	0	1	0	4500	1377673200	1381388400	50	1638428400	1639378800			
1	0	2	0	4500	1377673200	1381388400	50	1638428400	1639378800			
1	0	3	0	4500	1377673200	1381388400	50	1638428400	1639378800			
1	0	4	0	4500	1377673200	1381388400	50	1638428400	1639378800			
1	0	5	0	4500	1377673200	1381388400	50	1638428400	1639378800			
1	0	6	0	4500	1377673200	1381388400	50	1638428400	1639378800			
1	0	7	0	4500	1377673200	1381388400	50	1638428400	1639378800			
1	0	8	0	4500	1377673200	1381388400	50	1638428400	1639378800			
1	0	9	0	4500	1377673200	1381388400	50	1638428400	1639378800			
1	0	10	0	4500	1377673200	1381388400	50	1638428400	1639378800			
1	0	11	0	4500	1377673200	1381388400	50	1638428400	1639378800			
1	0	12	0	4500	1377673200	1381388400	50	1638428400	1639378800			
1	0	13	0	4500	1377673200	1381388400	50	1638428400	1639378800			
1	0	14	0	4500	1377673200	1381388400	50	1638428400	1639378800			
1	0	15	0	4500	1377673200	1381388400	50	1638428400	1639378800			
1	0	16	0	4500	1377673200	1381388400	50	1638428400	1639378800			
1	0	17	0	4500	1377673200	1381388400	50	1638428400	1639378800			
1	0	18	0	4500	1377673200	1381388400	50	1638428400	1639378800			
1	0	19	0	4500	1377673200	1381388400	50	1638428400	1639378800			
1	0	20	0	4500	1377673200	1381388400	50	1638428400	1639378800			
1	0	21	0	4500	1377673200	1381388400	50	1638428400	1639378800			
1	0	22	0	4500	1377673200	1381388400	50	1638428400	1639378800			
1	0	23	0	6000	1377673200	1381388400	50	1638428400	1639378800			
1	0	24	0	4500	1377673200	1381388400	50	1638428400	1639378800			
1	0	25	0	4500	1377673200	1381388400	50	1638428400	1639378800			
1	1	1	0	1500								
1	1	2	0	1500								
1	1	3	0	1500								
1	1	4	0	1500								
1	1	5	0	1500								
1	1	6	0	1500								
1	1	7	0	1500								1
1	1	8	0	1500								1
1	1	9	0	1500								
1	1	10	0	1500								
1	1	11	0	1500								
1	1	12	0	1500								
1	1	13	0	1500								
1	1	14	0	1500								
1	1	15	0	1500								
1	1	16	0	1500								
1	1	17	0	1500								
1	1	18	0	1500								
1	1	19	0	1500								
1	1	20	0	1500								
1	1	21	0	1500								
1	1	22	0	1500								
1	1	23	0	1500								
1	1	24	0	1500								
1	1	25	0	1500								
1	1	26	0	1500								
1	1	27	0	1500								
1	1	28	0	1500								
1	1	29	0	1500								
1	1	30	0	1500								
1	1	31	0	1500								
1	1	32	0	1500								
1	1	33	0	1500								
1	1	34	0	1500								
1	1	35	0	1500								
1	1	36	0	1500								
1	1	37	0	1500								
1	1	38	0	1500								
1	1	39	0	1500								
1	1	40	0	1500								
1	1	41	0	1500								
1	1	42	0	1500								
1	1	43	0	1500								
1	1	44	0	1500								
1	1	45	0	1500								
1	1	46	0	1500								
1	1	47	0	1500								
1	1	48	0	1500								
1	1	49	0	1500								
1	1	50	0	1500								
1	1	51	0	1500								
1	1	52	0	1500								
1	1	53	0	1500								
1	1	54	0	1500								
1	1	55	0	1500								
1	1	56	0	1500								
1	1	57	0	1500								
1	1	58	0	1500								
1	1	59	0	1500								
1	1	60	0	1500								
1	1	61	0	1500								
1	1	62	0	1500								
1	1	63	0	8000								
1	1	64	0	1500								
1	1	65	0	1500								
1	1	66	0	1500								
1	1	67	0	1500								
1	1	68	0	1500								
