CraftID	RecipeID	ProfessionID	ProfessionLevel	BranchID	ReputationID	nReputationLevel	nPrice
0	0	0	0	0	0	0	0
5	37	5	32				10120
5	38	5	32				10120
5	39	5	32				10120
5	41	5	34				11400
5	42	5	34				11400
5	45	5	36				12820
5	46	5	36				12820
5	47	5	38				14400
5	58	5	40				16140
5	59	5	40				16140
5	60	5	42				17870
5	61	5	42				17870
5	62	5	44				19890
5	65	5	46				22010
5	66	5	46				22010
5	68	5	48				24350
5	69	5	48				24350
5	70	5	48				24350
5	442	5	30				8900
5	443	5	30				8900
5	444	5	30				8900
5	445	5	30				8900
5	531	5	30	0	0	0	8900
5	532	5	40	0	0	0	16140
