CraftID	RecipeID	ProfessionID	ProfessionLevel	BranchID	ReputationID	nReputationLevel	nPrice
0	0	0	0	0	0	0	0
6	46	6	30				8900
6	50	6	32				10120
6	51	6	32				10120
6	52	6	32				10120
6	53	6	34				11400
6	55	6	34				11400
6	56	6	34				11400
6	58	6	36				12820
6	59	6	36				12820
6	60	6	38				14400
6	61	6	38				14400
6	64	6	40				16140
6	68	6	40				16140
6	71	6	42				17870
6	72	6	42				17870
6	73	6	42				17870
6	76	6	44				19890
6	79	6	46				22010
6	80	6	46				22010
6	82	6	48				24350
6	88	6	50				26930
6	89	6	50				26930
6	252	6	30				8900
6	253	6	50				26930
6	254	6	30				8900
6	255	6	30				8900
6	269	6	30	0			11400
6	313	6	34	0			11400
6	479	6	50	0	0	0	26930
6	480	6	50	0	0	0	26930
6	481	6	50	0	0	0	26930
6	482	6	50	0	0	0	26930
6	483	6	50	0	0	0	26930
6	484	6	50	0	0	0	26930
6	485	6	40	0	0	0	16140
6	486	6	40	0	0	0	16140
6	527	6	50				26930
6	528	6	50				26930
6	529	6	50				26930
6	530	6	50				26930
6	531	6	50				26930
6	532	6	50				26930
6	533	6	40				16140
6	534	6	40				16140
