CraftID	RecipeID	ProfessionID	ProfessionLevel	BranchID	ReputationID	nReputationLevel	nPrice
0	0	0	0	0	0	0	0
6	1	6	10				380
6	3	6	10				380
6	5	6	12				670
6	9	6	12				670
6	12	6	14				1170
6	13	6	14				1170
6	20	6	16				1780
6	21	6	16				1780
6	23	6	20				3020
6	24	6	20				3020
6	26	6	20				3020
6	29	6	22				3890
6	31	6	24				4970
6	35	6	22				4970
6	40	6	26				5790
6	41	6	28				7140
6	268	6	10				380
6	473	6	30	0	0	0	8900
6	474	6	30	0	0	0	8900
6	475	6	30	0	0	0	8900
6	476	6	30	0	0	0	8900
6	477	6	30	0	0	0	8900
6	478	6	30	0	0	0	8900
6	493	6	14	0	0	0	2920
6	521	6	30				8900
6	522	6	30				8900
6	523	6	30				8900
6	524	6	30				8900
6	525	6	30				8900
6	526	6	30				8900
