ID	Name	CostStamina	ProfessionID	RequireLevel	RequireBranchID	RequireDoodad	ToolItemType	ToolItemIndex	EquipmentType	Exp	PrepareFrame	Belong	EnchantID	RequireItemType1	RequireItemIndex1	RequireItemCount1	RequireItemType2	RequireItemIndex2	RequireItemCount2	RequireItemType3	RequireItemIndex3	RequireItemCount3	RequireItemType4	RequireItemIndex4	RequireItemCount4	RequireItemType5	RequireItemIndex5	RequireItemCount5	RequireItemType6	RequireItemIndex6	RequireItemCount6	RequireItemType7	RequireItemIndex7	RequireItemCount7	RequireItemType8	RequireItemIndex8	RequireItemCount8	_Quality	ScriptName
0	Î´ÖªÅä·½	0	0	0	0	0	0	0	-1	0	32		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
81	¶ì»ÆÐå£¨»¤ÊÖ£©	9	5	52	1		5	195		20	80	120	1	5	3299	2	5	3547	1	5	3277	1	5	972	1														
82	¾»°×Ðå£¨»¤ÊÖ£©	9	5	52	1		5	195		20	80	120	18	5	3299	2	5	3544	1	5	3277	1	5	972	1														
83	À¶Ò¶Ðå£¨»¤ÊÖ£©	9	5	52	1		5	195		20	80	120	25	5	3299	2	5	3545	1	5	3277	1	5	972	1														
84	¶ì»ÆÈ¾£¨Ñü´ø£©	9	5	52	2	342				20	80	110	2	5	3300	2	5	3547	1	5	3284	1	5	979	2														
85	¾»°×È¾£¨Ñü´ø£©	9	5	52	2	342				20	80	110	19	5	3300	2	5	3544	1	5	3284	1	5	979	2														
86	À¶Ò¶È¾£¨Ñü´ø£©	9	5	52	2	342				20	80	110	26	5	3300	2	5	3545	1	5	3284	1	5	979	2														
90	åúºìÐå£¨»¤ÊÖ£©	9	5	52	1		5	195		20	80	120	8	5	3299	2	5	3546	1	5	3277	1	5	972	1														
91	ÃººÚÐå£¨»¤ÊÖ£©	9	5	52	1		5	195		20	80	120	13	5	3299	2	5	3548	1	5	3277	1	5	972	1														
92	åúºìÈ¾£¨Ñü´ø£©	9	5	52	2	342				20	80	110	9	5	3300	2	5	3546	1	5	3284	1	5	979	1														
93	ÃººÚÈ¾£¨Ñü´ø£©	9	5	52	2	342				20	80	110	14	5	3300	2	5	3548	1	5	3284	1	5	979	1														
109	ÃººÚÐå£¨Í·²¿£©	9	5	56	1		5	195		20	80	120	15	5	3299	4	5	3548	2	5	3277	5	5	972	1														
110	¾»°×Ðå£¨Í·²¿£©	9	5	56	1		5	195		20	80	120	20	5	3299	4	5	3544	2	5	3277	5	5	972	1														
111	¶ì»ÆÐå£¨Í·²¿£©	9	5	56	1		5	195		20	80	120	3	5	3299	4	5	3547	2	5	3277	5	5	972	1														
112	Ä«»ÒÐå£¨Ð¬×Ó£©	9	5	56	1		5	195		20	80	120	24	5	3299	4	5	3544	2	5	3277	5	5	972	2														
113	åúºìÈ¾£¨ÏÂ×°£©	9	5	56	2	342				20	80	110	10	5	3300	4	5	3546	2	5	3284	5	5	979	1														
114	¾»°×È¾£¨ÏÂ×°£©	9	5	56	2	342				20	80	110	21	5	3300	4	5	3544	2	5	3284	5	5	979	1														
115	¶ì»ÆÈ¾£¨ÏÂ×°£©	9	5	56	2	342				20	80	110	4	5	3300	4	5	3547	2	5	3284	5	5	979	1														
116	Ä«»ÒÈ¾£¨Ð¬×Ó£©	9	5	58	2	342				20	80	110	7	5	3300	4	5	3548	2	5	3284	5	5	979	2														
142	ÐÓ»ÆÐå£¨Ð¬×Ó£©	10	5	62	1		5	195		25	80	120	37	5	1828	3	5	3551	2	5	3549	2	5	3282	5	5	3295	5	5	5006	2								
145	ÐÓ»ÆÈ¾£¨Ð¬×Ó£©	10	5	62	2	342				25	80	110	38	5	3300	3	5	3551	2	5	3549	2	5	3284	5	5	3296	5	5	5007	2								
153	ÐÓ»ÆÐå£¨»¤ÊÖ£©	10	5	64	1		5	195		25	80	120	5	5	3299	4	5	3551	1	5	3282	2	5	3295	5	5	5007	1											
154	Ó¨°×Ðå£¨»¤ÊÖ£©	10	5	64	1		5	195		25	80	120	22	5	3299	4	5	3552	1	5	3282	2	5	3295	5	5	5007	1											
155	µåÀ¶Ðå£¨»¤ÊÖ£©	10	5	64	1		5	195		25	80	120	27	5	3299	4	5	3283	1	5	3282	2	5	3295	5	5	5007	1											
156	éÙºìÐå£¨»¤ÊÖ£©	10	5	64	1		5	195		25	80	120	11	5	3299	4	5	3549	1	5	3282	2	5	3295	5	5	5007	1											
157	ÌúºÚÐå£¨»¤ÊÖ£©	10	5	64	1		5	195		25	80	120	16	5	3299	4	5	3550	1	5	3282	2	5	3295	5	5	5007	1											
158	ÐÓ»ÆÈ¾£¨Ñü´ø£©	10	5	64	2	342				25	80	110	6	5	3300	4	5	3551	1	5	3284	2	5	3296	5	5	5006	1											
159	Ó¨°×È¾£¨Ñü´ø£©	10	5	64	2	342				25	80	110	23	5	3300	4	5	3552	1	5	3284	2	5	3296	5	5	5006	1											
160	µåÀ¶È¾£¨Ñü´ø£©	10	5	64	2	342				25	80	110	28	5	3300	4	5	3283	1	5	3284	2	5	3296	5	5	5006	1											
161	éÙºìÈ¾£¨Ñü´ø£©	10	5	64	2	342				25	80	110	12	5	3300	4	5	3549	1	5	3284	2	5	3296	5	5	5006	1											
162	ÌúºÚÈ¾£¨Ñü´ø£©	10	5	64	2	342				25	80	110	17	5	3300	4	5	3550	1	5	3284	2	5	3296	5	5	5006	1											
173	éÙºìÐå£¨Í·²¿£©	40	5	68	1		5	195		25	80	120	29	5	1828	4	5	3550	2	5	3551	2	5	3277	4	5	5007	1											
175	éÙºìÈ¾£¨ÏÂ×°£©	40	5	68	2	342				25	80	110	30	5	3300	4	5	3551	2	5	3550	2	5	3284	4	5	5006	1											
197	³ÈºìÐå£¨Í·²¿£©	80	5	70	1		5	195		25	80	120	31	5	1828	4	5	3550	2	5	3551	2	5	3277	4	5	5007	1											
199	³ÈºìÈ¾£¨ÏÂ×°£©	80	5	70	2	342				25	80	110	32	5	3326	10	5	3551	2	5	3550	2	5	3284	4	5	5006	1											
201	¼ª»ÆÐå£¨Ð¬×Ó£©	80	5	70	1		5	195		25	80	120	39	5	1828	4	5	3551	2	5	3549	2	5	3282	4	5	3295	5	5	5007	2								
202	¼ª»ÆÈ¾£¨Ð¬×Ó£©	80	5	70	2	342				25	80	110	40	5	3300	4	5	3551	2	5	3549	2	5	3284	4	5	3296	5	5	5006	2								
203	²ØÇàÐå£¨Í·²¿£©	80	5	70	1		5	195		25	80	120	33	5	3299	2	5	3551	2	5	3283	2	5	3277	4	5	5007	1											
204	²ØÇàÈ¾£¨ÏÂ×°£©	80	5	70	2	342				25	80	110	34	5	3300	4	5	3551	2	5	3283	2	5	3284	4	5	5006	1											
220	º£ÌÄÐå£¨Í·²¿£©	100	5	70	1		5	195		25	80	120	35	5	1828	4	5	3551	2	5	3283	4	5	3283	1	5	3282	1	5	1855	1								
221	º£ÌÄÈ¾£¨ÏÂ×°£©	100	5	70	2	342				25	80	110	36	5	3300	4	5	3551	2	5	3283	4	5	3283	1	5	3284	1	5	1855	1								
