CraftID	RecipeID	ProfessionID	ProfessionLevel	BranchID	ReputationID	nReputationLevel	nPrice
0	0	0	0	0	0	0	0
4	120	4	0				10000
4	121	4	0				10000
4	328	4	0				10000
4	329	4	0				10000
4	356	4	0				10000
4	357	4	0				10000
4	358	4	0				10000
4	359	4	0				10000
4	360	4	0				10000
4	361	4	0				10000
4	362	4	0				10000
4	363	4	0				10000
4	371	4	0				10000
4	372	4	0				10000
4	373	4	0				10000
4	374	4	0				10000
4	375	4	0				10000
4	376	4	0				10000
4	377	4	0				10000
4	378	4	0				10000
4	379	4	0				10000
4	380	4	0				10000
4	381	4	0				10000
4	382	4	0				10000
4	383	4	0				10000
4	384	4	0				10000
4	385	4	0				10000
4	386	4	0				10000
4	387	4	0				10000
4	388	4	0				10000
4	389	4	0				10000
4	390	4	0				10000
4	391	4	0				10000
4	392	4	0				10000
4	393	4	0				10000
4	394	4	0				10000
4	395	4	0				10000
4	396	4	0				10000
4	397	4	0				10000
4	398	4	0				10000
4	399	4	0				10000
4	400	4	0				10000
4	401	4	0				10000
4	402	4	0				10000
4	403	4	0				10000
4	404	4	0				10000
4	405	4	0				10000
4	406	4	0				10000
4	407	4	0				10000
4	408	4	0				10000
4	409	4	0				10000
4	410	4	0				10000
4	411	4	0				10000
4	412	4	0				10000
4	413	4	0				10000
4	414	4	0				10000
4	415	4	0				10000
4	416	4	0				10000
