Name	TabType	ItemIndex	RandSeed	CountLimit	Durability	ReputeLevel	Price	RequireAchievementRecord	RequireLevel	IsValid	CoinType1	CoinAmount1	Contribution	Prestige	AchievementPoint	ItemType1	ItemIndex1	ItemCount1	MentorValue	RequireTitle	Justice	ExamPrint	ArenaAward	ActivityAward	Architecture	RequireCorpsValue	MaskCorpsNeedToCheck	CanReturn	TongReputation	TongFund	RequireArenaLevel	RequireArenaLevelExcept2v2	Position
除滞散	Other	40385	0	-1	1	0	100000			1											20							0					
除滞散	Other	40385	0	-1	1	0	100000			1				200														0					
义金兰	Other	6443	0	-1	1	0	200000			1											30							0					
义金兰	Other	6443	0	-1	1	0	200000			1				300														0					
聚义令	Other	6442	0	-1	1	0	500000			1											100							0					
聚义令	Other	6442	0	-1	1	0	500000			1				1000														0					
玄九丸	Other	6237	0	-1	1	0	100000			1											20							0					
鹃啼红	Other	5171	0	-1	1	0	1500000			1																		0					
绿地彩绘鼓	Homeland	246	0	-1	1	0	1790000			1											358				3580			1					背部扩展
唤雨呼风	Homeland	248	0	-1	1	0	4480000			1											897				8960			1					背部扩展
匾额·凌云堂	Homeland	251	0	-1	1	0	420000			1											85				840			1					背部扩展
匾额·山海阁	Homeland	252	0	-1	1	0	420000			1											85				840			1					背部扩展
匾额·忠义堂	Homeland	253	0	-1	1	0	420000			1											85				840			1					背部扩展
匾额·忠烈堂	Homeland	254	0	-1	1	0	420000			1											85				840			1					背部扩展
匾额·海天阁	Homeland	255	0	-1	1	0	420000			1											85				840			1					背部扩展
匾额·聚义堂	Homeland	256	0	-1	1	0	420000			1											85				840			1					背部扩展
匾额·聚贤阁	Homeland	257	0	-1	1	0	420000			1											85				840			1					背部扩展
茶函几·展	Homeland	443	0	-1	1	0	2350000			1						5	40608	45							4700			1					背部扩展
茶函几·展	Homeland	260	0	-1	1	0	1060000			1						5	40608	20							2120			1					背部扩展
江干雪霁屏	Homeland	715	0	-1	1	0	9160000			1						5	40608	182							18320			1					
帮主扶手椅	Homeland	265	0	-1	1	0	640000			1											128				1280			1					背部扩展
羊毛毡	Homeland	269	0	-1	1	0	340000			1											68				680			1					背部扩展
名字待定	Homeland	426	0	-1	1	0	3870000			1											775				7740			1					背部扩展
鳞萃古木柜	Homeland	713	0	-1	1	0	3870000			1											775				7740			1					背部扩展
宁篁垂幔	Homeland	913	0	-1	1	0	6460000			1						5	40608	182							12920			1					
惠方柜	Homeland	914	0	-1	1	0	3870000			1											775				7740			1					
水蓝浪纹床	Homeland	1159	0	-1	1	0	8250000			1						5	40608	165							16500			1					
谜花藏青毡	Homeland	1290	0	-1	1	0	2830000			1						5	40608	566							5660			1					家具
双兔望月灯	Homeland	1420	0	-1	1	0	7950000			1						5	40608	1590							15900			1					
雨花石木架	Homeland	1438	0	-1	1	0	4810000			1						5	40608	962							9620			1					
