Name	TabType	ItemIndex	RandSeed	CountLimit	Durability	ReputeLevel	Price	RequireAchievementRecord	RequireLevel	IsValid	CoinType1	CoinAmount1	Contribution	Prestige	AchievementPoint	ItemType1	ItemIndex1	ItemCount1	MentorValue	RequireTitle	Justice	ExamPrint	ArenaAward	ActivityAward	Architecture	RequireCorpsValue	MaskCorpsNeedToCheck	CanReturn	TongReputation	TongFund	RequireArenaLevel	RequireArenaLevelExcept2v2	Position
≥˝÷Õ…¢	Other	40385	0	-1	1	0	100000			1											20							0					
≥˝÷Õ…¢	Other	40385	0	-1	1	0	100000			1				200														0					
–˛æ≈ÕË	Other	6237	0	-1	1	0	100000			1											20							0					
¬Ãµÿ≤ ªÊπƒ	Homeland	246	0	-1	1	0	1790000			1											358				3580			1					
ªΩ”Í∫Ù∑Á	Homeland	248	0	-1	1	0	4480000			1											897				8960			1					
ÿ“∂Ó°§¡Ë‘∆Ã√	Homeland	251	0	-1	1	0	420000			1											85				840			1					
ÿ“∂Ó°§…Ω∫£∏Û	Homeland	252	0	-1	1	0	420000			1											85				840			1					
ÿ“∂Ó°§÷““ÂÃ√	Homeland	253	0	-1	1	0	420000			1											85				840			1					
ÿ“∂Ó°§÷“¡“Ã√	Homeland	254	0	-1	1	0	420000			1											85				840			1					
ÿ“∂Ó°§∫£ÃÏ∏Û	Homeland	255	0	-1	1	0	420000			1											85				840			1					
ÿ“∂Ó°§æ€“ÂÃ√	Homeland	256	0	-1	1	0	420000			1											85				840			1					
ÿ“∂Ó°§æ€œÕ∏Û	Homeland	257	0	-1	1	0	420000			1											85				840			1					
≤Ë∫Øº∏°§’π	Homeland	443	0	-1	1	0	2350000			1						5	40608	45							4700			1					
≤Ë∫Øº∏°§’π	Homeland	260	0	-1	1	0	1060000			1						5	40608	20							2120			1					
Ω≠∏…—©ˆ´∆¡	Homeland	715	0	-1	1	0	9160000			1						5	40608	182							18320			1					
∞Ô÷˜∑ˆ ÷“Œ	Homeland	265	0	-1	1	0	640000			1											128				1280			1					
—Ú√´’±	Homeland	269	0	-1	1	0	340000			1											68				680			1					
√˚◊÷¥˝∂®	Homeland	426	0	-1	1	0	3870000			1											775				7740			1					
¡€›Õπ≈ƒæπÒ	Homeland	713	0	-1	1	0	3870000			1											775				7740			1					
ƒ˛ÛÚ¥π·£	Homeland	913	0	-1	1	0	6460000			1						5	40608	182							12920			1					
ª›∑ΩπÒ	Homeland	914	0	-1	1	0	3870000			1											775				7740			1					
ÀÆ¿∂¿ÀŒ∆¥≤	Homeland	1159	0	-1	1	0	8250000			1						5	40608	165							16500			1					
√’ª®≤ÿ«‡’±	Homeland	1290	0	-1	1	0	2830000			1						5	40608	566							5660			1					º“æﬂ
À´Õ√Õ˚‘¬µ∆	Homeland	1420	0	-1	1	0	7950000			1						5	40608	1590							15900			1					
”Íª® Øƒæº‹	Homeland	1438	0	-1	1	0	4810000			1						5	40608	962							9620			1					
