ID	Name	TabType	TabIndex	StartPrice	Duration	Probability
0				1	226800	0
1	天魅破煞	8	5349	1000		1701
2	白骨哀	8	5350	1000		1701
3	震日	8	5351	1000		1701
4	挑天	8	5352	2000		1701
5	摄心凌魄	8	5353	2000		1701
6	赤缨无回	8	5354	2000		1701
7	激焰	8	5770	1000		1701
8	九幻黑莲	8	5771	1000		1701
9	夜话·白鹭	8	5772	2000		1701
10	因花生	8	5773	2000		1701
11	号角	8	100	1000		1701
12	腰鼓	8	102	1000		1701
13	木鱼	8	110	1000		1701
14	秋剑	8	358	1000		1701
15	腰刀	8	361	1000		1701
16	木鱼	8	363	1000		1701
17	断水流	8	367	1000		1701
18	药囊	8	785	1000		1701
19	輪	8	809	2000		1701
20	悦	8	1241	1000		1701
21	霸王钳	8	1242	2000		1701
22	卿	8	1243	1000		1701
23	霸王弩	8	1244	2000		1701
24	潺	8	1245	2000		1701
25	焰	8	1246	2000		1701
26	画卷	8	1247	2000		1701
27	绝	8	1248	1000		1701
28	铩	8	1250	1000		1701
29	孟秋砚	8	1719	2000		1701
30	徊	8	1885	2000		1701
31	夺命三千	8	2427	2000		1701
32	踏炎乌骓	8	531	50000		500
33	踏炎鞍饰	5	11997	10000		1000
34	踏炎足饰	5	11998	10000		1000
35	踏炎头饰	5	11999	10000		1000
36	阿湿矩沙鞍饰	5	5115	10000		1000
37	阿湿矩沙足饰	5	5113	10000		1000
38	阿湿矩沙头饰	5	5114	10000		1000
39	三味净琉璃	8	7076	2000		1701
40	金红狩命	8	7077	2000		1701
41	秋声烛影	8	7078	2000		1701
42	钧天	8	8006	2000		1701
43	圣祭玄火令	8	13135	1000		1701
44	圣影令	8	13733	1000		1701
45	飞天	8	13136	2000		1701
46	玉玲珑	8	13734	2000		1701
47	七煞	8	13138	1000		1701
48	贪狼	8	13730	1000		1701
49	神羽盔	8	13731	2000		1701
50	神武盔	8	13134	2000		1701
51	礼天地壶	8	11629	1000		1701
52	鬼神爵	8	11628	1000		1701
53	青耳钟	8	11627	2000		1701
54	困山河	8	11631	1000		1701
55	觅影瓶	8	11104	1000		1701
56	影傀儡	8	11630	2000		1701
57	纵贯线	8	10950	1000		1701
58	云湛重楼	8	10951	1000		1701
59	赤狼破刃	8	10944	2000		1701
60	千人屠双鳄	8	10946	2000		1701
61	独乐咏	8	10952	1000		1701
62	白蛟腹	8	10945	2000		1701
63	碧玉金玲牙梳	8	10205	1000		1701
64	不见万物	8	10203	2000		1701
65	黑龙斩铁	8	10210	2000		1701
66	龙夺瑞	8	10202	2000		1701
67	白牡丹花篮绿瓷瓶	8	10201	2000		1701
68	守贞匕	8	10204	1000		1701
69	赤珠飞电	8	20178	50000		500
