Level	ForceID	MapID1	AreaID1	MapID2	AreaID2	MapID3	AreaID3	MapID4	AreaID4	MapID5	AreaID5	MapID6	AreaID6	MapID7	AreaID7	MapID8	AreaID8	MapID9	AreaID9	MapID10	AreaID10	MapID11	AreaID11	MapID12	AreaID12	MapID13	AreaID13	MapID14	AreaID14	MapID15	AreaID15	MapID16	AreaID16	MapID17	AreaID17	MapID18	AreaID18	MapID19	AreaID19	MapID20	AreaID20	MapID21	AreaID21	MapID22	AreaID22
0	0	1																																											
1	0	1																																											
2	0	1																																											
3	0	1																																											
4	0	1																																											
5	0	1																																											
6	0	1																																											
7	0	1																																											
8	0	1																																											
9	0	1																																											
10	0	5		2		11		7		16		49		102		150		122		159		193		213		243		333		419		464		526		578		642							
11	0	5		2		11		7		16		49		102		150		122		159		193		213		243		333		419		464		526		578		642							
12	0	5		2		11		7		16		49		102		150		122		159		193		213		243		333		419		464		526		578		642							
13	0	5		2		11		7		16		49		102		150		122		159		193		213		243		333		419		464		526		578		642							
14	0	5		2		11		7		16		49		102		150		122		159		193		213		243		333		419		464		526		578		642							
15	0	5		2		11		7		16		49		102		150		122		159		193		213		243		333		419		464		526		578		642							
16	0	5		2		11		7		16		49		102		150		122		159		193		213		243		333		419		464		526		578		642							
17	0	5		2		11		7		16		49		102		150		122		159		193		213		243		333		419		464		526		578		642							
18	0	5		2		11		7		16		49		102		150		122		159		193		213		243		333		419		464		526		578		642							
19	0	5		2		11		7		16		49		102		150		122		159		193		213		243		333		419		464		526		578		642							
20	0	5		2		11		7		16		49		102		150		122		159		193		213		243		333		419		464		526		578		642							
21	0	5		2		11		7		16		49		102		150		122		159		193		213		243		333		419		464		526		578		642							
22	0	5		2		11		7		16		49		102		150		122		159		193		213		243		333		419		464		526		578		642							
23	0	5		2		11		7		16		49		102		150		122		159		193		213		243		333		419		464		526		578		642							
24	0	5		2		11		7		16		49		102		150		122		159		193		213		243		333		419		464		526		578		642							
25	0	5		2		11		7		16		49		102		150		122		159		193		213		243		333		419		464		526		578		642							
26	0	5		2		11		7		16		49		102		150		122		159		193		213		243		333		419		464		526		578		642							
27	0	5		2		11		7		16		49		102		150		122		159		193		213		243		333		419		464		526		578		642							
28	0	5		2		11		7		16		49		102		150		122		159		193		213		243		333		419		464		526		578		642							
29	0	5		2		11		7		16		49		102		150		122		159		193		213		243		333		419		464		526		578		642							
30	0	5		2		11		7		16		49		102		150		122		159		193		213		243		333		419		464		526		578		642							
31	0	5		2		11		7		16		49		102		150		122		159		193		213		243		333		419		464		526		578		642							
32	0	5		2		11		7		16		49		102		150		122		159		193		213		243		333		419		464		526		578		642							
33	0	5		2		11		7		16		49		102		150		122		159		193		213		243		333		419		464		526		578		642							
34	0	5		2		11		7		16		49		102		150		122		159		193		213		243		333		419		464		526		578		642							
35	0	5		2		11		7		16		49		102		150		122		159		193		213		243		333		419		464		526		578		642							
36	0	5		2		11		7		16		49		102		150		122		159		193		213		243		333		419		464		526		578		642							
37	0	5		2		11		7		16		49		102		150		122		159		193		213		243		333		419		464		526		578		642							
38	0	5		2		11		7		16		49		102		150		122		159		193		213		243		333		419		464		526		578		642							
39	0	5		2		11		7		16		49		102		150		122		159		193		213		243		333		419		464		526		578		642							
40	0	5		2		11		7		16		49		102		150		122		159		193		213		243		333		419		464		526		578		642							
41	0	5		2		11		7		16		49		102		150		122		159		193		213		243		333		419		464		526		578		642							
42	0	5		2		11		7		16		49		102		150		122		159		193		213		243		333		419		464		526		578		642							
43	0	5		2		11		7		16		49		102		150		122		159		193		213		243		333		419		464		526		578		642							
44	0	5		2		11		7		16		49		102		150		122		159		193		213		243		333		419		464		526		578		642							
45	0	5		2		11		7		16		49		102		150		122		159		193		213		243		333		419		464		526		578		642							
46	0	5		2		11		7		16		49		102		150		122		159		193		213		243		333		419		464		526		578		642							
47	0	5		2		11		7		16		49		102		150		122		159		193		213		243		333		419		464		526		578		642							
48	0	5		2		11		7		16		49		102		150		122		159		193		213		243		333		419		464		526		578		642							
49	0	5		2		11		7		16		49		102		150		122		159		193		213		243		333		419		464		526		578		642							
50	0	5		2		11		7		16		49		102		150		122		159		193		213		243		333		419		464		526		578		642							
51	0	5		2		11		7		16		49		102		150		122		159		193		213		243		333		419		464		526		578		642							
52	0	5		2		11		7		16		49		102		150		122		159		193		213		243		333		419		464		526		578		642							
53	0	5		2		11		7		16		49		102		150		122		159		193		213		243		333		419		464		526		578		642							
54	0	5		2		11		7		16		49		102		150		122		159		193		213		243		333		419		464		526		578		642							
55	0	5		2		11		7		16		49		102		150		122		159		193		213		243		333		419		464		526		578		642							
56	0	5		2		11		7		16		49		102		150		122		159		193		213		243		333		419		464		526		578		642							
57	0	5		2		11		7		16		49		102		150		122		159		193		213		243		333		419		464		526		578		642							
58	0	5		2		11		7		16		49		102		150		122		159		193		213		243		333		419		464		526		578		642							
59	0	5		2		11		7		16		49		102		150		122		159		193		213		243		333		419		464		526		578		642							
