ID	Activity	TimeRepresent	Class	Star	Level	Award	ShowPosition	IsHighlight	HightlightPath	Frame	ShowPriority	DetailPath	Hard	DetailMap	DetailAwards	Text	Event	nAdvancedTime	Label	BackgroundImage1	BackgroundImage2	Luckdraw	LuckPath	LuckFrame	LuckdrawText	DailyQuest	BuffID	TotalCount	FinishType	FinishCount	IsDouble	ExtraReward	DoubleStartTime	DoubleEndTime	CareerEvent	ShowLevel	Map	MapTip	szTitleBg	nMapIconFrame	BackgroundImage3	nPriority	bIsMultiple	szQuestID	bAutoCollect	bLimited	dwShopGroupID	dwDefaultShopID	nRedDotVersion
0	空活动（默认）		1	0	1	0	1	0			4						3			ui/Image/Active/In_1.tga						0	0	0	0	100	0				0	0~999				3		0	0	-1					
14	公共任务日常		4	3	95									<text>text="可前往" font=18</text><text>text="长安·战乱" font=229 link="NPCGuide/780"</text><text>text="的茶馆找" font=18</text><text>text="娄永才" font=18 link="NPCGuide/780"</text><text>text="接取任务。" font=18</text>		<text>text="1、义军声望达到尊敬可购买紫色上装和腰坠。\\\n2、义军声望达到一定程度可购买生活技艺的配方。" font=18</text>				ui/Image/Active/ActivityFistPage/RecommendSmall/RecommendSmall_Test.tga							8116	1								0~999					ui/Image/Active/ActivityFistPage/RecommendBig/RecommendBig_Test.tga								
16	战场-神农洇		3	4	120		5				1		15人对抗	<text>text="可前往" font=284</text><text>text="[" font=173</text><text>text="扬州" font=173 link="NPCGuide/58"</text><text>text="][" font=173</text><text>text="成都" font=173 link="NPCGuide/164"</text><text>text="]" font=173</text><text>text="或" font=284</text><text>text="[" font=173</text><text>text="太原" font=173 link="NPCGuide/860"</text><text>text="]" font=173</text><text>text="战场报名人处参加跨服战场排队。" font=284</text>		<text>text="1、满级的浩气盟、恶人谷玩家可组队或个人参与。\\\n2、" font=284</text><text>text="中午12点~次日凌晨1点" font=158</text><text>text="开放，12点开始时即可获得战阶积分和双倍威名点奖励。\\\n3、和正先锋小队声望未达到尊敬的浩气盟玩家或恣桀先锋小队声望未达到尊敬的恶人谷玩家，可获得对应声望奖励。\\\n4、每周最多获得" font=284</text><text>text="60000点战场双倍威名点" font=158</text><text>text="，每获得7500双倍威名点，将额外获得" font=284</text><text>text="200精力、1000战阶、1000威名点上限、50帮会资金、1个神威宝箱" font=158</text><text>text="。" font=284</text>	3	30;10;0;	0	ui/Image/Active/Calendar/ZC_ShenNongYin_S.tga							4122	1	1							0~999			ui/Image/Active/AnNiuDiTu/ZC_ShenNongYin.tga		ui/Image/Active/Calendar/ZC_ShenNongYin_B.tga				1				
17	七夕活动	每年农历七月初七前后开启，持续十四天。	1	4	20		3	1	ui\Image\Helper\Help—Bg.UITex	54	0		全民参与	<text>text="侠士可前往" font=284</text><text>text="[" font=173</text><text>text="扬州" font=173 link="NPCGuide/970"</text><text>text="][" font=173</text><text>text="太原" font=173 link="NPCGuide/971"</text><text>text="][" font=173</text><text>text="成都" font=173 link="NPCGuide/972"</text><text>text="][" font=173</text><text>text="侠客岛" font=173 link="NPCGuide/2063"</text><text>text="][" font=173</text><text>text="洛阳" font=173 link="NPCGuide/973"</text><text>text="][" font=173</text><text>text="长安" font=173 link="NPCGuide/974"</text><text>text="]" font=173</text><text>text="参与活动。" font=284</text>	<text>text="神秘的节日奖励" font=18</text>	<text>text="活动时间：2023年8月21日7:00至2023年9月4日7:00" font=158</text><text>text="\\\n1、七夕佳节，侠士可前往主城活动区从贺兰枫处接取节日任务，获得节日挂件" font=284</text><text>text="千机缘梦" font=171 link="ItemLinkInfo/8/36800"</text><text>text="。\\\n2、侠士完成七夕系列任务可获得" font=284</text><text>text="渡情香" font=171 link="ItemLinkInfo/5/26827"</text><text>text="，携带道具寻得节日大使可组队进入星海幻景一次。\\\n3、七夕节日期间，侠士在所有5人秘境战胜最终首领后，可与队友携手开启首领附近的宝箱，解救人质获取奖励。\\\n4、节日期间所有20级以上人型怪均掉落" font=284</text><text>text="鹊翎" font=171 link="ItemLinkInfo/5/10335"</text><text>text="，其中95级以上人形怪掉落翻倍。侠士可搜集鹊翎在节日商店兑换礼品。" font=284</text>	4		1	ui/Image/Active/Calendar/JieRi_QiXi_S.tga		0													200				ui/Image/Active/AnNiuDiTu/JieRi_QiXi.tga		ui/Image/Active/Calendar/JieRi_QiXi_B.tga	6					6	103	
18	战场-神农洇		3	4	120		5				1		15人对抗	<text>text="可前往[" font=18</text><text>text="扬州" font=229 link="NPCGuide/58"</text><text>text="][" font=18</text><text>text="成都" font=229 link="NPCGuide/164"</text><text>text="]或[" font=18</text><text>text="太原" font=229 link="NPCGuide/860"</text><text>text="]战场报名人处参加跨服战场排队。" font=18</text>		<text>text="1、满级的浩气盟、恶人谷玩家可组队或个人参与。\\\n2、" font=284</text><text>text="中午12点~次日凌晨1点" font=158</text><text>text="开放，12点开始时即可获得战阶积分和双倍威名点奖励。\\\n3、和正先锋小队声望未达到尊敬的浩气盟玩家或恣桀先锋小队声望未达到尊敬的恶人谷玩家，可获得对应声望奖励。\\\n4、每周最多获得" font=284</text><text>text="60000点战场双倍威名点" font=158</text><text>text="，每获得7500双倍威名点，将额外获得" font=284</text><text>text="200精力、1000战阶、1000威名点上限、50帮会资金、1个神威宝箱" font=158</text><text>text="。\\\n" font=284</text>	3	30;10;0;	0	ui/Image/Active/Calendar/ZC_ShenNongYin_S.tga							4122	1	1							0~999			ui/Image/Active/AnNiuDiTu/ZC_ShenNongYin.tga		ui/Image/Active/Calendar/ZC_ShenNongYin_B.tga				1				
19	威望日常	今日7：00~次日6：59。	3	5	95	2:100;3:100;8:100;	0						个人参与	<text>text="        阵营玩家可前往马嵬驿" font=18</text><text>text="月语堂（浩气盟）" font=168 link="NPCGuide/284"</text><text>text="或" font=18</text><text>text="火独（恶人谷）" font=168 link="NPCGuide/285"</text><text>text="处接取任务。" font=18</text>	<text>text="        100金，3000点" font=198</text><text>text="威望" font=198 link="Library/17/3/0"</text><text>text="，400点" font=198</text><text>text="战阶积分" font=198 link="Library/17/4/0"</text><text>text="。" font=198</text>	<text>text="        预计所需时间15分钟" font=168</text><text>text="\\\n        浩气盟或恶人谷玩家可到马嵬驿接取并完成任务。" font=18</text>	2		0								4131	1				<text>text=" 又一次花开花落，再一次侠情狂欢，可获得马嵬驿阵营日常双倍奖励。" font=18</text>				0~999													
27	战场-九宫棋谷		3	4	120		5	0			1		25人对抗	<text>text="可前往" font=284</text><text>text="[" font=173</text><text>text="扬州" font=173 link="NPCGuide/58"</text><text>text="][" font=173</text><text>text="成都" font=173 link="NPCGuide/164"</text><text>text="]" font=173</text><text>text="或" font=284</text><text>text="[" font=173</text><text>text="太原" font=173 link="NPCGuide/860"</text><text>text="]" font=173</text><text>text="战场报名人处参加跨服战场排队。" font=284</text>		<text>text="1、满级的浩气盟、恶人谷玩家可组队或个人参与。\\\n2、" font=284</text><text>text="中午12点~次日凌晨1点" font=158</text><text>text="开放，12点开始时即可获得战阶积分和双倍威名点奖励。\\\n3、和正先锋小队声望未达到尊敬的浩气盟玩家或恣桀先锋小队声望未达到尊敬的恶人谷玩家，可获得对应声望奖励。\\\n4、每周最多获得" font=284</text><text>text="60000点战场双倍威名点" font=158</text><text>text="，每获得7500双倍威名点，将额外获得" font=284</text><text>text="200精力、1000战阶、1000威名点上限、50帮会资金、1个神威宝箱" font=158</text><text>text="。" font=284</text>	3	30;10;0;	0	ui/Image/Active/Calendar/ZC_JiuGongQiGu_S.tga							4122	1	1							0~999			ui/Image/Active/AnNiuDiTu/ZC_JiuGongQiGu.tga		ui/Image/Active/Calendar/ZC_JiuGongQiGu_B.tga				1				
28	战场-九宫棋谷		3	4	120		5	0			1		25人对抗	<text>text="可前往" font=284</text><text>text="[" font=173</text><text>text="扬州" font=173 link="NPCGuide/58"</text><text>text="][" font=173</text><text>text="成都" font=173 link="NPCGuide/164"</text><text>text="]" font=173</text><text>text="或" font=284</text><text>text="[" font=173</text><text>text="太原" font=173 link="NPCGuide/860"</text><text>text="]" font=173</text><text>text="战场报名人处参加跨服战场排队。" font=284</text>		<text>text="1、满级的浩气盟、恶人谷玩家可组队或个人参与。\\\n2、" font=284</text><text>text="中午12点~次日凌晨1点" font=158</text><text>text="开放，12点开始时即可获得战阶积分和双倍威名点奖励。\\\n3、和正先锋小队声望未达到尊敬的浩气盟玩家或恣桀先锋小队声望未达到尊敬的恶人谷玩家，可获得对应声望奖励。\\\n4、每周最多获得" font=284</text><text>text="60000点战场双倍威名点" font=158</text><text>text="，每获得7500双倍威名点，将额外获得" font=284</text><text>text="200精力、1000战阶、1000威名点上限、50帮会资金、1个神威宝箱" font=158</text><text>text="。" font=284</text>	3	30;10;0;	0	ui/Image/Active/Calendar/ZC_JiuGongQiGu_S.tga							4122	1	1							0~999			ui/Image/Active/AnNiuDiTu/ZC_JiuGongQiGu.tga		ui/Image/Active/Calendar/ZC_JiuGongQiGu_B.tga				1				
29	秘境日常	7:00-次日6:59	4	5	120		1				1	QuestDaily/17/0		<text>text="       可在" font=284</text><text>text="[" font=173</text><text>text="太原" font=173 link="NPCGuide/855"</text><text>text="][" font=173</text><text>text="扬州" font=173 link="NPCGuide/169"</text><text>text="][" font=173</text><text>text="成都" font=173 link="NPCGuide/170"</text><text>text="][" font=173</text><text>text="侠客岛" font=173 link="NPCGuide/2006"</text><text>text="]" font=173</text><text>text="的秘境任务处接取。" font=284</text>		<text>text="1、“大战”任务将在" font=284</text><text>text="每日7点更新" font=158</text><text>text="。\\\n2、任务要求击败" font=284</text><text>text="指定的秘境首领" font=172</text><text>text="。\\\n3、可从" font=284</text><text>text="秘境任务" font=173</text><text>text="告示牌接取“大战”任务。\\\n4、修为奖励将以【九花玉露散】形式发放。" font=284</text>	4		2	ui/Image/Active/Calendar/MiJingRiChang_S.tga						654							1597014000	1603925999		0~999			ui/Image/Active/AnNiuDiTu/MiJingRiChang.tga		ui/Image/Active/Calendar/MiJingRiChang_B.tga			25449	1				
30	野外地图首领	每隔三天的22点刷新，首领不被击伤则一直存在	3	3	95		7	0			0		大规模野外战斗	<text>text="        随机出现在" font=18</text><text>text="洛道" font=229 link="NPCGuide/180"</text><text>text="，" font=18</text><text>text="金水镇" font=229 link="NPCGuide/182"</text><text>text="，" font=18</text><text>text="寇岛" font=229 link="NPCGuide/181"</text><text>text="其中之一。" font=18</text>	<text>text="        485品紫色PVP首饰，485品紫色PVP防具、武器，5级6级五彩石，6级五行石。" font=198</text><text>text="\\\n" font=167</text>	<text>text="        1、525PVP首饰有：" font=18</text><text>text="昊穹·采苹链" font=74 link="ItemLinkInfo/8/10896"</text><text>text="等，525PVP防具有：" font=18</text><text>text="昊穹·采苹衫" font=74 link="ItemLinkInfo/7/22247"</text><text>text="等，525PVP武器有" font=18</text><text>text="昊穹·采苹剑" font=74 link="ItemLinkInfo/6/8652"</text><text>text="等，各门派内功都有与之相对应的饰品。\\\n        2、野外首领实力强劲，有较大规模的团队组织才能更有效的击败。\\\n        3、野外首领的奖励所属归于第一个触发他的玩家所在团队。\\\n        4、野外首领的移动范围也是有限的，超过限定范围首领会回归到刷新点，气血全值恢复。" font=18</text>		30;10;0;	0	ui/Image/Active/ActivityFistPage/RecommendSmall/RecommendSmall_Test.tga																0~999				10	ui/Image/Active/ActivityFistPage/RecommendBig/RecommendBig_Test.tga								
