LinkID	MapID	NpcID	Kind	x	y	z	NpcName
	150	43					老翁
0	0	0	0	0	0	0	
0	6	385					扬州车夫
0	6	16113					上官玲
0	7	42745					“烈焰燎原”贲百胜
0	15	14657					阿里曼黄金圣盒
0	15	16212					青青
0	74	0					阿伦
0	108	6960					吏部御史
0	108	6987					殿试主考官
0	151	0	111	110	110	110	测试用
1	6	1247	扬州新手武学训练师	46270	31562	1049026	枚成才
1	8	2406	洛阳新手武学训练师	59397	22810	1084664	枚成器
1	15	3682	长安新手武学训练师	28518	45878	1064027	枚成功
2	6	5474	扬州新手少林接引				澄实
2	8	5473	洛阳新手少林接引				澄实
2	15	5439	长安新手少林接引	32539	45432	1060837	澄实
3	6	5465	扬州新手万花接引				僧一行
3	8	5466	洛阳新手万花接引				僧一行
3	15	5427	长安新手万花接引	33961	45516	1060832	僧一行
4	6	5472	扬州新手七秀接引				萧白胭
4	8	5471	洛阳新手七秀接引				萧白胭
4	15	5437	长安新手七秀接引	32562	43889	1064665	萧白胭
5	6	5470	扬州新手纯阳接引				卓凤鸣
5	8	5469	洛阳新手纯阳接引				卓凤鸣
5	15	5433	长安新手纯阳接引	31926	48056	1060837	卓凤鸣
6	6	5468	扬州新手天策接引				曹雪阳
6	8	5467	洛阳新手天策接引				曹雪阳
6	15	5435	长安新手天策接引	32065	46030	1060837	曹雪阳
7	6	3860	扬州新手采金	47227	30121	1048967	金不患
7	8	3862	洛阳新手采金	58089	20220	1083757	蒙劭伟
7	15	3864	长安新手采金	29718	45957	1064042	王武霍
8	6	3861	扬州新手神农	45332	29049	1049049	龙止情
8	8	3863	洛阳新手神农	57423	20496	1083757	秦芹
8	15	3338	长安新手神农	26368	44618	1063417	朱晓月
9	6	3495	扬州新手庖丁	48681	22218	1049459	苏勤
9	8	2339	洛阳新手庖丁	57680	20395	1083757	张达
9	15	3337	长安新手庖丁	26485	44885	1063737	陆定州
10	6	2266	扬州新手铸造	53556	58326	1050845	铁头
10	8	2337	洛阳新手铸造	57296	21596	1083279	程彪
10	15	3755	长安新手铸造	56556	116257	1065757	金锤
11	6	3493	扬州新手缝纫	47381	24098	1050866	绣娘
11	8	3503	洛阳新手缝纫	36065	86224	1057944	邹榆
11	15	3757	长安新手缝纫	55174	112846	1063868	谢文莉
12	6	2263	扬州新手医术	57416	61352	1051810	松若云
12	8	3507	洛阳新手医术	36161	83940	1057087	赵婷婷
12	15	3335	长安新手医术	25239	45119	1063652	林云儿
13	6	392	扬州新手烹饪	42485	25479	1049596	丁聚财
13	8	2338	洛阳新手烹饪	58437	19352	1083719	王九
13	15	3336	长安新手烹饪	33451	47531	1060832	蔡春华
14	6	2586	扬州新手仓库	49773	29820	1052718	杨澄
14	8	2585	洛阳新手仓库	61669	25267	1083678	罗甫
14	15	3785	长安新手仓库	28808	47211	1064185	杨清
15	6	3669	扬州新手信使	62179	57810	1051927	扬州信使
15	8	3674	洛阳新手信使	16507	91614	1065109	洛阳信使
15	15	3675	长安新手信使	41005	91690	1061623	信使
16	6	1249	扬州新手守卫	42068	22111	1050022	再来镇守卫
16	8	3786	洛阳新手守卫	59539	18190	1083863	风雨镇守卫
16	15	2468	长安新手守卫	27361	45622	1063909	沈晓云
43	5	552	少林入门	45433	42887	1122468	澄理
44	2	99	万花入门	46135	47388	1161167	孙思邈
45	16	2131	七秀入门	14824	13899	1072567	叶芷青
46	7	715	纯阳入门	8104	11773	1174071	李忘生
47	11	1641	天策入门				朱剑秋
48	5	2703	少林马商	7066	13359	1048957	高赞
49	2	102	万花马商	44991	39578	1116515	苏难行
50	16	2649	七秀马商	26657	69636	1057491	镜璇
51	7	763	纯阳马商	45647	29345	1147446	燕小霞
52	11	1746	天策马商				毛四
53	8	5742	洛阳刀宗接引	16825	81475	1061755	恶人谷战场接引人
54	8	5097	洛阳跨服战场报名区域	15747	81457	1061755	浩气盟战场接引人
55	8	827	洛阳刀宗声望商	13698	82421	1060992	堀北明
56	8	4673	洛阳昆仑声望商	18380	81687	1060992	利智垣
57	6	5742	扬州刀宗接引	86304	74651	1054909	恶人谷战场接引人
58	6	5097	扬州跨服战场报名区域	87164	74450	1054976	浩气盟战场接引人
59	6	827	扬州刀宗声望商	89281	73618	1054169	堀北明
60	6	4673	扬州昆仑声望商	84797	73210	1054169	利智垣
61	15	5742	长安刀宗接引	37004	111971	1065312	恶人谷战场接引人
62	15	5097	长安跨服战场报名区域	37213	108431	1065312	浩气盟战场接引人
63	15	827	长安刀宗声望商	38140	108407	1065312	堀北明
64	15	4673	长安昆仑声望商	36411	111074	1065312	利智垣
65	8	6081	洛阳莫杀	30143	81619	1055004	莫杀
66	15	6069	长安平素素	40277	94030	1061729	平素素
67	25	5144	浩气盟天歌道长	45562	56790	1064445	天歌道长
68	27	4781	恶人谷大头	39509	15921	1057867	大头
69	6	7279	扬州新手藏剑接引				藏剑老者
69	8	7279	洛阳新手藏剑接引				藏剑老者
69	15	7279	长安新手藏剑接引				藏剑老者
70	49	6628	藏剑入门				叶晖
71	49	7055	藏剑马商				叶宝驹
72	8	3784	洛阳声望商	30965	86680	1058953	紫庄
73	15	3732	长安声望商	42123	116321	1066206	韦临
74	6	3879	扬州甲字声望商				贺功强
75	8	813	洛阳阳宝哥	55846	23734	1081738	阳宝哥
76	10	7247	寇岛足利义满				足利义满
77	60	7312	达摩洞道海				道海
78	8	7572	洛阳节日大使	29439	75956	1055896	节日大使
79	8	7534	洛阳智尊宝	27768	90352	1060160	智尊宝
80	8	7164	洛阳王雪儿	30695	85548	1058921	王雪儿
81	15	7572	长安节日大使	46766	92858	1061623	节日大使
82	15	7534	长安智尊宝	54496	92638	1061696	智尊宝
83	15	7164	长安王雪儿	40613	115386	1065763	王雪儿
84	6	7572	扬州节日大使	68594	51157	1053821	节日大使
85	6	7534	扬州智尊宝	70801	45553	1052160	智尊宝
86	6	7164	觅宝会地字掌柜	66161	67159	1053356	王雪儿
87	16	7698	七秀叶紫衣	16299	14317	1076160	叶紫衣
88	7	7696	纯阳李灵霄	31461	16792	1157760	李灵霄
89	11	7700	天策杨立欣	58576	24969	1070336	杨立欣
90	2	7697	万花西门雪	46029	46629	1162176	西门雪
91	5	7701	少林道天常	40744	45277	1122432	道天常
92	49	7699	藏剑叶珍	72572	85013	1115392	叶珍
93	15	6271	长安丘怀	55801	93797	1061696	丘怀
94	15	6274	长安丘石	55805	93639	1061696	丘石
95	8	6274	洛阳丘石	28975	90341	1060160	丘石
96	8	6271	洛阳丘怀	28781	90341	1060160	丘怀
97	6	6271	扬州丘怀	70997	46688	1052160	丘怀
98	6	6274	扬州丘石	70971	46447	1052160	丘石
101	6	7820	扬州玄字陆捌	92735	68463	1058760	玄字陆捌
101	8	7820	洛阳玄字陆捌	12722	85877	1063095	玄字陆捌
101	15	7820	长安玄字陆捌	61166	108543	1065348	玄字陆捌
102	6	1349	扬州玄字伍叁	92576	68439	1058760	玄字伍叁
102	8	1349	洛阳玄字伍叁	12570	85983	1063095	玄字伍叁
102	15	1349	长安玄字伍叁	61003	109128	1065348	玄字伍叁
103	6	7821	扬州李守财	92443	68448	1058760	李守财
103	8	7821	洛阳李守财	12413	85872	1063095	李守财
103	15	7821	长安李守财	61162	108794	1065348	李守财
104	6	13800	扬州新手少林接引	43826	32443	1049713	五毒长老
104	8	13800	洛阳新手少林接引	52212	23191	1079360	五毒长老
104	15	13800	长安新手少林接引	35111	44514	1061093	五毒长老
105	102	9340	五毒入门	34408	63960	1059648	艾黎
106	102	7055	五毒马商	24859	60750	1053632	叶宝驹
107	102	9331	五毒掌门	16856	90831	1075392	曲云
108	2	96	万花掌门	52376	39402	1244047	东方宇轩
109	5	640	少林掌门	45415	65733	1131230	玄正
110	49	6627	藏剑叶英	74567	64000	1114880	叶英
111	7	737	纯阳卓凤鸣	11416	7960	1171423	陆剑平
112	7	713	纯阳于睿	24849	12602	1159077	于睿
113	2	100	万花僧一行	48789	44303	1134348	逸尘
114	11	1646	天策曹雪阳	61519	18457	1052224	曹雪阳
115	11	1640	天策杨宁	54058	18449	1052224	杨宁
116	5	557	少林慧海	38201	39318	1122335	慧海
117	49	6632	藏剑叶松贤	79321	73646	1118336	叶松贤
118	49	6631	藏剑叶子轩	77745	73633	1118336	叶子轩
119	6	8808	扬州曾鑫	53494	56476	1050845	曾鑫
120	8	4714	洛阳玄字玖贰	11518	86900	1063401	玄字玖贰
120	15	4714	长安玄字玖贰	60820	110245	1065393	玄字玖贰
121	6	10212	扬州王露儿	53698	68372	1051840	王露儿
122	108	10697	长安马婧	76377	64855	1072128	马婧
123	6	10216	扬州余信鹏	53698	68372	1051840	余信鹏
124	15	10700	长安段小影	76377	64855	1072128	段小影
125	6	10416	扬州梅碧倪	49039	74710	1061440	梅碧倪
125	108	10416	长安梅碧倪	77212	64913	1072128	梅碧倪
126	6	10219	扬州周明蒙	53621	68328	1051840	周明蒙
127	74	77220	帮会关二爷	16860	10651	1105024	关二爷
128	74	7722	帮会邵卿城	16390	9523	1104280	邵卿城
129	74	9788	帮会家园李霖	9812	21364	1115271	李霖
130	74	9787	帮会家园郭语成				郭语成
131	74	10118	帮会家园祝宜枫	15896	12367	1104448	祝宜枫
132	74	7365	帮会韩荞生	24051	18838	1108544	韩荞生
133	74	7366	帮会黄剑翔	24201	18843	1108544	黄剑翔
134	6	10218	扬州卢荷泽	53621	68328	1051840	卢荷泽
135	108	10701	长安林荣晚	76377	64855	1072128	林荣晚
136	74	15178	帮会三石叔	16164	23037	1099940	三石叔
137	6	15902	扬州唐间竹	48359	33383	1049280	唐间竹
137	8	15902	洛阳唐间竹	54341	21902	1081088	唐间竹
137	15	15902	长安唐间竹	33864	45395	1060864	唐间竹
138	122	15203	唐老太太	68493	77851	1112448	唐老太太
140	6	16134	扬州茶馆老板娘	62884	45858	1053458	赵云睿
141	15	16134	长安茶馆老板娘	49997	83065	1060476	赵云睿
142	108	16134	成都茶馆老板娘	74557	69105	1070738	赵云睿
143	8	16134	洛阳茶馆老板娘	33540	66286	1052083	赵云睿
144	35	15675	白帝城外务府总管	74389	65897	1169728	宫关
