SubType	RepresentID	ColorID	ForceID	ID
0	0	0	0	0
2	1	1	0	919
2	1	2	0	924
2	1	3	0	929
2	1	4	0	934
2	1	5	0	939
2	1	6	0	944
2	2	1	0	949
2	2	2	0	954
2	2	3	0	959
2	2	4	0	964
2	2	5	0	969
2	2	6	0	974
2	3	1	0	979
2	3	2	0	984
2	3	3	0	989
2	3	4	0	994
2	3	5	0	999
2	3	6	0	1004
2	4	9	0	1666
2	5	1	0	874
2	5	2	0	879
2	5	3	0	884
2	5	4	0	889
2	6	3	0	1696
2	11	1	0	1009
2	11	2	0	1014
2	11	3	0	1019
2	11	4	0	1024
2	11	5	0	1029
2	11	6	0	1034
2	11	7	0	1039
2	11	8	0	1044
2	12	1	0	1049
2	12	2	0	1054
2	12	3	0	1059
2	12	4	0	1064
2	12	5	0	1069
2	12	6	0	1074
2	13	1	0	1079
2	13	2	0	1084
2	13	3	0	1089
2	13	4	0	1094
2	13	5	0	1099
2	13	6	0	1104
2	14	1	0	1109
2	14	2	0	1114
2	14	3	0	1119
2	14	4	0	1124
2	14	5	0	1129
2	14	6	0	1134
2	14	7	0	1139
2	14	8	0	1144
2	15	1	0	1149
2	15	2	0	1153
2	15	3	0	1157
2	15	4	0	1161
2	15	5	0	1165
2	16	1	0	1169
2	16	2	0	1174
2	16	3	0	1179
2	16	4	0	1184
2	16	5	0	1189
2	17	1	0	1194
2	17	2	0	1198
2	17	3	0	1202
2	17	4	0	1206
2	17	5	0	1210
2	17	6	0	1214
2	18	1	0	1218
2	18	2	0	1222
2	18	3	0	1226
2	18	4	0	1230
2	18	5	0	1234
2	19	1	0	1238
2	19	2	0	1242
2	19	3	0	1246
2	19	4	0	1250
2	19	5	0	1254
2	19	14	0	2832
2	19	15	0	2836
2	20	1	0	1258
2	20	2	0	1262
2	20	3	0	1266
2	20	4	0	1270
2	20	5	0	1274
2	21	1	0	1278
2	21	2	0	1282
2	21	3	0	1286
2	21	4	0	1290
2	21	5	0	1294
2	21	6	0	1298
2	22	1	0	1302
2	22	2	0	1306
2	22	3	0	1310
2	22	4	0	1314
2	22	5	0	1318
2	22	6	0	1322
2	23	1	0	1326
2	23	2	0	1331
2	23	3	0	1336
2	23	4	0	1341
2	23	5	0	1346
2	23	6	0	1351
2	23	7	0	1356
2	24	1	0	1361
2	24	2	0	1365
2	24	3	0	1369
2	24	4	0	1373
2	24	5	0	1377
2	24	6	0	1381
2	24	7	0	1385
2	24	8	0	1389
2	25	1	0	1393
2	25	2	0	1398
2	25	3	0	1403
2	25	4	0	1408
2	25	5	0	1413
2	26	1	0	1418
2	26	2	0	1423
2	26	3	0	1428
2	26	4	0	1433
2	26	5	0	1438
2	26	6	0	1443
2	27	1	0	1448
2	27	2	0	1453
2	27	3	0	1458
2	27	4	0	1463
2	27	5	0	1468
2	28	12	0	1473
2	29	10	0	1477
2	29	11	0	1481
2	29	12	0	3223
2	29	13	0	3227
2	30	12	0	1485
2	31	10	0	1489
2	32	1	0	1493
2	32	2	0	1497
2	32	3	0	1501
2	32	4	0	1505
2	32	5	0	1509
2	32	6	0	1513
2	33	1	0	1517
2	33	2	0	1521
2	33	3	0	1525
2	33	4	0	1529
2	33	5	0	1533
2	34	1	0	1537
2	34	2	0	1541
2	34	3	0	1545
2	34	4	0	1549
2	34	5	0	1553
2	35	1	0	1557
2	35	2	0	1561
2	35	3	0	1565
2	35	4	0	1569
2	35	5	0	1573
2	35	6	0	1577
2	35	7	0	1581
2	35	8	0	1585
2	36	1	0	1964
2	37	0	0	1971
2	37	1	0	2462
2	37	2	0	2307
2	37	3	0	2308
2	37	4	0	2309
2	37	5	0	2461
2	37	6	0	2463
2	37	7	0	2460
2	38	1	0	2483
2	38	2	0	2488
2	38	3	0	2493
2	38	4	0	2498
2	38	5	0	2503
2	38	6	0	2508
2	39	1	0	2477
2	39	2	0	2478
2	39	3	0	2479
2	39	4	0	2480
2	39	5	0	2481
2	39	6	0	2482
2	40	1	0	2598
2	40	2	0	2599
