MapID	MPakID
2	999
2	103
2	6
5	999
5	103
5	4
6	999
7	999
7	103
7	7
8	999
9	999
9	103
9	104
9	20
10	999
10	103
10	104
10	19
11	999
11	103
11	5
12	999
12	103
12	104
12	21
13	999
13	103
13	104
13	18
14	999
14	103
14	104
14	22
15	999
16	999
16	103
16	3
17	999
17	103
17	104
17	13
18	999
18	103
18	104
18	23
19	999
19	103
19	104
19	14
20	999
20	103
20	104
20	12
21	999
21	103
21	104
21	25
22	999
22	103
22	104
22	29
23	999
23	103
23	104
23	24
25	999
25	103
25	104
25	33
26	999
26	103
26	104
26	26
27	999
27	103
27	104
27	32
28	999
28	103
28	104
28	27
30	999
30	103
30	104
30	30
32	999
32	103
32	104
32	92
33	999
33	103
33	104
33	31
34	999
34	103
34	104
34	28
35	999
35	103
35	104
35	34
36	999
36	103
36	104
36	82
37	999
37	103
37	104
37	83
38	999
38	103
38	104
38	47
40	999
40	103
40	104
40	87
41	999
41	103
41	104
41	86
42	999
42	103
42	104
42	90
43	999
43	103
43	104
43	84
44	999
44	103
44	104
44	88
45	999
45	103
45	104
45	85
46	999
46	103
46	104
46	95
47	999
47	103
47	104
47	89
48	999
48	103
48	104
48	48
49	999
49	103
49	2
50	999
50	103
50	104
50	49
51	999
51	103
51	104
51	15
52	999
52	103
52	104
52	46
60	999
60	103
60	104
60	94
61	999
61	103
61	104
61	93
62	999
62	103
62	104
62	91
63	999
63	103
63	104
63	99
64	999
64	103
64	104
64	98
65	999
65	103
65	104
65	97
66	999
66	103
66	104
66	96
67	999
67	103
67	104
67	100
68	999
68	103
68	104
68	75
69	999
69	103
69	104
69	76
70	999
70	103
70	104
70	70
71	999
71	103
71	104
71	40
72	999
72	103
72	104
72	72
73	999
73	103
73	104
73	101
74	999
74	103
74	104
74	11
75	999
75	103
75	104
75	44
100	999
100	103
100	104
100	35
101	999
101	103
101	104
101	37
102	999
102	103
102	9
130	999
103	103
103	104
103	41
104	999
104	103
104	104
104	43
105	999
105	103
105	104
105	45
106	999
106	103
106	104
106	36
107	999
107	103
107	104
107	38
108	999
108	103
108	104
108	39
109	999
109	103
109	104
109	74
110	999
110	103
110	104
110	42
111	999
111	103
111	104
111	58
112	999
112	103
112	104
112	60
113	999
113	103
113	104
113	59
114	999
114	103
114	104
114	57
115	999
115	103
115	104
115	56
116	999
116	103
116	104
116	16
117	999
117	103
117	104
117	73
118	999
118	103
118	104
118	71
119	999
119	103
119	104
119	77
120	999
120	103
120	104
120	68
122	999
122	103
122	8
123	999
123	103
123	104
123	17
125	999
125	103
125	104
125	61
126	999
126	103
126	104
126	102
129	999
129	103
129	104
129	79
128	999
128	103
128	104
128	78
127	999
127	103
127	104
127	81
130	999
130	103
130	104
130	69
131	999
131	103
131	104
131	65
133	999
133	103
133	104
133	63
134	999
134	103
134	104
134	62
135	999
135	103
135	104
135	50
136	999
136	103
136	104
136	64
137	999
137	103
137	104
137	80
138	999
138	103
138	104
138	66
139	999
139	103
139	104
139	126
140	999
140	103
140	104
140	109
141	999
141	103
141	104
141	105
142	106
142	103
142	104
142	106
143	999
143	103
143	104
143	51
144	999
144	103
144	104
144	52
145	999
145	103
145	104
145	53
146	999
146	103
146	104
146	54
147	999
147	103
147	104
147	55
148	999
148	103
148	104
148	67
149	999
149	103
149	104
149	107
150	999
150	103
150	10
151	999
151	103
151	104
151	127
152	999
152	103
152	104
152	110
153	999
153	103
153	104
153	111
155	999
155	103
155	104
155	108
156	999
156	103
156	104
156	112
157	999
157	103
157	104
157	113
158	999
158	103
158	104
158	114
159	999
159	103
159	115
160	999
160	103
160	104
160	116
161	999
161	103
161	104
161	117
162	999
162	103
162	104
162	118
163	999
163	103
163	104
163	119
164	999
164	103
164	104
164	120
165	999
165	103
165	104
165	121
167	999
167	103
167	104
167	122
169	999
169	103
169	104
169	123
170	999
170	103
170	104
170	124
171	999
171	103
171	104
171	125
