NodeID	Description	MapID	CityID	Camp	TongID	NeedOpen	WorldRoadTrackEnd	ScriptFile	X	Y	Z	IdleFrame	MinLevel	MaxLevel	StartWaitFrame1	EndWaitFrame1	SwitchWaitFrame1	StartWaitFrame2	EndWaitFrame2	SwitchWaitFrame2	StartWaitFrame3	EndWaitFrame3	SwitchWaitFrame3	StartWaitFrame4	EndWaitFrame4	SwitchWaitFrame4	StartWaitFrame5	EndWaitFrame5	SwitchWaitFrame5	StartWaitFrame6	EndWaitFrame6	SwitchWaitFrame6
0		0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	a	1	0	0	0	0	0	scripts/Traffic/免车费.lua	10215	37867	0	0	0	0	152	48	0	154	48	0	0	0	0	0	0	0	165	48	0	150	48	0
2	b	1	0	0	0	0	0	scripts/Traffic/免车费.lua	12488	34534	0	0	0	0	152	48	0	154	48	0	0	0	0	0	0	0	165	48	0	150	48	0
3	稻香村驿站	1	1	0	0	1	0	scripts\Traffic\免车费.lua	20318	26242	1051390	0	0	0	152	0	0	154	0	0	0	0	0	0	0	0	165	0	0	150	0	0
4	稻香村出口	1	0	0	0	0	0	scripts\Traffic\降低车费.lua	36753	20325	1047690	0	0	0	152	48	0	154	48	0	0	0	0	0	0	0	165	48	0	150	48	0
5	稻香到扬州终点	6	605	0	0	0	0	scripts\Traffic\降低车费.lua	48779	32588	1049058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	扬州到稻香村	6	0	0	0	0	0	scripts\Traffic\降低车费.lua	17741	55457	1048548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	纯阳到长安出发	7	7	0	0	1	0	scripts\Traffic\EarthTrafficCost.lua	43563	3855	1119171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	纯阳到长安	7	0	0	0	0	0	scripts\Traffic\降低车费.lua	54669	2165	1094820	0	0	0	152	48	0	154	48	0	0	0	0	0	0	0	165	48	0	150	48	0
9	少林驿站	5	5	0	0	1	0	scripts\Traffic\EarthTrafficCost.lua	7579	13758	1048919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	少林到洛阳	5	0	0	0	0	0	scripts\Traffic\降低车费.lua	6120	15071	1048087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	天策到洛阳出发	11	11	0	0	1	0	scripts\Traffic\EarthTrafficCost.lua	59721	8433	1049798	0	0	0	152	48	0	154	48	0	0	0	0	0	0	0	165	48	0	150	48	0
12	天策到洛阳	11	12	0	0	0	0	scripts\Traffic\降低车费.lua	57907	1341	1048345	0	1	66	152	48	0	154	48	0	0	0	0	0	0	0	165	48	0	150	48	0
13	万花到长安出发	2	2	0	0	1	0	scripts\Traffic\EarthTrafficCost.lua	85244	73030	1169628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	万花到长安	2	0	0	0	0	0	scripts\Traffic\降低车费.lua	85816	76884	1171149	0	0	0	152	48	0	154	48	0	0	0	0	0	0	0	165	48	0	150	48	0
15	金水驿站	13	13	0	0	1	0	scripts\Traffic\EarthTrafficCost.lua	64110	62523	1050022	0	0	0	152	48	0	154	48	0	0	0	0	0	0	0	165	48	0	150	48	0
16	金水到扬州	13	0	0	0	0	0	scripts\Traffic\降低车费.lua	86359	5511	1058556	0	0	0	152	48	0	154	48	0	0	0	0	0	0	0	165	48	0	150	48	0
17	金水到洛阳	13	0	0	0	0	0	scripts\Traffic\降低车费.lua	52623	86052	1061379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	扬州码头近	6	606	0	0	1	0	scripts\Traffic\免车费.lua	78926	57755	1048761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	扬州码头远	6	19	0	0	0	0	scripts\Traffic\降低车费.lua	89117	48876	1048576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20	长安到枫华谷	15	20	0	0	0	0	scripts\Traffic\降低车费.lua	84879	70617	1064260	0	1	66	152	48	0	154	48	0	0	0	0	0	0	0	165	48	0	150	48	0
21	洛道驿站	9	9	0	0	1	0	scripts\Traffic\满级指引_车夫教学.lua	20006	33396	1056884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22	洛道中转到扬州洛阳	9	200	0	0	0	0	scripts\Traffic\降低车费.lua	41742	85306	1075915	0	0	0	152	48	0	154	48	0	0	0	0	0	0	0	165	48	0	150	48	0
23	洛道到扬州	9	0	0	0	0	0	scripts\Traffic\降低车费.lua	43954	87380	1080306	0	0	0	152	48	0	154	48	0	0	0	0	0	0	0	165	48	0	150	48	0
24	扬州驿站	6	6	0	0	1	0	scripts\Traffic\EarthTrafficCost.lua	64820	46007	1052515	0	0	0	152	0	0	154	0	0	0	0	0	0	0	0	165	0	0	150	0	0
25	扬州切换点	6	0	0	0	0	0	scripts\Traffic\降低车费.lua	17528	55500	1048492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26	七秀水路_仙乐码头	16	526	0	0	0	0	scripts\Traffic\门派历程_车夫教学.lua	31424	34141	1056907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27	七秀水路_内坊码头	16	527	0	0	0	0	scripts/Traffic/门派历程_车夫教学.lua	61189	48046	1057569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28	七秀捕鱼起点	16	528	0	0	0	0	scripts\Traffic\降低车费.lua	28919	66562	1056285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29	七秀捕鱼终点	16	529	0	0	0	0	scripts\Traffic\降低车费.lua	28963	66585	1056251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30	天策府	11	9030	0	0	0	0	scripts\Traffic\降低车费.lua	59815	8685	1049798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31	七秀水路_灵龟岛	16	531	0	0	0	0	scripts\Traffic\门派历程_车夫教学.lua	58360	18173	1056576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32	七秀到无盐岛出发	16	532	0	0	0	0	scripts/Traffic/门派历程_车夫教学.lua	31424	34138	1056907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33	七秀到无盐岛	16	0	0	0	0	0	scripts\Traffic\降低车费.lua	50750	36966	1055797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34	洛道到洛阳	9	0	0	0	0	0	scripts\Traffic\降低车费.lua	41274	88029	1079643	0	0	0	152	48	0	154	48	0	0	0	0	0	0	0	165	48	0	150	48	0
35	长安中转	15	0	0	0	0	0	scripts\Traffic\降低车费.lua	45922	71474	1064439	0	0	0	152	48	0	154	48	0	0	0	0	0	0	0	165	48	0	150	48	0
36	长安驿站	15	15	0	0	1	0	scripts\Traffic\EarthTrafficCost.lua	40826	92586	1061636	0	0	0	152	0	0	154	0	0	0	0	0	0	0	0	165	0	0	150	0	0
37	长安到龙门荒漠	15	37	0	0	0	0	scripts\Traffic\降低车费.lua	9759	86188	1073295	0	1	66	152	48	0	154	48	0	0	0	0	0	0	0	165	48	0	150	48	0
