ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID	CanSeeLifeNum	TouchWidth	HasSharePackage	SharePackageOptionText	SharePackageRequireReputeLevel	LeaveFightNotify	RecoverHP	BroadcastLookup	DropVigor	MaxLifeCount	SceneFilter	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	Drop11	Count11	Drop12	Count12	Drop13	Count13	Drop14	Count14	Drop15	Count15
122476						26		9		111					0	0		704800	99999999								22																			122476																																						9999																	25人普通武狱黑牢					1			0		0		0																						-1							0		254								3																																										26					0	0	0	0	0																							2048										0																																														
122477	乐临川	新月卫				28				123			60	6				704800	153600000			66743953					30	10000	10000	10000	10000	10000	0	4574	4574	4574	4574	4574		26317	26317	26317	26317	26317		122477		0	0	0	0	33947	1	30				20	10																									99999			86364	87109	87374								1392				25人普通武狱黑牢					1			0		0		0					scripts/Map/武狱黑牢/npc/2号_乐临川/乐临川.lua															1	10000	-1									254	0				5	10540	0	2																																										28					0	0	0	0	0								1															2048				1					1024	1											1	0.3	1	0	10																															
122478						26		9		111					0	0		704800	99999999								22																			122478																																						9999																	25人普通武狱黑牢					1			0		0		0																						-1							0		254								3																																										26					0	0	0	0	0																							2048										0																																														
122479	翁幼之	白鬼翁				28	3			123				6				704800	264000000			1067903256					30	10000	10000	10000	10000	10000	0	4574	4574	4574	4574	4574		26317	26317	26317	26317	26317		122479		0	0	0	0	34030	2																													0	0	99999			86349										1392				25人普通武狱黑牢					1			0		0		0					scripts\Map\武狱黑牢\npc\6号_翁幼之\翁幼之.lua															1	10000	-1								0	254					15	10540	0	6																																										28					0	0	0	0	0								1															2048									1024	1												0.15			10																															
122480						28		9		123			320		0	0		180	999999999								22																			122480																																						4800			86623										2				25人普通武狱黑牢					1			0		0		0																						3840							0		254								4																																										28					1024	1024	1024	1024	1024																							2048										0	1					0								0																																
122481	象鼻					28	5	2		123				6				704800	118655917			106790325					22	10000	10000	10000	10000	10000	0	4574	4574	4574	4574	4574		26317	26317	26317	26317	26317		122481		223022	111511	223022	111511																																	99999													2				25人普通武狱黑牢					1			0		0		0					scripts/Map/武狱黑牢/npc/3号_牛波/象鼻.lua															1	10000	-1									254					15	10540	464166																																											28					0	0	0	0	0																							2048									1024	1																																														
122482	巨象					28		2		122				5				704800	34969159			31472243					28	10000	10000	10000	10000	10000	0	4360	4360	4360	4360	4360		15528	15528	15528	15528	15528		122482		80688	40345	80688	40345	34384	1																															99999			86753										2				25人普通武狱黑牢					1			0		0		0					scripts/Map/武狱黑牢/npc/3号_牛波/动物.lua															1	10000	-1									254					13	9940	37562	3																																										28					0	0	0	0	0																							2048									512	1																																														
122483						26		9		121					0	0		704800	99999999								22																			122483																																						9999																	25人普通武狱黑牢					1			0		0		0																						-1							0		254								6																																										26					1024	1024	1024	1024	1024																							2048										0																																														
122484	武云阙	小武王				28				123				6				704800	182160000			106790325					30	10000	10000	10000	10000	10000	0	4574	4574	4574	4574	4574		26317	26317	26317	26317	26317		122484		324978	0	0	0	34936	2																															99999			86788										1392				25人普通武狱黑牢					1			0		0		0					scripts/Map/武狱黑牢/npc/5号_武云阙/武云阙.lua															1	10000	-1									254					15	10540	464166	5																																										28					0	0	0	0	0								1															2048									1024	1												0.15			10																															
122485	翁幼之宝箱			2	0	26	1	9	0	120	0	950	29		0	0		704800	828947368	0	0	45	0	0	100	6	22	9000	0	0	0	0	0	1	1	1	1	1	1024						0	122485	1	1857	929	1857	929			43	0	1	1024	33	10			32	0	1	1024	16	8			32	0	1	1024	16	8			32	0	1	1024	16	8	99999999	0	20	59015										1392	2500000	2500000	1048576	25人普通武狱黑牢	0	0	1	1	1	0		0		0		0					scripts/Map/狼牙堡_辉天堑/npc/掉落npc.lua							0	0	0	0	0	0	0	0			-1	0	0	0	0	0	0	0	0	3070	1	1	0	960	3	8840	0	6			0	-1	7	0	-1	0										32	0	32	0	32	0	32	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	26			0	0	0	0	0	0	0	0				0	0	0	1	0													1	2560				1						1														0			奉天证道/25人公共掉落/Stone_high.tab	2	奉天证道/25人公共掉落/craft_boss.tab	1	群侠万变/Raid武狱黑牢普通25人/gear_6_1.tab	1	群侠万变/Raid武狱黑牢普通25人/gear_6_2.tab	1	群侠万变/Raid武狱黑牢普通25人/gear_6_3.tab	1	群侠万变/Raid武狱黑牢普通25人/gear_6_4.tab	1	群侠万变/Raid武狱黑牢普通25人/wyhlptteshu6_4.tab	1																
122486	恶虎					28		2		123				6				704800	588000000			646800000					30	10000	10000	10000	10000	10000	0	4574	4574	4574	4574	4574		26317	26317	26317	26317	26317		122486		118175	0	118175	0	35042	1																															99999			86752										2				25人普通武狱黑牢					1			0		0		0					scripts/Map/武狱黑牢/npc/3号_牛波/动物.lua															1	10000	-1									254					15	10540	464166	3																																										28					0	0	0	0	0																							2048									1024	1																																														
122487						26		9		121					0	0		704800	99999999								22																			122487																																						9999																	25人普通武狱黑牢					1			0		0		0																						-1							0		254								6																																										26					1024	1024	1024	1024	1024																							2048										0																																														
122488	囚魂心牢					28		5		121				5		0		704800	36767116			0					22	10000	10000	10000	10000	10000	0	4146	4146	4146	4146	4146		11073	11073	11073	11073	11073		122488		176785	88392	176785	88392	28	1	80																														99999			86936	86937									2				25人普通武狱黑牢			3		1			0		0		0					scripts\Map\武狱黑牢\npc\6号_翁幼之\囚魂心牢.lua															4000	10000	-1									254					13	9390	36486	1																																										28					0	0	0	0	0																							2048									512	1						0																																								
122489	解兰舟	飞虹过雨				28				123				6				704800	145728000			895660795					30	10000	10000	10000	10000	10000	0	4138	4138	4138	4138	4138		7412	640	640	640	640		122489		190308	95154	190308	95154	34615	1																															99999			86854										1392				25人普通武狱黑牢					1			0		0		0					scripts/Map/武狱黑牢/npc/5号_武云阙/解兰舟.lua															500	10000	-1									254					15	8840	424916	5																																										28					0	0	0	0	0								1															2048									1024	1															10																															
122490	翁幼之					28		9		123					0	0		704800	999999999								22						0	4146	4146	4146	4146	4146		11073	11073	11073	11073	11073		122490						28	1																															99999			86757										2				25人普通武狱黑牢			3		1			0		0		0																				1	10000	-1							0		254								1																																										28					0	0	0	0	0																							2048									512	1						0																																								
122491	翁幼之宝箱			2	0	26	1	9	0	120	0	950	29		0	0		704800	828947368	0	0	45	0	0	100	6	22	9000	0	0	0	0	0	1	1	1	1	1	1024						0	122491	1	1857	929	1857	929			43	0	1	1024	33	10			32	0	1	1024	16	8			32	0	1	1024	16	8			32	0	1	1024	16	8	99999999	0	20	59015										1392	2500000	2500000	1048576	25人普通武狱黑牢	0	0	1	1	1	0		0		0		0					scripts/Map/狼牙堡_辉天堑/npc/掉落npc.lua							0	0	0	0	0	0	0	0			-1	0	0	0	0	0	0	0	0	3070	1	1	0	960	3	8840	0	6			0	-1	7	0	-1	0										32	0	32	0	32	0	32	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	26			0	0	0	0	0	0	0	0				0	0	0	1	0													1	2560				1						1														0			奉天证道/25人公共掉落/Stone_high.tab	2	奉天证道/25人公共掉落/craft_boss.tab	1	群侠万变/Raid武狱黑牢普通25人/gear_6_1.tab	1	群侠万变/Raid武狱黑牢普通25人/gear_6_2.tab	1	群侠万变/Raid武狱黑牢普通25人/gear_6_3.tab	1	群侠万变/Raid武狱黑牢普通25人/gear_6_4.tab	1	群侠万变/Raid武狱黑牢普通25人/gear_6_5.tab	1	群侠万变/Raid武狱黑牢普通25人/wyhlptteshu6_5.tab	1														
