ID	SubID	Name	CostThew	ProfessionID	RequirePlayerLevel	RequireLevel	ProfessionIDExt	RequireLevelExt	RequireBranchID	RequireDoodad	ToolItemType	ToolItemIndex	EquipmentType	Exp	PrepareFrame	RequireItemType1	RequireItemIndex1	RequireItemCount1	RequireItemType2	RequireItemIndex2	RequireItemCount2	RequireItemType3	RequireItemIndex3	RequireItemCount3	RequireItemType4	RequireItemIndex4	RequireItemCount4	CreateItemType	CreateItemIndex	CreateItemStackNum	CoolDownID	CostVigor
0	0	未知书籍	0	0	0	0	0	0	0	0	0	0	-1	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
2	1	沉香劈山上篇		8	15	25	10	18	0		0	0		30	80	5	3574	1	5	2872	1							5	7936	1		11
2	2	沉香劈山下篇		8	15	25	10	18	0		0	0		30	80	5	2200	2	5	2872	1							5	7935	1		9
3	1	毒尸若兰		8	15	25	11	18	0		0	0		30	80	5	3574	2	5	2872	1							5	8028	1		11
4	1	万花茶典上篇		8	15	25	11	18	0		0	0		30	80	5	3574	1	5	2872	1	5	3842	1				5	8029	1		13
4	2	万花茶典下篇		8	15	25	11	18	0		0	0		30	80	5	3574	1	5	2872	1	5	2202	1				5	8027	1		9
5	1	太公家教第一章		8	10	10	11	10	0		0	0		15	80	5	2200	1	5	3842	1							5	8027	1		8
5	2	太公家教第二章		8	10	15	11	12	0		0	0		15	80	5	2200	2	5	2872	1							5	8028	1		10
5	3	太公家教第三章		8	10	10	11	10	0		0	0		15	80	5	2200	2	5	3842	1							5	8027	1		8
5	4	太公家教第四章		8	10	15	11	12	0		0	0		15	80	5	3574	1	5	3842	1							5	8021	1		10
5	5	太公家教第五章		8	10	15	11	12	0		0	0		15	80	5	3574	1	5	3842	1							5	8026	1		8
5	6	太公家教第六章		8	10	15	11	12	0		0	0		15	80	5	2200	2	5	3842	1							5	8026	1		8
5	7	太公家教第七章		8	10	15	11	12	0		0	0		15	80	5	3574	1	5	2872	1							5	8021	1		10
5	8	太公家教第八章		8	10	15	11	12	0		0	0		15	80	5	2200	1	5	3842	1							5	8026	1		8
6	1	古诗十九首上		8	10	15	11	12	0		0	0		15	80	5	2200	1	5	3842	1							5	8026	1		8
6	2	古诗十九首中		8	10	15	11	12	0		0	0		15	80	5	3574	1	5	3842	1							5	8028	1		10
6	3	古诗十九首下		8	10	15	11	12	0		0	0		15	80	5	2200	1	5	2872	1							5	8026	1		8
7	1	千字文第一章		8	10	15	11	12	0		0	0		15	80	5	2200	2	5	2872	1							5	8028	1		10
