ID	SubID	Name	DoodadTemplateID	CostStamina	ProfessionID	RequireLevel	ToolItemType	ToolItemIndex	EquipmentType	PrepareFrame	PlayerExp	Exp	ExtendProfessionID1	ExtendExp1	ExtendProfessionID2	ExtendExp2	CreateItemTab	CreateItemIndex	CreateItemStackNum	BuffID	BuffLevel	Train	ScriptName	CostVigor
0	0	未知书籍	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	1	0	0	0		0
2	1	沉香劈山上篇	573		8	20					4800	20	10	10					0					
2	2	沉香劈山下篇			8	20						20	10	10	6	15			0					
3	1	毒尸若兰			8	20						20	11	10					0	355	1		scripts\skill\生活技能\书籍\阅读教学.lua	
4	1	万花茶典上篇			8	20						20	11	10										
4	2	万花茶典下篇			8	20						20	11	10	7	15			0					
5	1	太公家教第一章			8	10						10	11	10					0				scripts\skill\生活技能\书籍\太公家教第一章任务触发.lua	
5	2	太公家教第二章			8	10						10	11	10					0	355	1			
5	3	太公家教第三章			8	10						10	11	10					0				scripts\skill\生活技能\书籍\太公家教第三章任务触发.lua	
5	4	太公家教第四章			8	10					4000	10	11	10					0					
5	5	太公家教第五章			8	10						10	11	10	8	5			0					
5	6	太公家教第六章			8	10						10	11	10	8	5			0					
5	7	太公家教第七章	547		8	10						10	11	10					0	355	1			
5	8	太公家教第八章			8	10						10	11	10					0					
6	1	古诗十九首上			8	10						10	11	10					0					
6	2	古诗十九首中			8	10					4000	10	11	10					0					
6	3	古诗十九首下			8	10						10	11	10	8	5			0					
7	1	千字文第一章			8	10						10	11	10					0	355	1			
7	2	千字文第二章			8	10						10	11	10	8	5			0					
7	3	千字文第三章			8	10					4000	10	11	10					0					
7	4	千字文第四章			8	10						10	11	10	8	5			0					
7	5	千字文第五章			8	10						10	11	10	8	5			0					
8	1	山河志第一章			8	10						10	11	10					0					
8	2	山河志第二章	548		8	10						10	11	10										
8	3	山河志第三章			8	10						10	11	10										
8	4	山河志第四章			8	10						10	11	10										
8	5	山河志第五章	549		8	10					4000	10	11	10					0					
8	6	山河志第六章			8	10						10	11	10					0	355	1			
8	7	山河志第七章			8	10					4000	10	11	10					0					
8	8	山河志第八章			8	10					4000	10	11	10					0					
9	1	剑部第一			8	15						15	11	10					0				scripts\skill\生活技能\书籍\精力回复1.lua	
9	2	剑部第二			8	15						15	11	10	6	15			0				scripts/skill/生活技能/书籍/阅读教学.lua	
9	3	剑部第三			8	15					4800	15	11	10					0					
9	4	剑部第四			8	15						15	11	10	6	15			0				scripts\skill\生活技能\书籍\阅读教学.lua	
9	5	剑部第五			8	15						15	11	10										
9	6	剑部第六			8	15						15	11	10					0	355	1			
9	7	剑部第七			8	15						15	11	10	6	15			0					
9	8	剑部第八			8	15						15	11	10					0	355	1			
10	1	关雎			8	15						15	11	10					0					
10	2	卷耳	565		8	15					4800	15	11	10					0					
10	3	樛木			8	15						15	11	10										
10	4	螽斯			8	15						15	11	10					0				scripts\skill\生活技能\书籍\体力回复1.lua	
10	5	桃夭			8	15						15	11	10	5	15			0					
10	6	兔罝			8	15						15	11	10	4	15			0					
10	7	行露			8	15					4800	15	11	10					0					
11	1	归园田居			8	15						15	11	10					0					
11	2	归鸟	566		8	15					4800	15	11	10					0				scripts\skill\生活技能\书籍\阅读教学.lua	
11	3	劝农			8	15						15	11	10										
11	4	停云并序			8	15						15	11	10					0				scripts\skill\生活技能\书籍\精力回复1.lua	
11	5	荣木并序			8	15						15	11	10	5	15			0					
11	6	命子上			8	15						15	11	10	8	8			0					
11	7	命子下			8	15					4800	15	11	10					0					
12	1	般若波罗密多心经			8	15						15	9	10	9	10			0				scripts\skill\生活技能\书籍\阅读教学.lua	
12	2	大藏经			8	15						15	9	10	9	10			0					
13	1	盂兰盆经第一章			8	15						15	9	10	9	10			0					
13	2	盂兰盆经第二章			8	15						15	9	10	9	10			0					
13	3	盂兰盆经第三章			8	15						15	9	10	8	8			0					
13	4	盂兰盆经第四章	550		8	15						15	9	10	9	10			0					
14	1	蜀鄙之僧			8	15						15	9	10										
14	2	破戒			8	15					4800	15	9	10					0					
14	3	静坐			8	15						15	9	10					0	355	1			
14	4	化缘			8	15						15	9	10					0				scripts\skill\生活技能\书籍\体力回复1.lua	
14	5	毒药			8	15						15	9	10					0					
15	1	贪引恶鬼品	564		8	15						15	9	10	8	8			0					
15	2	力士鹦鹉品			8	15						15	9	10					0					
15	3	乌枭报怨品			8	15						15	9	10					0					
15	4	梵志献花品			8	15						15	9	10										
15	5	盲人点灯品			8	15						15	9	10	8	8			0					
15	6	回头是岸品			8	15						15	9	10	9	10			0					
15	7	佛珠生菇品			8	15						15	9	10	9	10			0					
15	8	信徒遇溺品			8	15					5600	15	9	10					0					
16	1	观音自拜品			8	20						20	9	10	9	10			0					
16	2	破杯悟禅品			8	20						20	9	10										
16	3	作龙虎画品			8	20						20	9	10										
16	4	老妇烧庵品			8	20						20	9	10	8	10			0					
16	5	童子辩禅品			8	20					5600	20	9	10					0					
16	6	婆罗门妻品			8	20						20	9	10					0				scripts\skill\生活技能\书籍\精力回复1.lua	
16	7	四马之喻品			8	20						20	9	10					0				scripts\skill\生活技能\书籍\精力回复1.lua	
16	8	大萨他婆品			8	20					5600	20	9	10					0					
17	1	道德经卷一其一			8	15						15	10	10	8	8			0					
17	2	道德经卷一其二	567		8	15						15	10	10	8	8			0					
17	3	道德经卷一其三			8	15						15	10	10	10	10			0					
17	4	道德经卷一其四			8	15						15	10	10										
17	5	道德经卷一其五			8	15						15	10	10					0					
17	6	道德经卷一其六			8	15						15	10	10					0					
17	7	道德经卷一其七			8	15						15	10	10	10	10			0					
17	8	道德经卷一其八			8	15						15	10	10										
18	1	论语卷一其一			8	15						15	11	10										
18	2	论语卷一其二			8	15						15	11	10										
18	3	论语卷一其三			8	15						15	11	10										
18	4	论语卷一其四			8	15						15	11	10	8	8			0					
18	5	论语卷一其五			8	15						15	11	10	8	8			0					
18	6	论语卷一其六			8	15						15	11	10	8	8			0					
18	7	论语卷一其七			8	15						15	11	10	8	8			0					
18	8	论语卷一其八			8	15					4800	15	11	10					0					
19	1	轩辕黄帝传			8	15						15	10	10					0					
19	2	太上老子传			8	15						15	10	10					0					
19	3	文始先生传			8	15						15	10	10					0					
19	4	南华真人传			8	15						15	10	10	8	8			0					
19	5	列子真人传			8	15						15	10	10	10	10			0					
19	6	天师道陵传			8	15						15	10	10	10	10			0					
19	7	云牙真人传			8	15						15	10	10										
19	8	仙翁葛玄传	568		8	15					5600	15	10	10					0					
20	1	少年行			8	20					5600	20	11	10					0					
20	2	渭城曲			8	20						20	11	10	4	16			0					
20	3	关山月			8	20						20	11	10	5	16			0					
20	4	荆州歌			8	20						20	11	10	8	10			0					
20	5	子夜吴歌之春歌			8	20						20	11	10					0					
20	6	子夜吴歌之夏歌	571		8	20						20	11	10										
20	7	子夜吴歌之秋歌			8	20						20	11	10	8	10			0					
20	8	子夜吴歌之冬歌			8	20					5600	20	11	10					0					
21	1	枪部第一章			8	20						20	11	10					0					
21	2	枪部第二章			8	20						20	11	10	6	16			0					
21	3	枪部第三章			8	20						20	11	10					0				scripts\skill\生活技能\书籍\体力回复1.lua	
21	4	枪部第四章			8	20						20	11	10					0				scripts\skill\生活技能\书籍\精力回复1.lua	
21	5	枪部第五章			8	20					5600	20	11	10					0					
21	6	枪部第六章			8	20						20	11	10	6	16			0					
21	7	枪部第七章			8	20					5600	20	11	10					0					
