ID	Name	CostStamina	ProfessionID	RequireLevel	RecipeLevel	NeedExpertise	RequireBranchID	RequireDoodad	ToolItemType	ToolItemIndex	PowerfulToolItemType	PowerfulToolItemIndex	EquipmentType	Exp	PrepareFrame	Belong	ResultOnLevel	RequireItemType1	RequireItemIndex1	RequireItemCount1	RequireItemType2	RequireItemIndex2	RequireItemCount2	RequireItemType3	RequireItemIndex3	RequireItemCount3	RequireItemType4	RequireItemIndex4	RequireItemCount4	RequireItemType5	RequireItemIndex5	RequireItemCount5	RequireItemType6	RequireItemIndex6	RequireItemCount6	RequireItemType7	RequireItemIndex7	RequireItemCount7	RequireItemType8	RequireItemIndex8	RequireItemCount8	CreateItemType1	CreateItemIndex1	CreateItemMin1	CreateItemMax1	CreateItemProbability1	CreateItemType2	CreateItemIndex2	CreateItemMin2	CreateItemMax2	CreateItemProbability2	CreateItemType3	CreateItemIndex3	CreateItemMin3	CreateItemMax3	CreateItemProbability3	CreateItemType4	CreateItemIndex4	CreateItemMin4	CreateItemMax4	CreateItemProbability4	CreateItemType5	CreateItemIndex5	CreateItemMin5	CreateItemMax5	CreateItemProbability5	CreateItemType6	CreateItemIndex6	CreateItemMin6	CreateItemMax6	CreateItemProbability6	CreateItemType7	CreateItemIndex7	CreateItemMin7	CreateItemMax7	CreateItemProbability7	CreateItemType8	CreateItemIndex8	CreateItemMin8	CreateItemMax8	CreateItemProbability8	_Quality	ScriptName	CoolDownID	CostVigor	ExpertiseRate
0	Î´ÖªÅä·½	0	0	0	0		0	0	0	0	0	0	-1	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0	0
1	Í­¶§	0	6	255	255			343	0	0	0	0		4		120		5	3343	2																						5	3316	1	1	1048576																																					scripts/Craft/Include/Event.lua		2	0
3	ºìÍ­Ñü´ø	0	6	255	255			343	0	0	0	0		14		80		5	3316	1	5	3313	1	5	0	0																7	1587	1	1	1048576																																					scripts/Craft/Include/Event.lua		7	0
4	ºìÍ­»¤ÊÖ	0	6	255	255			343	0	0	0	0		14		90		5	3316	4	5	3252	2	5	0	0																7	1474	1	1	1048576																																					scripts/Craft/Include/Event.lua		7	0
5	Í­Å¼	0	6	0	0			343	0	0	0	0		12		130		5	47488	1	5	10176	2	5	31994	5																5	2578	4	6	1048576																																					scripts/Craft/Include/Event.lua		6	0
9	ÁøÄ¾Ç¹	0	6	255	255			343	0	0	0	0		14		40		5	3316	4	5	977	1	5	979	2																6	898	1	1	104857	6	899	1	1	157286	6	900	1	1	314572	6	901	1	1	314572	6	902	1	1	104857	6	904	1	1	52432												scripts/Craft/Include/Event.lua		7	0
10	ºìÍ­½£	0	6	255	255			343	0	0	0	0		14		30		5	3316	4	5	977	1	5	972	2																6	1016	1	1	104857	6	1017	1	1	157286	6	1018	1	1	314572	6	1019	1	1	314572	6	1020	1	1	104857	6	1021	1	1	52432												scripts/Craft/Include/Event.lua		7	0
12	ºìÍ­Ë«½£	0	6	255	255			343	0	0	0	0		14		50		5	3316	1	5	3313	1	5	0	0	5	0	0													6	1078	1	1	104857	6	1079	1	1	157286	6	1080	1	1	314572	6	1081	1	1	314572	6	1082	1	1	104857	6	1083	1	1	52432												scripts/Craft/Include/Event.lua		7	0
13	Ä¥Ê¯	0	6	255	255			343	0	0	0	0		14		110		5	3318	1																						5	2809	1	1	1048576																																					scripts/Craft/Include/Event.lua		7	0
14	ÀÇº¿	0	6	255	255			343	0	0	0	0		50		40		5	3316	6	5	977	1	5	979	2	5	0	0	5	0	0	5	0	0							6	903	1	1	576716	6	906	1	1	314572	6	908	1	1	104857	6	910	1	1	52431																						scripts/Craft/Include/Event.lua		25	0
15	ÑÌ¶·	0	6	0	0			343	0	0	0	0		200		100		5	47487	5	5	47492	5	5	10172	2	5	31994	10													8	629	1	1	1048576																																					scripts/Craft/Include/Event.lua		100	0
16	¹ø²ù	0	6	0	0			343	0	0	0	0		200		100		5	47489	5	5	47491	5	5	10172	2	5	31991	10													8	630	1	1	1048576																																					scripts/Craft/Include/Event.lua		100	0
17	Áåîõ	0	6	0	0			343	0	0	0	0		200		100		5	47492	5	5	47485	5	5	10172	2	5	31992	10													8	631	1	1	1048576																																					scripts/Craft/Include/Event.lua		100	0
19	ºìÍ­Çá¼×	0	6	255	255			343	0	0	0	0		14		70		5	3316	4	5	3251	2	5	0	0																7	1136	1	1	1048576	7	1725	1	1	419430	7	1730	1	1	314573	7	1738	1	1	104858																						scripts/Craft/Include/Event.lua		7	0
20	Í­Í·ÁøÄ¾¹÷	0	6	255	255			343	0	0	0	0		14		20		5	3316	4	5	977	1	5	979	1																6	848	1	1	104857	6	849	1	1	157286	6	850	1	1	314572	6	851	1	1	314572	6	853	1	1	104857	6	855	1	1	52432												scripts/Craft/Include/Event.lua		7	0
21	ÀÇºÁ±Ê	0	6	255	255			343	0	0	0	0		14		10		5	3316	1	5	3313	1	5	0	0																6	963	1	1	104857	6	964	1	1	157286	6	965	1	1	314572	6	966	1	1	314572	6	967	1	1	104857	6	969	1	1	52432												scripts/Craft/Include/Event.lua		7	0
22	ºìÍ­»¤Ñü	0	6	255	255			343	0	0	0	0		14		80		5	3316	6	5	3257	2	5	3313	4	5	0	0													7	1603	1	1	1048576	7	1726	1	1	419430	7	1731	1	1	314573	7	1740	1	1	104858																						scripts/Craft/Include/Event.lua		7	0
23	Îý¶§	0	6	255	255			343	0	0	0	0		4		120		5	3344	2																						5	3319	1	1	1048576																																					scripts/Craft/Include/Event.lua		2	0
24	ÇàÍ­¶§	0	6	255	255			343	0	0	0	0		4		120		5	3319	1	5	3316	1																			5	3320	1	2	1048576																																					scripts/Craft/Include/Event.lua		2	0
26	ÇàÍ­»¤ÊÖ	0	6	255	255			343	0	0	0	0		18		90		5	3320	1	5	3313	1	5	0	0																7	1481	1	1	104857	7	1484	1	1	157286	7	1486	1	1	314572	7	1488	1	1	314572	7	1490	1	1	104857	7	1491	1	1	52432												scripts/Craft/Include/Event.lua		9	0
28	Á¬ÐÄËø	0	6	0	0			343	0	0	0	0		18		130		5	47485	1	5	10176	3	5	31994	5																5	2589	4	6	1048576																																					scripts/Craft/Include/Event.lua		9	0
29	Í­Í·ÁøÄ¾Ç¹	0	6	255	255			343	0	0	0	0		18		40		5	3320	4	5	977	1	5	3313	2																6	905	1	1	104857	6	907	1	1	157286	6	909	1	1	314572	6	911	1	1	314572	6	912	1	1	104857	6	913	1	1	52432												scripts/Craft/Include/Event.lua		9	0
30	ÇàÍ­ÀÇº¿¹Ú	0	6	255	255			343	0	0	0	0		66		60		5	3320	8	5	972	2	5	979	2	5	0	0	5	0	0	5	0	0							7	1744	1	1	576716	7	1749	1	1	314572	7	1754	1	1	104857	7	1758	1	1	52431																						scripts/Craft/Include/Event.lua		33	0
31	º£ÉÏÄ¥Ê¯	0	6	255	255			343	0	0	0	0		14		110		5	3318	1	5	3313	1																			5	2590	1	1	1048576																																					scripts/Craft/Include/Event.lua		7	0
34	ºìÍ­Í·¹Ú	0	6	255	255			343	0	0	0	0		18		60		5	3316	4	5	3251	2	5	0	0	5	0	0													7	1746	1	1	1048576	7	1723	1	1	419430	7	1729	1	1	314573	7	1736	1	1	104858																						scripts/Craft/Include/Event.lua		9	0
35	ÇàÍ­Í·ÁøÄ¾¹÷	0	6	255	255			343	0	0	0	0		18		20		5	3320	1	5	3313	1	5	0	0																6	852	1	1	104857	6	854	1	1	157286	6	856	1	1	314572	6	857	1	1	314572	6	858	1	1	104857	6	859	1	1	52432												scripts/Craft/Include/Event.lua		9	0
36	ÇàÍ­»¢ÆË¼×	0	6	255	255			343	0	0	0	0		66		70		5	3320	5	5	977	2	5	972	2	5	985	2	5	0	0	5	0	0							7	1138	1	1	576716	7	1140	1	1	314572	7	1143	1	1	104857	7	1148	1	1	52431																						scripts/Craft/Include/Event.lua		33	0
37	ÇàÍ­½£	0	6	255	255			343	0	0	0	0		18		30		5	3320	4	5	972	1	5	977	1	5	0	0													6	1022	1	1	104857	6	1023	1	1	157286	6	1024	1	1	314572	6	1025	1	1	314572	6	1027	1	1	104857	6	1029	1	1	52432												scripts/Craft/Include/Event.lua		9	0
38	ÇàÍ­Ë«½£	0	6	255	255			343	0	0	0	0		18		50		5	3320	4	5	977	1	5	979	1	5	0	0													6	1084	1	1	104857	6	1085	1	1	157286	6	1086	1	1	314572	6	1087	1	1	314572	6	1088	1	1	104857	6	1089	1	1	52432												scripts/Craft/Include/Event.lua		9	0
39	Í­¹ÜÀÇºÁ±Ê	0	6	255	255			343	0	0	0	0		16		10		5	3320	4	5	3314	2	5	979	1																6	968	1	1	104857	6	970	1	1	157286	6	971	1	1	314572	6	972	1	1	314572	6	973	1	1	104857	6	975	1	1	52432												scripts/Craft/Include/Event.lua		8	0
40	ÎÞÉ«·¢îÎ	0	6	255	255			343	0	0	0	0		18		60		5	3320	1	5	3313	1	5	0	0																7	1738	1	1	104858	7	1742	1	1	157286	7	1745	1	1	314573	7	1753	1	1	314573	7	1757	1	1	104858	7	1763	1	1	52428												scripts/Craft/Include/Event.lua		9	0
