ID	Name	CostStamina	ProfessionID	RequireLevel	RecipeLevel	NeedExpertise	RequireBranchID	RequireDoodad	ToolItemType	ToolItemIndex	PowerfulToolItemType	PowerfulToolItemIndex	EquipmentType	Exp	PrepareFrame	Belong	ResultOnLevel	RequireItemType1	RequireItemIndex1	RequireItemCount1	RequireItemType2	RequireItemIndex2	RequireItemCount2	RequireItemType3	RequireItemIndex3	RequireItemCount3	RequireItemType4	RequireItemIndex4	RequireItemCount4	RequireItemType5	RequireItemIndex5	RequireItemCount5	RequireItemType6	RequireItemIndex6	RequireItemCount6	RequireItemType7	RequireItemIndex7	RequireItemCount7	RequireItemType8	RequireItemIndex8	RequireItemCount8	CreateItemType1	CreateItemIndex1	CreateItemMin1	CreateItemMax1	CreateItemProbability1	CreateItemType2	CreateItemIndex2	CreateItemMin2	CreateItemMax2	CreateItemProbability2	CreateItemType3	CreateItemIndex3	CreateItemMin3	CreateItemMax3	CreateItemProbability3	CreateItemType4	CreateItemIndex4	CreateItemMin4	CreateItemMax4	CreateItemProbability4	CreateItemType5	CreateItemIndex5	CreateItemMin5	CreateItemMax5	CreateItemProbability5	CreateItemType6	CreateItemIndex6	CreateItemMin6	CreateItemMax6	CreateItemProbability6	CreateItemType7	CreateItemIndex7	CreateItemMin7	CreateItemMax7	CreateItemProbability7	CreateItemType8	CreateItemIndex8	CreateItemMin8	CreateItemMax8	CreateItemProbability8	_Quality	ScriptName	CoolDownID	CostVigor	ExpertiseRate
0	未知配方	0	0	0	0		0	0	0	0	0	0	-1	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0	0
1	下品止血散	0	7	255	255			344	0	0	0	0		14		10		5	3003	2	5	3006	1																			5	3034	1	1	1048576																																					scripts/Craft/Include/Event.lua		7	0
3	下品活络散	0	7	255	255			344	0	0	0	0		14		10		5	3002	2	5	3006	1																			5	3035	1	1	1048576																																					scripts/Craft/Include/Event.lua		7	0
4	下品长生散	0	7	255	255			344	0	0	0	0		38		30		5	3003	1	5	3004	1	5	3005	1																5	2754	1	2	1048576																																					scripts/Craft/Include/Event.lua		19	0
5	下品聚魂散	0	7	255	255			344	0	0	0	0		38		20		5	3002	1	5	3006	2																			5	3039	1	1	1048576																																					scripts/Craft/Include/Event.lua		19	0
6	下品护心散	0	7	255	255			344	0	0	0	0		14		20		5	3004	2	5	3006	1																			5	3036	1	2	1048576																																					scripts/Craft/Include/Event.lua		7	0
7	下品强身散	0	7	255	255			344	0	0	0	0		14		20		5	3002	2	5	3006	1																			5	3038	1	1	1048576																																					scripts/Craft/Include/Event.lua		7	0
8	下品凝神散	0	7	255	255			344	0	0	0	0		38		30		5	3002	1	5	3004	1	5	3005	1																5	2755	1	2	1048576																																					scripts/Craft/Include/Event.lua		19	0
9	下品健骨散	0	7	255	255			344	0	0	0	0		38		20		5	3013	2	5	3006	1																			5	3047	1	1	1048576																																					scripts/Craft/Include/Event.lua		19	0
10	下品万灵散	0	7	255	255			344	0	0	0	0		38		10		5	3002	1	5	3003	1	5	3004	1	5	3010	1	5	3006	1										5	3037	1	2	1048576																																					scripts/Craft/Include/Event.lua		19	0
