CraftID	Craft	RecipeID	Name	Belong	_Quality	ProfessionLevel	BranchID	ReputationID	nReputationLevel	nPrice
4	烹饪	1	稻香饼	30		10				940
4	烹饪	2	鲜肉包子	30		10				750
4	烹饪	3	肉馅	50		10				380
4	烹饪	5	冬瓜碎肉汤	30		12				670
4	烹饪	7	结缘宴	60		14				1170
4	烹饪	12	杂碎汤	20		14				2340
4	烹饪	13	肉丸	50		16				1780
4	烹饪	14	冬瓜丸子汤	30		18				4630
4	烹饪	15	甘草蘑菇茶	10		18				2320
4	烹饪	16	生肉藕夹	10		18				2320
4	烹饪	17	大刀面	10		18				2320
4	烹饪	18	麻食泡	10		18				2320
4	烹饪	19	馄饨	10		18				2320
4	烹饪	26	清食小点	60		20				3890
4	烹饪	27	卤肠	30		22				7780
4	烹饪	28	油炸肉条	30		24				4970
4	烹饪	29	烧罗汉面筋	30		26				11570
4	烹饪	30	粉蒸肠	30		28				7140
4	烹饪	38	泡儿油糕	20		30				17800
4	烹饪	39	贵人早点	60		30				8900
4	烹饪	45	瘦肉粟米羹	30		32				10120
4	烹饪	46	萝卜瘦肉汤	30		34				22810
4	烹饪	47	蒜泥	50		36				12820
4	烹饪	53	兄弟宴	60		42				17870
4	烹饪	55	大肠筋	20		46				44020
4	烹饪	56	姜丝板筋	20		46				22010
4	烹饪	57	红烧五花肉	20		46				22010
4	烹饪	58	四喜扣肉	20		46				22010
4	烹饪	59	黄瓜腱子肉	30		48				24350
4	烹饪	69	红血肠	30		50				53870
4	烹饪	70	酱爆腰花	30		52				61250
4	烹饪	73	脆瓜里脊丝	30		56				79280
4	烹饪	74	莲藕排骨汤	30		58				44520
4	烹饪	75	酒醉排骨	30		60				98590
4	烹饪	88	贵妃宴	60		70				77200
4	烹饪	91	天补丸	50		70	0		0	0
4	烹饪	94	蒜香炸骨排	20		70	0		0	154410
4	烹饪	95	里脊肉卷饼	20		70	0		0	77200
4	烹饪	96	碎肉骨头汤	30		70				77200
4	烹饪	97	酱	50		52	0		0	30620
4	烹饪	98	开水煮白菜	20		62	0		0	54760
4	烹饪	99	糖醋排骨	30		64	0		0	60560
4	烹饪	100	蒜香蒸排骨	30		64	0		0	60560
4	烹饪	101	鱼香肉丝	30		66	0		0	66710
4	烹饪	102	炸酱面	30		66	0		0	66710
4	烹饪	103	酱白菜	20	0	68	0		0	73700
4	烹饪	104	排骨白菜汤	20		68	0		0	73700
4	烹饪	105	香酥排骨	20		68	0		0	73700
4	烹饪	106	酱烧排骨	20		68	0		0	73700
4	烹饪	107	红烧排骨	20		68	0		0	73700
4	烹饪	126	麻婆豆腐	30	0	70	0	0	0	77200
4	烹饪	127	泡椒凤爪	30		70				77200
4	烹饪	128	麻辣脆骨	30		70				77200
4	烹饪	129	碎肉米线	30		72				114870
4	烹饪	130	豉汁鸡爪	30		72				114870
4	烹饪	131	凉拌猪耳	30		74				125260
4	烹饪	132	盐煎肉	30		74				125260
4	烹饪	133	水浒肉	20		76				137580
4	烹饪	134	凤庆粑粑卷	20		76				137580
4	烹饪	135	酱闷软骨	30		76				137580
4	烹饪	136	秘制炒肉排	30		76				137580
4	烹饪	137	香辣蹄髈	30		78				149960
4	烹饪	138	蒜香口条	30		78				149960
4	烹饪	139	水煮肉片	30		78				149960
4	烹饪	140	干锅肉爪	20		80				163440
4	烹饪	141	果仁脆骨	20		80				163440
4	烹饪	142	冬菜扣肉	20		80				163440
4	烹饪	185	辣酱肉片	40	0	80	0	0	0	163440
4	烹饪	186	蘑菇炖香腰	20	0	38	0	0	0	28790
4	烹饪	187	蜜汁粟腰	30	0	42	0	0	0	35740
4	烹饪	188	黄瓜小炒肉	20	0	74	0	0	0	250520
4	烹饪	189	粉芡炒肉	30	0	78	0	0	0	299920
4	烹饪	190	千年冰芯	50	0	80	0	0	0	490330
4	烹饪	191	古井泉	50	0	80	0	0	0	490330
4	烹饪	192	天山雪水	50	0	80	0	0	0	490330
4	烹饪	193	巨兽血	50	0	80	0	0	0	490330
4	烹饪	194	川蜀酱肉	50	0	80	0	0	0	326880
4	烹饪	199	化瘀汤	30	0	80	0	0	0	490330
4	烹饪	200	清心汤	30	0	80	0	0	0	490330
4	烹饪	201	滋补汤	30	0	80	0	0	0	490330
4	烹饪	202	强身汤	30	0	80	0	0	0	490330
